fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
CMED;20260508;medicamento;511513070057206;;;SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA;RABEPRAZOL SODICO;10 MG COM REV LIB RETARD CT BL AL AL X 14;RABEPRAZOL SÓDICO;7897595620415;1004705230013;90252322;511513070057206;S;N;;63.01;86.85;;;;CMED_ICMS17;20260508;20;PF0=52.3|PF12=59.43|PF18=63.78|PF19=64.57|PF20=65.38|PF21=66.2|PF22=67.05|PMC0=72.09|PMC12=81.92|PMC18=87.91|PMC19=89|PMC20=90.12|PMC21=91.25|PMC22=92.42|PMVG17=49.44|PMVG18=50.05|PMVG20=51.3
CMED;20260508;medicamento;511513070057406;;;SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA;RABEPRAZOL SODICO;20 MG COM REV LIB RETARD CT BL AL AL X 28;RABEPRAZOL SÓDICO;7897595620453;1004705230056;90252349;511513070057406;S;N;;229.14;315.85;;;;CMED_ICMS17;20260508;20;PF0=190.19|PF12=216.13|PF18=231.94|PF19=234.8|PF20=237.74|PF21=240.75|PF22=243.83|PMC0=262.16|PMC12=297.91|PMC18=319.71|PMC19=323.65|PMC20=327.7|PMC21=331.85|PMC22=336.09|PMVG17=179.81|PMVG18=182|PMVG20=186.56
CMED;20260508;medicamento;552919110082717;;;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;RACECADOTRILA;100 MG CAP DURA CT BL AL PLAS TRANS PVDC X 9;RACECADOTRILA;7896181926467;1057306120037;90444019;552919110082717;S;N;;27.28;36.6;;;;CMED_ICMS17;20260508;20;PF0=22.64|PF12=25.73|PF18=27.61|PF19=27.95|PF20=28.3|PF21=28.66|PF22=29.03|PMC0=30.37|PMC12=34.52|PMC18=37.04|PMC19=37.49|PMC20=37.96|PMC21=38.45|PMC22=38.94|PMVG17=21.41|PMVG18=21.67|PMVG20=22.21
CMED;20260508;medicamento;530423060018802;;;DAIICHI SANKYO BRASIL FARMACÊUTICA LTDA;RADICAVA;1,5 MG/ML SOL DIL INFUS IV CT 2 AMP VD TRANS X 20 ML;EDARAVONA;7897411650824;1045401920017;90562291;530423060018802;;N;;291.71;391.32;;;;CMED_ICMS17;20260508;20;PF0=242.12|PF12=275.14|PF18=295.27|PF19=298.91|PF20=302.65|PF21=306.48|PF22=310.41|PMC0=324.8|PMC12=369.09|PMC18=396.09|PMC19=400.98|PMC20=405.99|PMC21=411.13|PMC22=416.4|PMVG17=228.9|PMVG18=231.7|PMVG20=237.49
CMED;20260508;medicamento;537522020010304;;;TEVA FARMACÊUTICA LTDA.;RAGIONE;36 MG COM REV LIB PROL CT FR PLAS PEAD OPC X 30;CLORIDRATO DE METILFENIDATO;7898587901536;1557300570024;90530420;537522020010304;;N;;301.34;404.24;;;;CMED_ICMS17;20260508;20;PF0=250.11|PF12=284.22|PF18=305.01|PF19=308.78|PF20=312.64|PF21=316.59|PF22=320.65|PMC0=335.51|PMC12=381.27|PMC18=409.16|PMC19=414.22|PMC20=419.4|PMC21=424.69|PMC22=430.14|PMVG17=236.46|PMVG18=239.34|PMVG20=245.33
CMED;20260508;medicamento;537522020010404;;;TEVA FARMACÊUTICA LTDA.;RAGIONE;54 MG COM REV LIB PROL CT FR PLAS PEAD OPC X 30;CLORIDRATO DE METILFENIDATO;7898587901543;1557300570032;90530438;537522020010404;;N;;301.35;404.25;;;;CMED_ICMS17;20260508;20;PF0=250.12|PF12=284.23|PF18=305.02|PF19=308.79|PF20=312.65|PF21=316.61|PF22=320.67|PMC0=335.53|PMC12=381.28|PMC18=409.17|PMC19=414.23|PMC20=419.41|PMC21=424.72|PMC22=430.17|PMVG17=236.47|PMVG18=239.35|PMVG20=245.34
CMED;20260508;medicamento;537522020010504;;;TEVA FARMACÊUTICA LTDA.;RAGIONE;18 MG COM REV LIB PROL CT FR PLAS PEAD OPC X 30;CLORIDRATO DE METILFENIDATO;7898587901512;1557300570016;90530411;537522020010504;;N;;221.73;297.44;;;;CMED_ICMS17;20260508;20;PF0=184.04|PF12=209.14|PF18=224.44|PF19=227.21|PF20=230.05|PF21=232.96|PF22=235.95|PMC0=246.88|PMC12=280.55|PMC18=301.08|PMC19=304.79|PMC20=308.6|PMC21=312.51|PMC22=316.52|PMVG17=173.99|PMVG18=176.12|PMVG20=180.52
CMED;20260508;medicamento;501621110034404;;;APSEN FARMACEUTICA S/A;RAHIME;8 MG COM REV CT BL AL PLAS PVC/PVDC TRANS X 5;RAMELTEONA;7896637033039;1011806360063;90523636;501621110034404;;N;;16.14;21.65;;;;CMED_ICMS17;20260508;20;PF0=13.4|PF12=15.23|PF18=16.34|PF19=16.54|PF20=16.75|PF21=16.96|PF22=17.18|PMC0=17.98|PMC12=20.43|PMC18=21.92|PMC19=22.19|PMC20=22.47|PMC21=22.75|PMC22=23.05|PMVG17=12.67|PMVG18=12.82|PMVG20=13.14
CMED;20260508;medicamento;501621110034604;;;APSEN FARMACEUTICA S/A;RAHIME;8 MG COM REV CT BL AL PLAS PVC/PVDC TRANS X 10;RAMELTEONA;7896637033022;1011806360081;90523652;501621110034604;;N;;32.33;43.37;;;;CMED_ICMS17;20260508;20;PF0=26.83|PF12=30.49|PF18=32.72|PF19=33.12|PF20=33.54|PF21=33.96|PF22=34.4|PMC0=35.99|PMC12=40.9|PMC18=43.89|PMC19=44.43|PMC20=44.99|PMC21=45.56|PMC22=46.15|PMVG17=25.37|PMVG18=25.68|PMVG20=26.32
CMED;20260508;medicamento;501621110034804;;;APSEN FARMACEUTICA S/A;RAHIME;8 MG COM REV CT BL AL PLAS PVC/PVDC TRANS X 30;RAMELTEONA;7896637033046;1011806360101;90523679;501621110034804;;N;;97.04;130.18;;;;CMED_ICMS17;20260508;20;PF0=80.54|PF12=91.52|PF18=98.22|PF19=99.43|PF20=100.68|PF21=101.95|PF22=103.26|PMC0=108.04|PMC12=122.77|PMC18=131.76|PMC19=133.38|PMC20=135.06|PMC21=136.76|PMC22=138.52|PMVG17=76.15|PMVG18=77.07|PMVG20=79
