fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
CMED;20260508;medicamento;552920090132507;;;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;SABINE;2,5 MG COM REV CT BL AL PLAS TRANS X 30;LETROZOL;7896658037856;1057307390011;90485564;552920090132507;;N;;;;;;;CMED_ICMS17;20260508;20;PF0=869.06|PMC0=1197.91
CMED;20260508;medicamento;559126050011307;;;LABORATÓRIOS BAGÓ DO BRASIL S/A;SABIVARNEX;40 MG (0,3 MG/CM2) ADES TRANS CT 2 SACH X 5 ADES + 1 BAND;FLURBIPROFENO;7898636194704;1562600350018;;559126050011307;;N;;83.46;111.96;;;;CMED_ICMS17;20260508;20;PF0=69.27|PF12=78.72|PF18=84.48|PF19=85.52|PF20=86.59|PF21=87.68|PF22=88.81|PMC0=92.92|PMC12=105.6|PMC18=113.33|PMC19=114.72|PMC20=116.16|PMC21=117.62|PMC22=119.14|PMVG17=65.49|PMVG18=66.29|PMVG20=67.95
CMED;20260508;medicamento;559126050011407;;;LABORATÓRIOS BAGÓ DO BRASIL S/A;SABIVARNEX;40 MG (0,3 MG/CM2) ADES TRANS CT 1 SACH X 5 ADES + 1 BAND;FLURBIPROFENO;7898636194711;1562600350026;;559126050011407;;N;;41.72;55.97;;;;CMED_ICMS17;20260508;20;PF0=34.63|PF12=39.35|PF18=42.23|PF19=42.75|PF20=43.29|PF21=43.84|PF22=44.4|PMC0=46.45|PMC12=52.79|PMC18=56.65|PMC19=57.35|PMC20=58.07|PMC21=58.81|PMC22=59.56|PMVG17=32.74|PMVG18=33.14|PMVG20=33.97
CMED;20260508;medicamento;510500501172429;;;GEYER MEDICAMENTOS S/A;SABOFEN;7 MG/G SAB CT FILME PP X 100 G;IODO POVIDONA PVPI;7898100264131;1044300400011;90260422;510500501172429;;N;;30.52;41.23;;;;CMED_ICMS17;20260508;20;PF0=25.33|PF12=28.78|PF18=30.89|PF19=31.27|PF20=31.66|PF21=32.06|PF22=32.47|PMC0=34.22|PMC12=38.88|PMC18=41.73|PMC19=42.24|PMC20=42.77|PMC21=43.31|PMC22=43.87|PMVG17=23.95|PMVG18=24.24|PMVG20=24.84
CMED;20260508;medicamento;510500502179427;;;GEYER MEDICAMENTOS S/A;SABOFEN;7 MG/G SAB CT FILME PP X 50 G;IODO POVIDONA PVPI;7898100264124;1044300400028;90260430;510500502179427;;N;;21.39;28.9;;;;CMED_ICMS17;20260508;20;PF0=17.75|PF12=20.17|PF18=21.65|PF19=21.91|PF20=22.19|PF21=22.47|PF22=22.76|PMC0=23.98|PMC12=27.25|PMC18=29.25|PMC19=29.6|PMC20=29.98|PMC21=30.36|PMC22=30.75|PMVG17=16.78|PMVG18=16.99|PMVG20=17.41
CMED;20260508;medicamento;576720070081817;;;SANOFI MEDLEY FARMACÊUTICA LTDA.;SABRIL;500 MG COM REV CT BL AL PLAS AZUL X 60;VIGABATRINA;7891058226718;1832603200022;90489489;576720070081817;;N;;371.25;511.73;;;;CMED_ICMS17;20260508;20;PF0=308.14|PF12=350.16|PF18=375.78|PF19=380.42|PF20=385.18|PF21=390.05|PF22=395.05|PMC0=424.74|PMC12=482.66|PMC18=517.97|PMC19=524.37|PMC20=530.93|PMC21=537.64|PMC22=544.54
CMED;20260508;medicamento;540621120003805;;;VASCONCELOS INDUSTRIA FARMACEUTICA E COMERCIO LTDA;SACFER;20 MG/ML SOL INJ CT AMP VD AMB X 5 ML;SACARATO DE HIDRÓXIDO FÉRRICO;7898920500624;1640000130012;90526708;540621120003805;;N;;15.06;20.76;;;;CMED_ICMS17;20260508;20;PF0=12.5|PF12=14.2|PF18=15.24|PF19=15.43|PF20=15.63|PF21=15.82|PF22=16.03|PMC0=17.23|PMC12=19.57|PMC18=21.01|PMC19=21.27|PMC20=21.54|PMC21=21.81|PMC22=22.1
CMED;20260508;medicamento;540621120003905;;;VASCONCELOS INDUSTRIA FARMACEUTICA E COMERCIO LTDA;SACFER;20 MG/ML SOL INJ CT 5 AMP VD AMB X 5 ML;SACARATO DE HIDRÓXIDO FÉRRICO;7898920500631;1640000130020;90526716;540621120003905;;N;;75.3;103.79;;;;CMED_ICMS17;20260508;20;PF0=62.5|PF12=71.02|PF18=76.22|PF19=77.16|PF20=78.13|PF21=79.11|PF22=80.13|PMC0=86.15|PMC12=97.89|PMC18=105.06|PMC19=106.36|PMC20=107.69|PMC21=109.04|PMC22=110.45|PMVG17=59.09|PMVG18=59.81|PMVG20=61.31
CMED;20260508;medicamento;540622030004005;;;VASCONCELOS INDUSTRIA FARMACEUTICA E COMERCIO LTDA;SACFER;20 MG/ML SOL INJ CX 50 AMP VD AMB X 5 ML;SACARATO DE HIDRÓXIDO FÉRRICO;7898920500679;1640000130039;90531566;540622030004005;;N;;743.78;1025.22;;;;CMED_ICMS17;20260508;20;PF0=617.34|PF12=701.52|PF18=752.85|PF19=762.15|PF20=771.68|PF21=781.44|PF22=791.46|PMC0=850.94|PMC12=966.97|PMC18=1037.73|PMC19=1050.54|PMC20=1063.68|PMC21=1077.13|PMC22=1090.95|PMVG17=583.64|PMVG18=590.76|PMVG20=605.54
CMED;20260508;medicamento;516120060003807;;;LABORATORIO CATARINENSE LTDA;SADOL;0,4 ML/ML SOL OR FR PLAS AMB X 400 ML;SACARATO DE HIDRÓXIDO FÉRRICO;7896023702501;1006600520042;90476484;516120060003807;;N;;14.8;19.85;;;;CMED_ICMS17;20260508;20;PF0=12.28|PF12=13.95|PF18=14.98|PF19=15.16|PF20=15.35|PF21=15.54|PF22=15.74|PMC0=16.47|PMC12=18.71|PMC18=20.1|PMC19=20.34|PMC20=20.59|PMC21=20.85|PMC22=21.11|PMVG17=11.61|PMVG18=11.76|PMVG20=12.05
