fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
CMED;20260508;medicamento;526521080099201;;;NOVARTIS BIOCIENCIAS S.A;TABRECTA;150 MG COM REV CT BL AL PLAS PVC/PCTFE TRANS X 120;DICLORIDRATO DE CAPMATINIBE MONOIDRATADO;7896261022157;1006811780011;90518357;526521080099201;;N;;56865.12;76282.53;;;;CMED_ICMS17;20260508;20;PF0=47198.06|PF12=53634.18|PF18=57558.6|PF19=58269.21|PF20=58997.58|PF21=59744.39|PF22=60510.32|PMC0=63314.52|PMC12=71948.34|PMC18=77212.81|PMC19=78166.07|PMC20=79143.15|PMC21=80144.97|PMC22=81172.44|PMVG17=44622.06|PMVG18=45166.23|PMVG20=46295.4
CMED;20260508;medicamento;526521080099301;;;NOVARTIS BIOCIENCIAS S.A;TABRECTA;200 MG COM REV CT BL AL PLAS PVC/PCTFE TRANS X 120;DICLORIDRATO DE CAPMATINIBE MONOIDRATADO;7896261022164;1006811780028;90518365;526521080099301;;N;;56865.12;76282.53;;;;CMED_ICMS17;20260508;20;PF0=47198.06|PF12=53634.18|PF18=57558.6|PF19=58269.21|PF20=58997.58|PF21=59744.39|PF22=60510.32|PMC0=63314.52|PMC12=71948.34|PMC18=77212.81|PMC19=78166.07|PMC20=79143.15|PMC21=80144.97|PMC22=81172.44|PMVG17=44622.06|PMVG18=45166.23|PMVG20=46295.4
CMED;20260508;medicamento;506721060092304;;;CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;TACE;20 MG/ML SOL DIL INFUS IV CX FA VD TRANS X 4 ML;DOCETAXEL;7896676436976;1029805530014;90513495;506721060092304;;S;;6004.99;;;;;CMED_ICMS17;20260508;20;PF0=4984.14|PF12=5663.8|PF18=6078.22|PF19=6153.26|PF20=6230.18|PF21=6309.04|PF22=6389.92|PMVG17=4712.12|PMVG18=4769.58|PMVG20=4888.82
CMED;20260508;medicamento;541819010099803;;;EMS S/A;TACFEN;20 MG COM REV CT BL AL AL X 30;CITRATO DE TAMOXIFENO;7896004755250;1023512700091;90420551;541819010099803;;N;;205.78;283.65;;;;CMED_ICMS17;20260508;20;PF0=170.8|PF12=194.09|PF18=208.29|PF19=210.86|PF20=213.5|PF21=216.2|PF22=218.97|PMC0=235.43|PMC12=267.53|PMC18=287.11|PMC19=290.65|PMC20=294.29|PMC21=298.01|PMC22=301.83|PMVG17=161.48|PMVG18=163.44|PMVG20=167.53
CMED;20260508;medicamento;600623050000317;;;MANDALA BRASIL IMPORTACAO E DISTRIBUICAO DE PRODUTO MEDICO HOSPITALAR LTDA;TACHOSIL;5,5MG/CM2 + 2,0UI/CM2 ESPONJA CT 1 BL PLAS INC/PLAS OPC + SACHÊ AL (9,5CM X 4,8CM);"TROMBINA;FIBRINOGÊNIO";7896641806520;1096500050015;90562917;600623050000317;;S;;1316.46;;;;;CMED_ICMS17;20260508;20;PF0=1092.66|PF12=1241.66|PF18=1332.51|PF19=1348.96|PF20=1365.83|PF21=1383.11|PF22=1400.85|PMVG17=1033.03|PMVG18=1045.62|PMVG20=1071.77
CMED;20260508;medicamento;569918060000014;;;CAMBER FARMACEUTICA LTDA;TACROFORT;5MG CAP DURA CT BL AL X 50;TACROLIMO MONOIDRATADO;7908101200011;1650700010011;90423674;569918060000014;;N;;1621.75;2235.41;;;;CMED_ICMS17;20260508;20;PF0=1346.05|PF12=1529.6|PF18=1641.52|PF19=1661.79|PF20=1682.56|PF21=1703.86|PF22=1725.7|PMC0=1855.39|PMC12=2108.39|PMC18=2262.66|PMC19=2290.6|PMC20=2319.23|PMC21=2348.59|PMC22=2378.7
CMED;20260508;medicamento;569918060000114;;;CAMBER FARMACEUTICA LTDA;TACROFORT;1 MG CAP DURA CT BL AL X 50;TACROLIMO MONOIDRATADO;7908101200028;1650700010022;90423682;569918060000114;;N;;228.22;314.58;;;;CMED_ICMS17;20260508;20;PF0=189.42|PF12=215.25|PF18=231|PF19=233.85|PF20=236.78|PF21=239.77|PF22=242.85|PMC0=261.1|PMC12=296.7|PMC18=318.41|PMC19=322.34|PMC20=326.38|PMC21=330.5|PMC22=334.74
CMED;20260508;medicamento;507745701115417;;;EMS S/A;TACROLIL;1 MG CAP DURA CT BL AL PLAS PVDC OPC X 100 ENV AL;TACROLIMO MONOIDRATADO;7896004732718;1023510300116;90221567;507745701115417;;N;;1469.26;2025.22;;;;CMED_ICMS17;20260508;20;PF0=1219.49|PF12=1385.78|PF18=1487.18|PF19=1505.54|PF20=1524.36|PF21=1543.66|PF22=1563.45|PMC0=1680.94|PMC12=1910.15|PMC18=2049.92|PMC19=2075.23|PMC20=2101.17|PMC21=2127.77|PMC22=2155.05
CMED;20260508;medicamento;507745702111415;;;EMS S/A;TACROLIL;5 MG CAP DURA CT BL AL PLAS PVDC OPC X 50 ENV AL;TACROLIMO MONOIDRATADO;7896004732725;1023510300124;90221575;507745702111415;;N;;3673.3;5063.26;;;;CMED_ICMS17;20260508;20;PF0=3048.84|PF12=3464.59|PF18=3718.1|PF19=3764|PF20=3811.05|PF21=3859.29|PF22=3908.77|PMC0=4202.51|PMC12=4775.58|PMC18=5125.01|PMC19=5188.28|PMC20=5253.14|PMC21=5319.63|PMC22=5387.83
CMED;20260508;medicamento;510014120018606;;;FUNDAÇÃO PARA O REMÉDIO POPULAR - FURP;TACROLIMO;1 MG CAP GEL DURA CT BL AL PLAS OPC X 10 COM SACHE DE SILICA EM EMBALAGEM DE ALUMÍNIO (FLOW PACK);TACROLIMO;7895005805421;1103901830026;90305469;510014120018606;S;S;;;;;;;CMED_ICMS17;20260508;20;PF0=77.16
