fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
CMED;20260508;medicamento;520724070120604;;;LABORATORIO TEUTO BRASILEIRO S/A;ULCTAM;(1000 + 500) MG PO SOL INJ/INFUS IV/IM CT FA VD TRANS;"SULBACTAM SÓDICO;AMPICILINA SÓDICA";7896112105336;1037007930016;90587880;520724070120604;;S;;36.77;;;;;CMED_ICMS17;20260508;20;PF0=30.52|PF12=34.68|PF18=37.22|PF19=37.68|PF20=38.15|PF21=38.63|PF22=39.13|PMVG17=28.85|PMVG18=29.21|PMVG20=29.94
CMED;20260508;medicamento;520724070120704;;;LABORATORIO TEUTO BRASILEIRO S/A;ULCTAM;(2000 + 1000) MG PO SOL INJ/INFUS IV/IM CT FA VD TRANS;"SULBACTAM SÓDICO;AMPICILINA SÓDICA";7896112105343;1037007930067;90587898;520724070120704;;S;;66.23;;;;;CMED_ICMS17;20260508;20;PF0=54.97|PF12=62.47|PF18=67.04|PF19=67.86|PF20=68.71|PF21=69.58|PF22=70.47|PMVG17=51.97|PMVG18=52.61|PMVG20=53.92
CMED;20260508;medicamento;526516050086705;;;NOVARTIS BIOCIENCIAS S.A;ULTIBRO;(110 + 50) MCG CAP DURA INAL OR CT BL AL AL X 30 + 1 INAL;"MALEATO DE INDACATEROL;BROMETO DE GLICOPIRRÔNIO";7896261018860;1006811230028;90354826;526516050086705;;N;;280.12;375.77;;;;CMED_ICMS17;20260508;20;PF0=232.5|PF12=264.2|PF18=283.54|PF19=287.04|PF20=290.63|PF21=294.3|PF22=298.08|PMC0=311.89|PMC12=354.41|PMC18=380.36|PMC19=385.05|PMC20=389.87|PMC21=394.79|PMC22=399.86|PMVG17=219.81|PMVG18=222.49|PMVG20=228.06
CMED;20260508;medicamento;505618040043117;;;ASPEN PHARMA INDÚSTRIA FARMACÊUTICA LTDA;ULTIVA;2 MG PO LIOF SOL INJ IV CT 5 FA VD TRANS;CLORIDRATO DE REMIFENTANILA;7895858016951;1376401670028;90397770;505618040043117;;S;;456.01;;;;;CMED_ICMS17;20260508;20;PF0=378.49|PF12=430.1|PF18=461.57|PF19=467.27|PF20=473.11|PF21=479.1|PF22=485.24|PMVG17=357.83|PMVG18=362.19|PMVG20=371.25
CMED;20260508;medicamento;505618040043217;;;ASPEN PHARMA INDÚSTRIA FARMACÊUTICA LTDA;ULTIVA;5 MG PO LIOF SOL INJ IV CT 5 FA VD TRANS;CLORIDRATO DE REMIFENTANILA;7895858017132;1376401670036;90397789;505618040043217;;S;;1040.46;;;;;CMED_ICMS17;20260508;20;PF0=863.58|PF12=981.34|PF18=1053.15|PF19=1066.15|PF20=1079.48|PF21=1093.14|PF22=1107.15|PMVG17=816.45|PMVG18=826.41|PMVG20=847.07
CMED;20260508;medicamento;502324120037317;;;ASTRAZENECA DO BRASIL LTDA;ULTOMIRIS;10 MG/ML SOL DIL INFUS CT 1 FA VD INC X 30 ML;RAVULIZUMABE;5000456085810;1161803010013;90601211;502324120037317;;N;;32722.66;43896.28;;;;CMED_ICMS17;20260508;20;PF0=27159.81|PF12=30863.43|PF18=33121.71|PF19=33530.63|PF20=33949.76|PF21=34379.51|PF22=34820.26|PMC0=36433.92|PMC12=41402.19|PMC18=44431.59|PMC19=44980.15|PMC20=45542.39|PMC21=46118.89|PMC22=46710.14|PMVG17=25677.47|PMVG18=25990.6|PMVG20=26640.38
CMED;20260508;medicamento;502324120037417;;;ASTRAZENECA DO BRASIL LTDA;ULTOMIRIS;100 MG/ML SOL DIL INFUS IV CT FA VD TRANS X 3 ML;RAVULIZUMABE;5000456085823;1161803010021;90601220;502324120037417;;S;;32722.66;;;;;CMED_ICMS17;20260508;20;PF0=27159.81|PF12=30863.43|PF18=33121.71|PF19=33530.63|PF20=33949.76|PF21=34379.51|PF22=34820.26|PMVG17=25677.47|PMVG18=25990.6|PMVG20=26640.38
CMED;20260508;medicamento;502324120037517;;;ASTRAZENECA DO BRASIL LTDA;ULTOMIRIS;100 MG/ML SOL DIL INFUS IV CT FA VD TRANS X 11 ML;RAVULIZUMABE;5000456085830;1161803010031;90601238;502324120037517;;S;;119983.03;;;;;CMED_ICMS17;20260508;20;PF0=99585.94|PF12=113165.88|PF18=121446.25|PF19=122945.61|PF20=124482.43|PF21=126058.17|PF22=127674.25|PMVG17=94150.68|PMVG18=95298.87|PMVG20=97681.36
CMED;20260508;medicamento;565522080000702;;;ALEXION SERVICOS E FARMACEUTICA DO BRASIL LTDA;ULTOMIRIS;10 MG/ML SOL DIL INFUS CT 1 FA VD INC X 30 ML;RAVULIZUMABE;7898636010073;1981100040011;90550269;565522080000702;;N;;32722.66;43896.28;;;;CMED_ICMS17;20260508;20;PF0=27159.81|PF12=30863.43|PF18=33121.71|PF19=33530.63|PF20=33949.76|PF21=34379.51|PF22=34820.26|PMC0=36433.92|PMC12=41402.19|PMC18=44431.59|PMC19=44980.15|PMC20=45542.39|PMC21=46118.89|PMC22=46710.14|PMVG17=25677.47|PMVG18=25990.6|PMVG20=26640.38
CMED;20260508;medicamento;565523040000802;;;ALEXION SERVICOS E FARMACEUTICA DO BRASIL LTDA;ULTOMIRIS;100 MG/ML SOL DIL INFUS IV CT FA VD TRANS X 3 ML;RAVULIZUMABE;7898636010158;1981100040021;90564952;565523040000802;;S;;32722.66;;;;;CMED_ICMS17;20260508;20;PF0=27159.81|PF12=30863.43|PF18=33121.71|PF19=33530.63|PF20=33949.76|PF21=34379.51|PF22=34820.26|PMVG17=25677.47|PMVG18=25990.6|PMVG20=26640.38
