fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
CMED;20260508;medicamento;508026010198107;;;EUROFARMA LABORATORIOS S.A.;V-GRIPE;(400 + 4 + 4) MG CAP DURA CT BL AL PLAS PVC TRANS X 20;"MALEATO DE CLORFENIRAMINA;PARACETAMOL;CLORIDRATO DE FENILEFRINA";7891317044480;1004315560019;;508026010198107;;N;;39.78;53.36;;;;CMED_ICMS17;20260508;20;PF0=33.02|PF12=37.52|PF18=40.27|PF19=40.77|PF20=41.28|PF21=41.8|PF22=42.33|PMC0=44.3|PMC12=50.33|PMC18=54.02|PMC19=54.69|PMC20=55.38|PMC21=56.07|PMC22=56.78|PMVG17=31.22|PMVG18=31.6|PMVG20=32.39
CMED;20260508;medicamento;508026010198207;;;EUROFARMA LABORATORIOS S.A.;V-GRIPE;(400 + 4 + 4) MG CAP DURA CT BL AL PLAS PVC TRANS X 10;"MALEATO DE CLORFENIRAMINA;PARACETAMOL;CLORIDRATO DE FENILEFRINA";7891317044473;1004315560027;;508026010198207;;N;;23.39;31.38;;;;CMED_ICMS17;20260508;20;PF0=19.41|PF12=22.06|PF18=23.67|PF19=23.96|PF20=24.26|PF21=24.57|PF22=24.88|PMC0=26.04|PMC12=29.59|PMC18=31.75|PMC19=32.14|PMC20=32.54|PMC21=32.96|PMC22=33.38|PMVG17=18.35|PMVG18=18.57|PMVG20=19.04
CMED;20260508;medicamento;508025090194907;;;EUROFARMA LABORATORIOS S.A.;V-TOSSE;15 MG/ML XPE CT FR VD AMB X 100 ML + COP;HEDERA HELIX L.;7891317041731;1004315500016;90612094;508025090194907;;N;;51.01;68.43;;;;CMED_ICMS17;20260508;20;PF0=42.34|PF12=48.11|PF18=51.63|PF19=52.27|PF20=52.93|PF21=53.59|PF22=54.28|PMC0=56.8|PMC12=64.54|PMC18=69.26|PMC19=70.12|PMC20=71|PMC21=71.89|PMC22=72.81|PMVG17=40.03|PMVG18=40.51|PMVG20=41.54
CMED;20260508;medicamento;540921100048104;;;COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.;VABAM;10 MG COM REV CT BL AL PLAS PVC/PVDC TRANS X 10;RIVAROXABANA;7896094926585;1781709170013;90522419;540921100048104;;N;;83.7;115.37;;;;CMED_ICMS17;20260508;20;PF0=69.47|PF12=78.94|PF18=84.72|PF19=85.77|PF20=86.84|PF21=87.94|PF22=89.06|PMC0=95.76|PMC12=108.81|PMC18=116.78|PMC19=118.23|PMC20=119.7|PMC21=121.22|PMC22=122.76|PMVG17=65.68|PMVG18=66.48|PMVG20=68.14
CMED;20260508;medicamento;540921100048204;;;COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.;VABAM;10 MG COM REV CT BL AL PLAS PVC/PVDC TRANS X 30;RIVAROXABANA;7896094926592;1781709170021;90522427;540921100048204;;N;;251.14;346.17;;;;CMED_ICMS17;20260508;20;PF0=208.45|PF12=236.88|PF18=254.21|PF19=257.35|PF20=260.56|PF21=263.86|PF22=267.24|PMC0=287.33|PMC12=326.51|PMC18=350.4|PMC19=354.73|PMC20=359.15|PMC21=363.7|PMC22=368.36|PMVG17=197.07|PMVG18=199.48|PMVG20=204.46
CMED;20260508;medicamento;540921100048304;;;COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.;VABAM;15 MG COM REV CT BL AL PLAS PVC/PVDC TRANS X 10;RIVAROXABANA;7896094926608;1781709170031;90522435;540921100048304;;N;;83.7;115.37;;;;CMED_ICMS17;20260508;20;PF0=69.47|PF12=78.94|PF18=84.72|PF19=85.77|PF20=86.84|PF21=87.94|PF22=89.06|PMC0=95.76|PMC12=108.81|PMC18=116.78|PMC19=118.23|PMC20=119.7|PMC21=121.22|PMC22=122.76|PMVG17=65.68|PMVG18=66.48|PMVG20=68.14
CMED;20260508;medicamento;540921100048404;;;COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.;VABAM;15 MG COM REV CT BL AL PLAS PVC/PVDC TRANS X 15;RIVAROXABANA;7896094926615;1781709170048;90522443;540921100048404;;N;;125.57;173.09;;;;CMED_ICMS17;20260508;20;PF0=104.22|PF12=118.43|PF18=127.1|PF19=128.67|PF20=130.28|PF21=131.92|PF22=133.62|PMC0=143.66|PMC12=163.24|PMC18=175.19|PMC19=177.36|PMC20=179.58|PMC21=181.84|PMC22=184.18|PMVG17=98.53|PMVG18=99.74|PMVG20=102.23
CMED;20260508;medicamento;540921100048504;;;COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.;VABAM;15 MG COM REV CT BL AL PLAS PVC/PVDC TRANS X 30;RIVAROXABANA;7896094926622;1781709170056;90522451;540921100048504;;N;;251.14;346.17;;;;CMED_ICMS17;20260508;20;PF0=208.45|PF12=236.88|PF18=254.21|PF19=257.35|PF20=260.56|PF21=263.86|PF22=267.24|PMC0=287.33|PMC12=326.51|PMC18=350.4|PMC19=354.73|PMC20=359.15|PMC21=363.7|PMC22=368.36|PMVG17=197.07|PMVG18=199.48|PMVG20=204.46
CMED;20260508;medicamento;540921100048604;;;COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.;VABAM;20 MG COM REV CT BL AL PLAS PVC/PVDC TRANS X 10;RIVAROXABANA;7896094926639;1781709170064;90522460;540921100048604;;N;;83.7;115.37;;;;CMED_ICMS17;20260508;20;PF0=69.47|PF12=78.94|PF18=84.72|PF19=85.77|PF20=86.84|PF21=87.94|PF22=89.06|PMC0=95.76|PMC12=108.81|PMC18=116.78|PMC19=118.23|PMC20=119.7|PMC21=121.22|PMC22=122.76|PMVG17=65.68|PMVG18=66.48|PMVG20=68.14
CMED;20260508;medicamento;540921100048704;;;COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.;VABAM;20 MG COM REV CT BL AL PLAS PVC/PVDC TRANS X 15;RIVAROXABANA;7896094926646;1781709170072;90522478;540921100048704;;N;;125.57;173.09;;;;CMED_ICMS17;20260508;20;PF0=104.22|PF12=118.43|PF18=127.1|PF19=128.67|PF20=130.28|PF21=131.92|PF22=133.62|PMC0=143.66|PMC12=163.24|PMC18=175.19|PMC19=177.36|PMC20=179.58|PMC21=181.84|PMC22=184.18|PMVG17=98.53|PMVG18=99.74|PMVG20=102.23
