fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
CMED;20260508;medicamento;502325120038702;;;ASTRAZENECA DO BRASIL LTDA;WAINUA;56,25 MG/ML SOL INJ SC CT CAR VD TRANS X 0,8 ML + CAN APLIC;EPLONTERSENA SÓDICA;5000456083706;1161803070016;90620011;502325120038702;;N;;235534.73;315961.45;;;;CMED_ICMS17;20260508;20;PF0=195493.87|PF12=222152.2|PF18=238407.12|PF19=241350.48|PF20=244367.34|PF21=247460.64|PF22=250633.11|PMC0=262248.07|PMC12=298009.27|PMC18=319814.66|PMC19=323763.08|PMC20=327810.09|PMC21=331959.64|PMC22=336215.39|PMVG17=184824.1|PMVG18=187078.07|PMVG20=191755.05
CMED;20260508;medicamento;506420060039007;;;CIMED INDUSTRIA S.A;WARYZ;450 MG + 50 MG COM REV CT BL AL PLAS PVC TRANS X 30;"HESPERIDINA;DIOSMINA";7896523200231;1438102430037;90472950;506420060039007;;N;;49.52;66.43;;;;CMED_ICMS17;20260508;20;PF0=41.1|PF12=46.7|PF18=50.12|PF19=50.74|PF20=51.38|PF21=52.03|PF22=52.69|PMC0=55.13|PMC12=62.65|PMC18=67.23|PMC19=68.07|PMC20=68.92|PMC21=69.8|PMC22=70.68|PMVG17=38.86|PMVG18=39.33|PMVG20=40.32
CMED;20260508;medicamento;506420060039107;;;CIMED INDUSTRIA S.A;WARYZ;450 MG + 50 MG COM REV CT BL AL PLAS PVC TRANS X 60;"HESPERIDINA;DIOSMINA";7896523200248;1438102430053;90472969;506420060039107;;N;;100.9;135.35;;;;CMED_ICMS17;20260508;20;PF0=83.75|PF12=95.17|PF18=102.13|PF19=103.4|PF20=104.69|PF21=106.01|PF22=107.37|PMC0=112.35|PMC12=127.67|PMC18=137|PMC19=138.71|PMC20=140.44|PMC21=142.21|PMC22=144.03|PMVG17=79.18|PMVG18=80.14|PMVG20=82.15
CMED;20260508;medicamento;506425080054503;;;CIMED INDUSTRIA S.A;WARYZ;450 MG + 50 MG COM REV CT BL AL PLAS PVC TRANS X 90;"HESPERIDINA;DIOSMINA";7896523229027;1438102430071;90612248;506425080054503;;N;;112.82;151.34;;;;CMED_ICMS17;20260508;20;PF0=93.64|PF12=106.41|PF18=114.2|PF19=115.6|PF20=117.05|PF21=118.53|PF22=120.05|PMC0=125.61|PMC12=142.75|PMC18=153.2|PMC19=155.07|PMC20=157.02|PMC21=159|PMC22=161.04|PMVG17=88.53|PMVG18=89.61|PMVG20=91.85
CMED;20260508;medicamento;586021110000801;;;PTC FARMACEUTICA DO BRASIL LTDA.;WAYLIVRA;200 MG/ML SOL INJ SC CT SER PREENC VD TRANS X 1,5 ML;VOLANESORSENA SÓDICA;5391528830749;1577000030010;90526686;586021110000801;;N;;171962.23;230681.21;;;;CMED_ICMS17;20260508;20;PF0=142728.68|PF12=162191.73|PF18=174059.34|PF19=176208.26|PF20=178410.85|PF21=180669.25|PF22=182985.45|PMC0=191465.44|PMC12=217574.43|PMC18=233494.41|PMC19=236377.11|PMC20=239331.8|PMC21=242361.37|PMC22=245468.47|PMVG17=134938.76|PMVG18=136584.36|PMVG20=139998.99
CMED;20260508;medicamento;526623060011207;;;NOVO NORDISK FARMACÊUTICA DO BRASIL LTDA;WEGOVY;3,2 MG/ML SOL INJ SC CT 1 CAR VD TRANS X 3 ML + 1 SIST APLIC PLAS + 4 AGULHAS NOVOFINE PLUS;SEMAGLUTIDA;7897705203118;1176600390103;90563409;526623060011207;;N;;1864.98;2501.8;;;;CMED_ICMS17;20260508;20;PF0=1547.93|PF12=1759.01|PF18=1887.72|PF19=1911.02|PF20=1934.91|PF21=1959.41|PF22=1984.53|PMC0=2076.49|PMC12=2359.65|PMC18=2532.31|PMC19=2563.57|PMC20=2595.61|PMC21=2628.48|PMC22=2662.18|PMVG17=1463.45|PMVG18=1481.29|PMVG20=1518.32
CMED;20260508;medicamento;526623060011307;;;NOVO NORDISK FARMACÊUTICA DO BRASIL LTDA;WEGOVY;1,34 MG/ML SOL INJ SC CT 1 CAR VD TRANS X 3 ML + 1 SIST APLIC PLAS + 4 AGULHAS NOVOFINE PLUS;SEMAGLUTIDA;7897705203095;1176600390065;90563387;526623060011307;;N;;968;1298.54;;;;CMED_ICMS17;20260508;20;PF0=803.44|PF12=913|PF18=979.8|PF19=991.9|PF20=1004.3|PF21=1017.01|PF22=1030.05|PMC0=1077.79|PMC12=1224.76|PMC18=1314.37|PMC19=1330.6|PMC20=1347.23|PMC21=1364.28|PMC22=1381.78|PMVG17=759.59|PMVG18=768.85|PMVG20=788.07
CMED;20260508;medicamento;526623060011407;;;NOVO NORDISK FARMACÊUTICA DO BRASIL LTDA;WEGOVY;2,27 MG/ML SOL INJ SC CT 1 CAR VD TRANS X 3 ML + 1 SIST APLIC PLAS + 4 AGULHAS NOVOFINE PLUS;SEMAGLUTIDA;7897705203101;1176600390081;90563395;526623060011407;;N;;1449.98;1945.1;;;;CMED_ICMS17;20260508;20;PF0=1203.48|PF12=1367.59|PF18=1467.66|PF19=1485.78|PF20=1504.35|PF21=1523.39|PF22=1542.92|PMC0=1614.43|PMC12=1834.57|PMC18=1968.81|PMC19=1993.12|PMC20=2018.03|PMC21=2043.57|PMC22=2069.77|PMVG17=1137.8|PMVG18=1151.67|PMVG20=1180.46
CMED;20260508;medicamento;526623060011507;;;NOVO NORDISK FARMACÊUTICA DO BRASIL LTDA;WEGOVY;1,34 MG/ML SOL INJ SC CT 1 CAR VD TRANS X 1,5 ML + 1 SIST APLIC PLAS + 4 AGULHAS NOVOFINE PLUS;SEMAGLUTIDA;7897705203088;1176600390049;90563379;526623060011507;;N;;968;1298.54;;;;CMED_ICMS17;20260508;20;PF0=803.44|PF12=913|PF18=979.8|PF19=991.9|PF20=1004.3|PF21=1017.01|PF22=1030.05|PMC0=1077.79|PMC12=1224.76|PMC18=1314.37|PMC19=1330.6|PMC20=1347.23|PMC21=1364.28|PMC22=1381.78|PMVG17=759.59|PMVG18=768.85|PMVG20=788.07
CMED;20260508;medicamento;526623060011607;;;NOVO NORDISK FARMACÊUTICA DO BRASIL LTDA;WEGOVY;0,68 MG/ML SOL INJ SC CT 1 CAR VD TRANS X 1,5 ML + 1 SIST APLIC PLAS + 4 AGULHAS NOVOFINE PLUS;SEMAGLUTIDA;7897705203071;1176600390022;90563360;526623060011607;;N;;968;1298.54;;;;CMED_ICMS17;20260508;20;PF0=803.44|PF12=913|PF18=979.8|PF19=991.9|PF20=1004.3|PF21=1017.01|PF22=1030.05|PMC0=1077.79|PMC12=1224.76|PMC18=1314.37|PMC19=1330.6|PMC20=1347.23|PMC21=1364.28|PMC22=1381.78|PMVG17=759.59|PMVG18=768.85|PMVG20=788.07
