fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
CMED;20260508;medicamento;533022120083003;;;UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A;XAB;10 MG COM REV CT BL AL PLAS PVC/PVDC TRANS X 10;RIVAROXABANA;7896006202295;1049715030025;90552580;533022120083003;;N;;69.42;95.69;;;;CMED_ICMS17;20260508;20;PF0=57.62|PF12=65.48|PF18=70.27|PF19=71.14|PF20=72.03|PF21=72.94|PF22=73.87|PMC0=79.42|PMC12=90.26|PMC18=96.86|PMC19=98.06|PMC20=99.29|PMC21=100.54|PMC22=101.82|PMVG17=54.47|PMVG18=55.14|PMVG20=56.52
CMED;20260508;medicamento;533022120083103;;;UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A;XAB;10 MG COM REV CT BL AL PLAS PVC/PVDC TRANS X 30;RIVAROXABANA;7896006202288;1049715030041;90552598;533022120083103;;N;;208.3;287.12;;;;CMED_ICMS17;20260508;20;PF0=172.89|PF12=196.47|PF18=210.84|PF19=213.44|PF20=216.11|PF21=218.85|PF22=221.65|PMC0=238.31|PMC12=270.81|PMC18=290.62|PMC19=294.2|PMC20=297.89|PMC21=301.66|PMC22=305.52|PMVG17=163.45|PMVG18=165.45|PMVG20=169.58
CMED;20260508;medicamento;533022120083203;;;UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A;XAB;15 MG COM REV CT BL AL PLAS PVC/PVDC TRANS X 14;RIVAROXABANA;7896006202325;1049715030076;90552601;533022120083203;;N;;95.2;131.22;;;;CMED_ICMS17;20260508;20;PF0=79.02|PF12=89.8|PF18=96.37|PF19=97.56|PF20=98.78|PF21=100.03|PF22=101.31|PMC0=108.92|PMC12=123.78|PMC18=132.84|PMC19=134.48|PMC20=136.16|PMC21=137.88|PMC22=139.65|PMVG17=74.7|PMVG18=75.62|PMVG20=77.51
CMED;20260508;medicamento;533022120083303;;;UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A;XAB;15 MG COM REV CT BL AL PLAS PVC/PVDC TRANS X 30;RIVAROXABANA;7896006202318;1049715030106;90552610;533022120083303;;N;;204;281.19;;;;CMED_ICMS17;20260508;20;PF0=169.32|PF12=192.41|PF18=206.49|PF19=209.04|PF20=211.65|PF21=214.33|PF22=217.08|PMC0=233.39|PMC12=265.22|PMC18=284.62|PMC19=288.14|PMC20=291.74|PMC21=295.43|PMC22=299.22|PMVG17=160.08|PMVG18=162.03|PMVG20=166.08
CMED;20260508;medicamento;533022120083403;;;UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A;XAB;20 MG COM REV CT BL AL PLAS PVC/PVDC TRANS X 14;RIVAROXABANA;7896006202455;1049715030149;90552628;533022120083403;;N;;95.2;131.22;;;;CMED_ICMS17;20260508;20;PF0=79.02|PF12=89.8|PF18=96.37|PF19=97.56|PF20=98.78|PF21=100.03|PF22=101.31|PMC0=108.92|PMC12=123.78|PMC18=132.84|PMC19=134.48|PMC20=136.16|PMC21=137.88|PMC22=139.65|PMVG17=74.7|PMVG18=75.62|PMVG20=77.51
CMED;20260508;medicamento;533022120083503;;;UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A;XAB;20 MG COM REV CT BL AL PLAS PVC/PVDC TRANS X 30;RIVAROXABANA;7896006202349;1049715030173;90552636;533022120083503;;N;;204;281.19;;;;CMED_ICMS17;20260508;20;PF0=169.32|PF12=192.41|PF18=206.49|PF19=209.04|PF20=211.65|PF21=214.33|PF22=217.08|PMC0=233.39|PMC12=265.22|PMC18=284.62|PMC19=288.14|PMC20=291.74|PMC21=295.43|PMC22=299.22|PMVG17=160.08|PMVG18=162.03|PMVG20=166.08
CMED;20260508;medicamento;533819020009002;;;ZAMBON LABORATÓRIOS FARMACÊUTICOS LTDA.;XADAGO;50 MG COM REV CT BL AL PLAS PVC/PVDC TRANS X 14;MESILATO DE SAFINAMIDA;7898074617797;1008499560011;90429184;533819020009002;;N;;88.46;118.67;;;;CMED_ICMS17;20260508;20;PF0=73.42|PF12=83.43|PF18=89.54|PF19=90.64|PF20=91.78|PF21=92.94|PF22=94.13|PMC0=98.49|PMC12=111.92|PMC18=120.11|PMC19=121.59|PMC20=123.12|PMC21=124.68|PMC22=126.27|PMVG17=69.41|PMVG18=70.26|PMVG20=72.02
CMED;20260508;medicamento;533819020009102;;;ZAMBON LABORATÓRIOS FARMACÊUTICOS LTDA.;XADAGO;50 MG COM REV CT BL AL PLAS PVC/PVDC TRANS X 30;MESILATO DE SAFINAMIDA;7898074613775;1008499560028;90429192;533819020009102;;N;;189.52;254.23;;;;CMED_ICMS17;20260508;20;PF0=157.3|PF12=178.75|PF18=191.83|PF19=194.2|PF20=196.63|PF21=199.11|PF22=201.67|PMC0=211.01|PMC12=239.79|PMC18=257.33|PMC19=260.51|PMC20=263.77|PMC21=267.1|PMC22=270.53|PMVG17=148.72|PMVG18=150.53|PMVG20=154.3
CMED;20260508;medicamento;533819020009302;;;ZAMBON LABORATÓRIOS FARMACÊUTICOS LTDA.;XADAGO;100 MG COM REV CT BL AL PLAS PVC/PVDC TRANS X 30;MESILATO DE SAFINAMIDA;7898074617889;1008499560044;90429214;533819020009302;;N;;379.02;508.44;;;;CMED_ICMS17;20260508;20;PF0=314.59|PF12=357.49|PF18=383.65|PF19=388.38|PF20=393.24|PF21=398.22|PF22=403.32|PMC0=422.01|PMC12=479.56|PMC18=514.65|PMC19=521|PMC20=527.52|PMC21=534.2|PMC22=541.04|PMVG17=297.42|PMVG18=301.05|PMVG20=308.58
CMED;20260508;medicamento;501621110034904;;;APSEN FARMACEUTICA S/A;XAFAC;10 MG COM REV CT BL AL PLAS PVC/PVDC TRANS X 30;RIVAROXABANA;7896637032957;1011806350165;90523440;501621110034904;;N;;306.51;422.49;;;;CMED_ICMS17;20260508;20;PF0=254.4|PF12=289.09|PF18=310.24|PF19=314.07|PF20=318|PF21=322.03|PF22=326.15|PMC0=350.66|PMC12=398.48|PMC18=427.63|PMC19=432.91|PMC20=438.33|PMC21=443.88|PMC22=449.56|PMVG17=240.52|PMVG18=243.44|PMVG20=249.53
CMED;20260508;medicamento;501621110035204;;;APSEN FARMACEUTICA S/A;XAFAC;10 MG COM REV CT BL AL PLAS PVC/PVDC TRANS X 10;RIVAROXABANA;7896637032940;1011806350149;90523423;501621110035204;;N;;102.16;140.82;;;;CMED_ICMS17;20260508;20;PF0=84.79|PF12=96.35|PF18=103.4|PF19=104.68|PF20=105.99|PF21=107.33|PF22=108.71|PMC0=116.87|PMC12=132.81|PMC18=142.53|PMC19=144.29|PMC20=146.1|PMC21=147.94|PMC22=149.85|PMVG17=80.16|PMVG18=81.14|PMVG20=83.17
CMED;20260508;medicamento;501621110035604;;;APSEN FARMACEUTICA S/A;XAFAC;2,5 MG COM REV CT BL AL PLAS PVC/PVDC TRANS X 30;RIVAROXABANA;7896637032919;1011806350033;90523385;501621110035604;;N;;156.98;216.38;;;;CMED_ICMS17;20260508;20;PF0=130.29|PF12=148.06|PF18=158.89|PF19=160.85|PF20=162.86|PF21=164.92|PF22=167.04|PMC0=179.59|PMC12=204.09|PMC18=219.01|PMC19=221.71|PMC20=224.49|PMC21=227.33|PMC22=230.25|PMVG17=123.18|PMVG18=124.68|PMVG20=127.8
