fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
CMED;20260508;medicamento;538913050022403;;;BAYER S.A.;YASMIN;(3 + 0,03)MG COM REV CT BL AL PLAS PVC TRANS X 63 + 21;"ETINILESTRADIOL;DROSPIRENONA";7891106909068;1705600700081;90284526;538913050022403;;N;;259.69;357.96;;;;CMED_ICMS17;20260508;20;PF0=215.54|PF12=244.93|PF18=262.85|PF19=266.1|PF20=269.43|PF21=272.84|PF22=276.33|PMC0=297.1|PMC12=337.61|PMC18=362.31|PMC19=366.79|PMC20=371.38|PMC21=376.08|PMC22=380.89|PMVG17=203.78|PMVG18=206.26|PMVG20=211.42
CMED;20260508;medicamento;538915060023503;;;BAYER S.A.;YASMIN;(3 + 0,03)MG COM REV CT BL AL PLAS PVC TRANS X 21 + 7;"ETINILESTRADIOL;DROSPIRENONA";7891106909044;1705600700071;90327292;538915060023503;;N;;86.58;119.34;;;;CMED_ICMS17;20260508;20;PF0=71.86|PF12=81.66|PF18=87.63|PF19=88.72|PF20=89.83|PF21=90.96|PF22=92.13|PMC0=99.05|PMC12=112.56|PMC18=120.79|PMC19=122.29|PMC20=123.82|PMC21=125.38|PMC22=126.99|PMVG17=67.94|PMVG18=68.76|PMVG20=70.49
CMED;20260508;medicamento;538912120021103;;;BAYER S.A.;YAZ;3 MG + 0,02 MG COM REV CT BL CALEND AL PLAS TRANS X 24 + 4 PLACEBO;"CLATRATO DE ETINILESTRADIOL BETACICLODEXTRINA;DROSPIRENONA";7891106914154;1705600690033;90284488;538912120021103;;N;;86.58;119.34;;;;CMED_ICMS17;20260508;20;PF0=71.86|PF12=81.66|PF18=87.63|PF19=88.72|PF20=89.83|PF21=90.96|PF22=92.13|PMC0=99.05|PMC12=112.56|PMC18=120.79|PMC19=122.29|PMC20=123.82|PMC21=125.38|PMC22=126.99|PMVG17=67.94|PMVG18=68.76|PMVG20=70.49
CMED;20260508;medicamento;538917100027503;;;BAYER S.A.;YAZ;3 MG + 0,02 MG COM REV CT BL AL PLAS TRANS X 30;"CLATRATO DE ETINILESTRADIOL BETACICLODEXTRINA;DROSPIRENONA";7891106908498;1705600690106;90388500;538917100027503;;N;;108.19;149.13;;;;CMED_ICMS17;20260508;20;PF0=89.8|PF12=102.05|PF18=109.51|PF19=110.86|PF20=112.25|PF21=113.67|PF22=115.13|PMC0=123.78|PMC12=140.67|PMC18=150.95|PMC19=152.81|PMC20=154.72|PMC21=156.68|PMC22=158.69|PMVG17=84.9|PMVG18=85.93|PMVG20=88.08
CMED;20260508;medicamento;505112120019302;;;BRISTOL-MYERS SQUIBB FARMACÊUTICA LTDA;YERVOY;50 MG SOL INJ CT 1 FA VD TRANS X 10 ML;IPILIMUMABE;7896016807589;1018004020012;90255224;505112120019302;;S;;24855.13;;;;;CMED_ICMS17;20260508;20;PF0=20629.76|PF12=23442.92|PF18=25158.24|PF19=25468.84|PF20=25787.2|PF21=26113.62|PF22=26448.4|PMVG17=19503.82|PMVG18=19741.67|PMVG20=20235.22
CMED;20260508;medicamento;546823080001407;;;GILEAD SCIENCES FARMACEUTICA DO BRASIL LTDA;YESCARTA;1,0 A 2,0 X 10E6 CELS T CAR POSITIVAS/KG SUS INJ IV CASSETE ALU BOLS;AXICABTAGENO CILOLEUCEL;7898962482247;1092900130013;90565169;546823080001407;;S;;2302411.65;;;;;CMED_ICMS17;20260508;20;PF0=1911002.11|PF12=2171594|PF18=2330490.01|PF19=2359262.05|PF20=2388752.64|PF21=2418990.42|PF22=2450002.17|PMVG17=1806702.42|PMVG18=1828735.51|PMVG20=1874454.2
CMED;20260508;medicamento;501603301118317;;;APSEN FARMACEUTICA S/A;YOMAX;5,4 MG COM CT BL AL PLAS TRANS X 60;CLORIDRATO DE IOIMBINA;7896637022644;1011801200025;90010140;501603301118317;;N;;81.8;109.73;;;;CMED_ICMS17;20260508;20;PF0=67.89|PF12=77.15|PF18=82.79|PF19=83.81|PF20=84.86|PF21=85.94|PF22=87.04|PMC0=91.07|PMC12=103.49|PMC18=111.06|PMC19=112.43|PMC20=113.84|PMC21=115.29|PMC22=116.76|PMVG17=64.19|PMVG18=64.96|PMVG20=66.59
CMED;20260508;medicamento;534224120036302;;;ADIUM S.A.;YONDELIS;1 MG PO LIOF SOL INFUS IV CT FA VD TRANS;TRABECTEDINA;7892953208496;1221401330010;90601602;534224120036302;;S;;3954.49;;;;;CMED_ICMS17;20260508;20;PF0=3282.23|PF12=3729.81|PF18=4002.72|PF19=4052.14|PF20=4102.79|PF21=4154.72|PF22=4207.99|PMVG17=3103.09|PMVG18=3140.93|PMVG20=3219.46
CMED;20260508;medicamento;545124020001507;;;CELLTRION HEALTHCARE DISTRIBUICAO DE PRODUTOS FARMACEUTICOS DOS BRASIL LTDA;YUFLYMA;100 MG/ML SOL INJ CT 2 X SER PREENC VD TRANS X 0,4 ML + 2 CAN APLIC + 2 ENV LEN ALCOOL;ADALIMUMABE;7898576550332;1921600040025;90574974;545124020001507;;N;;2405.92;3316.31;;;;CMED_ICMS17;20260508;20;PF0=1996.91|PF12=2269.22|PF18=2435.26|PF19=2465.32|PF20=2496.14|PF21=2527.73|PF22=2560.14|PMC0=2752.53|PMC12=3127.88|PMC18=3356.75|PMC19=3398.19|PMC20=3440.67|PMC21=3484.21|PMC22=3528.89
CMED;20260508;medicamento;545124020001607;;;CELLTRION HEALTHCARE DISTRIBUICAO DE PRODUTOS FARMACEUTICOS DOS BRASIL LTDA;YUFLYMA;100 MG/ML SOL INJ CT 2 X SER PREENC VD TRANS X 0,4 ML + 2 ENV LEN ALCOOL;ADALIMUMABE;7898576550318;1921600040017;90574966;545124020001607;;N;;2405.92;3316.31;;;;CMED_ICMS17;20260508;20;PF0=1996.91|PF12=2269.22|PF18=2435.26|PF19=2465.32|PF20=2496.14|PF21=2527.73|PF22=2560.14|PMC0=2752.53|PMC12=3127.88|PMC18=3356.75|PMC19=3398.19|PMC20=3440.67|PMC21=3484.21|PMC22=3528.89
