fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
SIMPRO;2026-04-12;material;0002410024;12;;ERWIN GUTH;ABAIXA LINGUA ANDREW 12CM 080.001;;;;;;;;;;;;;;23.76;SIMPRO_VIG;2009-08-12;19;
SIMPRO;2026-04-12;material;0002315001;12;;EDLO;ABAIXA LINGUA BRUENINGS 18CM;;;;;;;;;;;;;;30.21;SIMPRO_VIG;2016-07-26;19;
SIMPRO;2026-04-12;material;0000112368;12;;CIRURGICA FERNANDES;ABAIXA LINGUA BRUENINGS 19CM PROFESSIONAL;;;;;;;;;;;;;;43.25;SIMPRO_VIG;2015-09-10;19;
SIMPRO;2026-04-12;material;0002410025;12;;ERWIN GUTH;ABAIXA LINGUA BRUENINGS INOX 19CM 080.005;;;;;;;;;;;;;;11.17;SIMPRO_VIG;2009-08-12;19;
SIMPRO;2026-04-12;material;0000112369;12;;C.FERNANDE;ABAIXA LINGUA MCIVOR LAMINA 25X86MM C/SUCCAO PROFESSIONAL MA.45.53.62;;;;;;;;;;;;;;0;SIMPRO_VIG;2009-08-26;19;
SIMPRO;2026-04-12;material;0000112370;12;;C.FERNANDE;ABAIXA LINGUA MCIVOR LAMINA 26X100MM C/SUCCAO PROFESSIONAL MA.45.53.63;;;;;;;;;;;;;;0;SIMPRO_VIG;2009-08-26;19;
SIMPRO;2026-04-12;material;0002410026;12;;ERWIN GUTH;ABAIXA LINGUA TOBOLD INOX 15CM 080.010;;;;;;;;;;;;;;23.76;SIMPRO_VIG;2009-08-12;19;
SIMPRO;2026-04-12;material;0000153009;12;;LABOR IMPORT;ABAIXADOR LINGUA 100UNID.;;;;;;;;;;;;;;0.124;SIMPRO_VIG;2014-01-08;19;
SIMPRO;2026-04-12;material;0000157557;12;;ESTILO;ABAIXADOR LINGUA 2000UNID.;;;;;;;;;;;;;;0.11;SIMPRO_VIG;2018-10-05;19;
SIMPRO;2026-04-12;material;0000157558;12;;ESTILO;ABAIXADOR LINGUA 5000UNID.;;;;;;;;;;;;;;0.036;SIMPRO_VIG;2018-10-05;19;
SIMPRO;2026-04-12;material;0000138336;12;;ESTILO;ABAIXADOR LINGUA 50PCT/100UNID.;;;;;;;;;;;;;;3.129;SIMPRO_VIG;2018-10-05;19;
SIMPRO;2026-04-12;material;0000253626;12;;AGPMED;ABAIXADOR LINGUA C/AROMA/SABOR TIC-TONG MOD.ANIMAL 40UNID.;;;;;;;;;;;;;;0.832;SIMPRO_VIG;2024-10-03;19;
SIMPRO;2026-04-12;material;0000253628;12;;AGPMED;ABAIXADOR LINGUA C/AROMA/SABOR TIC-TONG MOD.ANIMAL JUNIOR 40UNID.;;;;;;;;;;;;;;0.763;SIMPRO_VIG;2024-10-03;19;
SIMPRO;2026-04-12;material;0000253630;12;;AGPMED;ABAIXADOR LINGUA C/AROMA/SABOR TIC-TONG MOD.STANDARD 40UNID.;;;;;;;;;;;;;;0.763;SIMPRO_VIG;2024-10-03;19;
SIMPRO;2026-04-12;material;0000143363;12;;PACK;ABAIXADOR LINGUA DESC.INDIVIDUALIZADO PACK;;;;;;;;;;;;;;0.78;SIMPRO_VIG;2016-04-26;19;
SIMPRO;2026-04-12;material;0000083987;12;;HEALTH QUALITY;ABAIXADOR LINGUA EST.;;;;;;;;;;;;;;21.24;SIMPRO_VIG;2016-04-26;19;
SIMPRO;2026-04-12;material;0000358816;12;;CRAL;ABAIXADOR LINGUA MADEIRA 100UN;;;;;;;;;;;;;;0.088;SIMPRO_VIG;2025-02-06;19;
SIMPRO;2026-04-12;material;0000138672;12;;PONTO MEDICO;ABAIXADOR LINGUA MADEIRA 100UNID THEOTO;;;;;;;;;;;;;;0.075;SIMPRO_VIG;2023-11-29;19;
SIMPRO;2026-04-12;material;0000325709;12;;CONCEITOS LOJA;ABAIXADOR MADEIRA P/LINGUA 100UNID.;;;;;;;;;;;;;;0.7;SIMPRO_VIG;2022-06-24;19;
SIMPRO;2026-04-12;material;0000072015;12;;DILEPE;ABOBADA PLANTAR P/PALMILHA 12UNID NR.18/27;;;;;;;;;;;;;;0;SIMPRO_VIG;2009-09-11;19;
SIMPRO;2026-04-12;material;0000072016;12;;DILEPE;ABOBADA PLANTAR P/PALMILHA 12UNID NR.28/32;;;;;;;;;;;;;;0;SIMPRO_VIG;2009-09-11;19;
SIMPRO;2026-04-12;material;0000072017;12;;DILEPE;ABOBADA PLANTAR P/PALMILHA 12UNID NR.33/36;;;;;;;;;;;;;;0;SIMPRO_VIG;2009-09-11;19;
SIMPRO;2026-04-12;material;0000274819;12;;CIRURGICA FERNANDES;ABRE BOCA MCVIVOR C/BAST.03LAM SUC.WELDON;;;;;;;;;;;;;;1201.02;SIMPRO_VIG;2016-07-19;19;
SIMPRO;2026-04-12;material;0000274812;12;;CIRURGICA FERNANDES;ABRE GESSO HENNING 27CM WELDON;;;;;;;;;;;;;;666.06;SIMPRO_VIG;2016-07-19;19;
SIMPRO;2026-04-12;material;0000112371;12;;CIRURGICA FERNANDES;ABRE-BOCA DENHART 13CM PROFESSIONAL MA.72.05.60;;;;;;;;;;;;;;1174.6;SIMPRO_VIG;2013-09-04;19;
SIMPRO;2026-04-12;material;0000112372;12;;CIRURGICA FERNANDES;ABRE-BOCA DINGMAN COMPLETO PROFESSIONAL MA.72.08.00;;;;;;;;;;;;;;3108.77;SIMPRO_VIG;2013-09-04;19;
SIMPRO;2026-04-12;material;0000112374;12;;CIRURGICA FERNANDES;ABRE-BOCA MCIVOR COMPLETO C/SUCCAO PROFESSIONAL MA.45.53.50;;;;;;;;;;;;;;1201.02;SIMPRO_VIG;2013-09-04;19;
SIMPRO;2026-04-12;material;0000112373;12;;CIRURGICA FERNANDES;ABRE-BOCA MCIVOR COMPLETO PROFESSIONAL MA.45.53.00;;;;;;;;;;;;;;1003.92;SIMPRO_VIG;2013-09-04;19;
SIMPRO;2026-04-12;material;0000112375;12;;CIRURGICA FERNANDES;ABRE-GESSO HENNING 27CM PROFESSIONAL;;;;;;;;;;;;;;666.06;SIMPRO_VIG;2015-09-10;19;
