fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
SIMPRO;2026-04-12;material;0000043573;12;;CENTERLAB;B-HCG (200MUI/ML) (URINA) WAMA 27100-L;;;;;;;;;;;;;;0.695;SIMPRO_VIG;2006-04-19;19;
SIMPRO;2026-04-12;material;0000043571;12;;CENTERLAB;B-HCG (200MUI/ML) (URINA) WAMA 2760-L;;;;;;;;;;;;;;0.829;SIMPRO_VIG;2006-04-19;19;
SIMPRO;2026-04-12;material;0000028112;12;;CRISTAL;BABADOR 1UNID;;;;;;;;;;;;;;0;SIMPRO_VIG;2006-07-13;19;
SIMPRO;2026-04-12;material;0000063025;12;;DESCARPACK;BABADOR 2X1 C/FITA O221101;;;;;;;;;;;;;;15.73;SIMPRO_VIG;2006-02-01;19;
SIMPRO;2026-04-12;material;0000063024;12;;DESCARPACK;BABADOR 2X1 S/FITA O220101;;;;;;;;;;;;;;13.37;SIMPRO_VIG;2006-02-01;19;
SIMPRO;2026-04-12;material;0000134997;12;;WINNER;BABADOR DESC.TNT;;;;;;;;;;;;;;1.8;SIMPRO_VIG;2009-03-04;19;
SIMPRO;2026-04-12;material;0000134998;12;;WINNER;BABADOR DESC.TNT;;;;;;;;;;;;;;2.5;SIMPRO_VIG;2009-03-04;19;
SIMPRO;2026-04-12;material;0000162811;12;;BIOSERVICE;BABADOR IMPERM.DESC.FOLHA SIMPLES AMARELO 100UNID;;;;;;;;;;;;;;0.12;SIMPRO_VIG;2013-05-02;19;
SIMPRO;2026-04-12;material;0000162812;12;;BIOSERVICE;BABADOR IMPERM.DESC.FOLHA SIMPLES AZUL 100UNID;;;;;;;;;;;;;;0.12;SIMPRO_VIG;2013-05-02;19;
SIMPRO;2026-04-12;material;0000117377;12;;BIOSERVICE;BABADOR IMPERM.DESC.FOLHA SIMPLES BRANCO 100UNID;;;;;;;;;;;;;;0.12;SIMPRO_VIG;2013-05-02;19;
SIMPRO;2026-04-12;material;0000117376;12;;BIOSERVICE;BABADOR IMPERM.DESC.FOLHA SIMPLES BRANCO ECON.650UNID;;;;;;;;;;;;;;0.125;SIMPRO_VIG;2008-11-07;19;
SIMPRO;2026-04-12;material;0000117380;12;;BIOSERVICE;BABADOR IMPERM.DESC.FOLHA SIMPLES BRANCO EST.150UNID.;;;;;;;;;;;;;;0.027;SIMPRO_VIG;2016-03-22;19;
SIMPRO;2026-04-12;material;0000117379;12;;BIOSERVICE;BABADOR IMPERM.DESC.FOLHA SIMPLES INF.100UNID;;;;;;;;;;;;;;0.127;SIMPRO_VIG;2011-11-18;19;
