fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
SIMPRO;2026-04-12;material;0000111740;12;;DABASONS;CABECA CEFALICA INTERC.P/QUADRIL COLO CURTO CONE 12/14 28MM ZIMMER;;;;;;;;;;;;;;2626;SIMPRO_VIG;2026-03-31;19;
SIMPRO;2026-04-12;material;0000111745;12;;DABASONS;CABECA CEFALICA INTERC.P/QUADRIL COLO CURTO CONE 12/14 ZIMMER;;;;;;;;;;;;;;7840;SIMPRO_VIG;2026-03-31;19;
SIMPRO;2026-04-12;material;0000111742;12;;DABASONS;CABECA CEFALICA INTERC.P/QUADRIL COLO LONGO CONE 12/14 28MM ZIMMER;;;;;;;;;;;;;;2626;SIMPRO_VIG;2026-03-31;19;
SIMPRO;2026-04-12;material;0000111744;12;;DABASONS;CABECA CEFALICA INTERC.P/QUADRIL COLO LONGO CONE 12/14 32MM ZIMMER;;;;;;;;;;;;;;2626;SIMPRO_VIG;2026-03-31;19;
SIMPRO;2026-04-12;material;0000111747;12;;DABASONS;CABECA CEFALICA INTERC.P/QUADRIL COLO LONGO CONE 12/14 ZIMMER;;;;;;;;;;;;;;7840;SIMPRO_VIG;2026-03-31;19;
SIMPRO;2026-04-12;material;0000111741;12;;DABASONS;CABECA CEFALICA INTERC.P/QUADRIL COLO MED.CONE 12/14 28MM ZIMMER;;;;;;;;;;;;;;2626;SIMPRO_VIG;2026-03-31;19;
SIMPRO;2026-04-12;material;0000111743;12;;DABASONS;CABECA CEFALICA INTERC.P/QUADRIL COLO MED.CONE 12/14 32MM ZIMMER;;;;;;;;;;;;;;2626;SIMPRO_VIG;2026-03-31;19;
SIMPRO;2026-04-12;material;0000111746;12;;DABASONS;CABECA CEFALICA INTERC.P/QUADRIL COLO MED.CONE 12/14 ZIMMER;;;;;;;;;;;;;;7840;SIMPRO_VIG;2026-03-31;19;
SIMPRO;2026-04-12;material;0000287081;12;;ORTOCIR;CABECA CERAMICA 28MM CONE 12/14 COLO CURTO(-3,5);;;;;;;;;;;;;;3580;SIMPRO_VIG;2017-06-29;19;
SIMPRO;2026-04-12;material;0000287085;12;;ORTOCIR;CABECA CERAMICA 28MM CONE 12/14 COLO LONGO(+3,5);;;;;;;;;;;;;;3580;SIMPRO_VIG;2017-06-29;19;
SIMPRO;2026-04-12;material;0000287088;12;;ORTOCIR;CABECA CERAMICA 28MM CONE 12/14 COLO MEDIO(0);;;;;;;;;;;;;;3580;SIMPRO_VIG;2017-06-29;19;
SIMPRO;2026-04-12;material;0000287094;12;;ORTOCIR;CABECA CERAMICA 32MM CONE 12/14 COLO CURTO(-4,0);;;;;;;;;;;;;;3580;SIMPRO_VIG;2017-06-29;19;
SIMPRO;2026-04-12;material;0000287098;12;;ORTOCIR;CABECA CERAMICA 32MM CONE 12/14 COLO LONGO(+4,0);;;;;;;;;;;;;;3580;SIMPRO_VIG;2017-06-29;19;
