fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
SIMPRO;2026-04-12;material;0000291577;12;;CONSALAB;CEFALINA APTTEST(TTPA-T.TROMBOPLASTINA)150 DETERMINACOES(6X2,5ML)WIENER;;;;;;;;;;;;;;285.79;SIMPRO_VIG;2017-10-17;19;
SIMPRO;2026-04-12;material;0000146728;12;;GLENMARK;CELAMINA ULTRA SHM.150ML;;;;;;;;;;;;;;70.2;SIMPRO_VIG;2021-04-13;19;
SIMPRO;2026-04-12;material;0000146729;12;;GLENMARK;CELAMINA ZINCO SHM.150ML;;;;;;;;;;;;;;64.01;SIMPRO_VIG;2021-04-13;19;
SIMPRO;2026-04-12;material;0000266271;12;;BOSTON ENDOSCOPY;CELLEBRITY ESCOVA CITOLOGIA ENDOSCOPICA 1,0MMX140CM 10UNID;;;;;;;;;;;;;;138;SIMPRO_VIG;2016-06-01;19;
SIMPRO;2026-04-12;material;0000266272;12;;BOSTON ENDOSCOPY;CELLEBRITY ESCOVA CITOLOGIA ENDOSCOPICA 1,5MMX140CM 10UNID;;;;;;;;;;;;;;138;SIMPRO_VIG;2016-06-01;19;
SIMPRO;2026-04-12;material;0000266273;12;;BOSTON ENDOSCOPY;CELLEBRITY ESCOVA CITOLOGIA ENDOSCOPICA 1,9MMX100CM 10UNID;;;;;;;;;;;;;;138;SIMPRO_VIG;2016-06-01;19;
SIMPRO;2026-04-12;material;0000266274;12;;BOSTON ENDOSCOPY;CELLEBRITY ESCOVA CITOLOGIA ENDOSCOPICA 1,9MMX150CM 10UNID;;;;;;;;;;;;;;138;SIMPRO_VIG;2016-06-01;19;
SIMPRO;2026-04-12;material;0000061489;12;;CELM;CELLMLISE II SOL.LISANTE P/CC530 CC550 4X20ML 60001283;;;;;;;;;;;;;;13.982;SIMPRO_VIG;2010-06-21;19;
SIMPRO;2026-04-12;material;0000061490;12;;CELM;CELLMOGLOBINA PADRAO P/CALIB.CC530 CC550 1,5ML 60000112;;;;;;;;;;;;;;17.22;SIMPRO_VIG;2010-06-21;19;
SIMPRO;2026-04-12;material;0000103571;12;;HYPOFARMA;CELLOIL OLEO HIDRATANTE 100ML;;;;;;;;;;;;;;0.329;SIMPRO_VIG;2014-04-11;19;
SIMPRO;2026-04-12;material;0000103572;12;;HYPOFARMA;CELLOIL OLEO HIDRATANTE 200ML;;;;;;;;;;;;;;0.278;SIMPRO_VIG;2014-04-11;19;
SIMPRO;2026-04-12;material;0000103570;12;;HYPOFARMA;CELLOIL OLEO HIDRATANTE 20ML;;;;;;;;;;;;;;0.428;SIMPRO_VIG;2014-04-11;19;
SIMPRO;2026-04-12;material;0000103575;12;;HYPOFARMA;CELLSKIN HIDRAT.P/PELE SECA 100ML;;;;;;;;;;;;;;0.191;SIMPRO_VIG;2014-04-11;19;
SIMPRO;2026-04-12;material;0000151354;12;;LR POSAY;CELLUDESTOCK ANTICELULITE 200GRS VP041300;;;;;;;;;;;;;;0.389;SIMPRO_VIG;2014-05-14;19;
SIMPRO;2026-04-12;material;0000061495;12;;CELM;CELMGEL AGAROSE GERAL PROTEINAS/LIPIDEOS 100TESTES 60001801;;;;;;;;;;;;;;6.653;SIMPRO_VIG;2010-06-21;19;
SIMPRO;2026-04-12;material;0000061496;12;;CELM;CELMGEL GLICO-HEMOGLOBINA/HEMOGLOBINA ACIDA 100TESTES 60001828;;;;;;;;;;;;;;4.742;SIMPRO_VIG;2010-06-21;19;
SIMPRO;2026-04-12;material;0000061494;12;;CELM;CELMGEL HEMOGLOBINA ALCALINA 100TESTES 60001798;;;;;;;;;;;;;;6.314;SIMPRO_VIG;2010-06-21;19;
SIMPRO;2026-04-12;material;0000003180;12;;ALCON;CELOFTAL 1,5ML METILCELULOSE 2% DISPERSIVO 5584;;;;;;;;;;;;;;172.12;SIMPRO_VIG;2013-06-13;19;
SIMPRO;2026-04-12;material;0000240002;12;;ALCON;CELOFTAL PLUS 1ML;;;;;;;;;;;;;;211.65;SIMPRO_VIG;2017-01-24;19;
