fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
SIMPRO;2026-04-12;material;0000043550;12;;CENTERLAB;CHAGAS (SORO) WAMA 1460-I;;;;;;;;;;;;;;2.341;SIMPRO_VIG;2006-04-19;19;
SIMPRO;2026-04-12;material;0000097594;12;;CENTERLAB;CHAGAS (SORO) WAMA 34096-H;;;;;;;;;;;;;;0.599;SIMPRO_VIG;2006-04-19;19;
SIMPRO;2026-04-12;material;0000097595;12;;CENTERLAB;CHAGAS (SORO) WAMA 34192-H;;;;;;;;;;;;;;0.576;SIMPRO_VIG;2006-04-19;19;
SIMPRO;2026-04-12;material;0000097596;12;;CENTERLAB;CHAGAS (SORO) WAMA 34380-H;;;;;;;;;;;;;;0.567;SIMPRO_VIG;2006-04-19;19;
SIMPRO;2026-04-12;material;0000077273;12;;CENTERLAB;CHAGAS ELISA (SORO) WAMA 4496-E;;;;;;;;;;;;;;4.268;SIMPRO_VIG;2006-04-19;19;
SIMPRO;2026-04-12;material;0000263695;12;;B.BRAUN;CHALLENGER TI-P CLIP LIGADURA MED./GRD. CART.12UNID;;;;;;;;;;;;;;1883.83;SIMPRO_VIG;2015-11-12;19;
SIMPRO;2026-04-12;material;0000286172;12;;B.BRAUN;CHALLENGER TI-P CLIP LIGADURA TAM.MED./GRD.CART.;;;;;;;;;;;;;;733.34;SIMPRO_VIG;2020-08-25;19;
SIMPRO;2026-04-12;material;0000247069;12;;B.BRAUN;CHALLENGER TI-P CLIP LIGADURA TAM.MED/GRD.CART.12UNID.;;;;;;;;;;;;;;415.13;SIMPRO_VIG;2014-06-26;19;
SIMPRO;2026-04-12;material;0000247067;12;;B.BRAUN;CHALLENGER TI-P CLIP LIGADURA TAM.PEQ./MED.CART.12UNID.;;;;;;;;;;;;;;832.33;SIMPRO_VIG;2020-08-25;19;
SIMPRO;2026-04-12;material;0000247068;12;;B.BRAUN;CHALLENGER TI-P CO2-CARTRIDGE ONLY;;;;;;;;;;;;;;93.06;SIMPRO_VIG;2020-08-25;19;
SIMPRO;2026-04-12;material;0000263393;12;;ADAPT;CHANDELIER C/TROCATER 25GA;;;;;;;;;;;;;;1450;SIMPRO_VIG;2015-08-24;19;
SIMPRO;2026-04-12;material;0000076258;12;;CONTROLLER;CHASSI C/ECRAN P/MAMOGRAFIA LUMAX 18X24CM;;;;;;;;;;;;;;878.39;SIMPRO_VIG;2020-10-22;19;
SIMPRO;2026-04-12;material;0000100506;12;;CONTROLLER;CHASSI C/ECRAN P/MAMOGRAFIA LUMAX 24X24CM;;;;;;;;;;;;;;0;SIMPRO_VIG;2009-07-30;19;
SIMPRO;2026-04-12;material;0000129504;12;;CONTROLLER;CHASSI C/ECRAN P/MAMOGRAFIA LUMAX 24X30CM;;;;;;;;;;;;;;1054.65;SIMPRO_VIG;2020-10-22;19;
SIMPRO;2026-04-12;material;0000112360;12;;CONTROLLER;CHASSI RADIOGRAFICO 15X30CM;;;;;;;;;;;;;;2128.5;SIMPRO_VIG;2021-11-18;19;
SIMPRO;2026-04-12;material;0000112359;12;;CONTROLLER;CHASSI RADIOGRAFICO 15X40CM;;;;;;;;;;;;;;2448.2;SIMPRO_VIG;2021-11-18;19;
SIMPRO;2026-04-12;material;0000112367;12;;CONTROLLER;CHASSI RADIOGRAFICO 15X40CM C/JANELA;;;;;;;;;;;;;;5527.3;SIMPRO_VIG;2021-11-18;19;
SIMPRO;2026-04-12;material;0000112354;12;;CONTROLLER;CHASSI RADIOGRAFICO 18X24CM;;;;;;;;;;;;;;2230.6;SIMPRO_VIG;2021-11-18;19;
SIMPRO;2026-04-12;material;0000112362;12;;CONTROLLER;CHASSI RADIOGRAFICO 18X24CM C/JANELA;;;;;;;;;;;;;;3479;SIMPRO_VIG;2021-11-18;19;
SIMPRO;2026-04-12;material;0000112361;12;;CONTROLLER;CHASSI RADIOGRAFICO 20X25CM;;;;;;;;;;;;;;2230.6;SIMPRO_VIG;2021-11-18;19;
SIMPRO;2026-04-12;material;0000112355;12;;CONTROLLER;CHASSI RADIOGRAFICO 24X30CM;;;;;;;;;;;;;;2638.3;SIMPRO_VIG;2021-11-18;19;
