fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
SIMPRO;2026-04-12;material;0000117191;12;;LR POSAY;CICAPLAST 40ML YP004400;;;;;;;;;;;;;;1.017;SIMPRO_VIG;2014-05-14;19;
SIMPRO;2026-04-12;material;0000001754;12;;BAXTER;CICLADORA P/DIALISE PERITONIAL AUTOMATICA HOMECHOICE;;;;;;;;;;;;;;19903.47;SIMPRO_VIG;2011-04-01;19;
SIMPRO;2026-04-12;material;0000178890;12;;CICLO FARMA;CICLO GEL TOPICO P/ULTRA-SOM ALMOT.100ML;;;;;;;;;;;;;;1.33;SIMPRO_VIG;2013-07-17;19;
SIMPRO;2026-04-12;material;0000178891;12;;CICLO FARMA;CICLO GEL TOPICO P/ULTRA-SOM FR 1000ML;;;;;;;;;;;;;;3.5;SIMPRO_VIG;2013-07-17;19;
SIMPRO;2026-04-12;material;0000178892;12;;CICLO FARMA;CICLO GEL TOPICO P/ULTRA-SOM GL 5000ML;;;;;;;;;;;;;;15.15;SIMPRO_VIG;2013-07-17;19;
SIMPRO;2026-04-12;material;0000361270;12;;GADOR;CIENTIFIC SYNOVIAL 40 20MG/ML SOL.P/PREENCHIMENTO INTRA ARTICULAR SER.1ML;;;;;;;;;;;;;;2289.9;SIMPRO_VIG;2025-09-16;19;
SIMPRO;2026-04-12;material;0000290266;12;;PROTEC;CILINDRIO ALUMINIO O2 46LT;;;;;;;;;;;;;;16362.29;SIMPRO_VIG;2017-09-05;19;
SIMPRO;2026-04-12;material;0000052771;12;;PROTEC - SUSPENSA;CILINDRO 10LTS VAZIO ACO (1,00M3);;;;;;;;;;;;;;786.5;SIMPRO_VIG;2009-09-29;19;
SIMPRO;2026-04-12;material;0000239781;12;;COLOPLAST UROLOGY;CILINDRO 11CM/CONJ.BOMBA PRE-CONECTADO PROCED.ESCROTAL/BASE ESTANDAR.ANG.ZERO;;;;;;;;;;;;;;62204.3;SIMPRO_VIG;2019-02-15;19;
SIMPRO;2026-04-12;material;0000239775;12;;COLOPLAST UROLOGY;CILINDRO 11CM/CONJ.BOMBA PRE-CONECTADO PROCED.INFRAPUBICO/BASE ESTANDAR.ANG.ZERO;;;;;;;;;;;;;;62204.3;SIMPRO_VIG;2019-02-15;19;
SIMPRO;2026-04-12;material;0000239782;12;;COLOPLAST UROLOGY;CILINDRO 14CM/CONJ.BOMBA PRE-CONECTADO PROCED.ESCROTAL/BASE ESTANDAR.ANG.ZERO;;;;;;;;;;;;;;62204.3;SIMPRO_VIG;2019-02-15;19;
SIMPRO;2026-04-12;material;0000241779;12;;COLOPLAST UROLOGY;CILINDRO 14CM/CONJ.BOMBA PRE-CONECTADO PROCED.INFRAPUBICO/BASE ESTANDAR OTR;;;;;;;;;;;;;;62204.3;SIMPRO_VIG;2019-02-15;19;
SIMPRO;2026-04-12;material;0000239776;12;;COLOPLAST UROLOGY;CILINDRO 14CM/CONJ.BOMBA PRE-CONECTADO PROCED.INFRAPUBICO/BASE ESTANDAR.ANG.ZERO;;;;;;;;;;;;;;62204.3;SIMPRO_VIG;2019-02-15;19;
SIMPRO;2026-04-12;material;0000241784;12;;COLOPLAST UROLOGY;CILINDRO 14CM/CONJ.BOMBA PRE-CONECTADO PROCED.INFRAPUBICO/BASE ESTREITA OTR;;;;;;;;;;;;;;62204.3;SIMPRO_VIG;2019-02-15;19;
SIMPRO;2026-04-12;material;0000052772;12;;PROTEC - SUSPENSA;CILINDRO 15LTS VAZIO ACO (2,25M3);;;;;;;;;;;;;;935;SIMPRO_VIG;2009-09-29;19;
SIMPRO;2026-04-12;material;0000239783;12;;COLOPLAST UROLOGY;CILINDRO 16CM/CONJ.BOMBA PRE-CONECTADO PROCED.ESCROTAL/BASE ESTANDAR.ANG.ZERO;;;;;;;;;;;;;;62204.3;SIMPRO_VIG;2019-02-15;19;
SIMPRO;2026-04-12;material;0000241780;12;;COLOPLAST UROLOGY;CILINDRO 16CM/CONJ.BOMBA PRE-CONECTADO PROCED.INFRAPUBICO/BASE ESTANDAR OTR;;;;;;;;;;;;;;62204.3;SIMPRO_VIG;2019-02-15;19;
SIMPRO;2026-04-12;material;0000239777;12;;COLOPLAST UROLOGY;CILINDRO 16CM/CONJ.BOMBA PRE-CONECTADO PROCED.INFRAPUBICO/BASE ESTANDAR.ANG.ZERO;;;;;;;;;;;;;;62204.3;SIMPRO_VIG;2019-02-15;19;
SIMPRO;2026-04-12;material;0000241785;12;;COLOPLAST UROLOGY;CILINDRO 16CM/CONJ.BOMBA PRE-CONECTADO PROCED.INFRAPUBICO/BASE ESTREITA OTR;;;;;;;;;;;;;;62204.3;SIMPRO_VIG;2019-02-15;19;
SIMPRO;2026-04-12;material;0000239784;12;;COLOPLAST UROLOGY;CILINDRO 18CM/CONJ.BOMBA PRE-CONECTADO PROCED.ESCROTAL/BASE ESTANDAR.ANG.ZERO;;;;;;;;;;;;;;62204.3;SIMPRO_VIG;2019-02-15;19;
SIMPRO;2026-04-12;material;0000241781;12;;COLOPLAST UROLOGY;CILINDRO 18CM/CONJ.BOMBA PRE-CONECTADO PROCED.INFRAPUBICO/BASE ESTANDAR OTR;;;;;;;;;;;;;;62204.3;SIMPRO_VIG;2019-02-15;19;
SIMPRO;2026-04-12;material;0000239778;12;;COLOPLAST UROLOGY;CILINDRO 18CM/CONJ.BOMBA PRE-CONECTADO PROCED.INFRAPUBICO/BASE ESTANDAR.ANG.ZERO;;;;;;;;;;;;;;62204.3;SIMPRO_VIG;2019-02-15;19;
SIMPRO;2026-04-12;material;0000241786;12;;COLOPLAST UROLOGY;CILINDRO 18CM/CONJ.BOMBA PRE-CONECTADO PROCED.INFRAPUBICO/BASE ESTREITA OTR;;;;;;;;;;;;;;62204.3;SIMPRO_VIG;2019-02-15;19;
SIMPRO;2026-04-12;material;0000239785;12;;COLOPLAST UROLOGY;CILINDRO 20CM/CONJ.BOMBA PRE-CONECTADO PROCED.ESCROTAL/BASE ESTANDAR.ANG.ZERO;;;;;;;;;;;;;;62204.3;SIMPRO_VIG;2019-02-15;19;
SIMPRO;2026-04-12;material;0000241782;12;;COLOPLAST UROLOGY;CILINDRO 20CM/CONJ.BOMBA PRE-CONECTADO PROCED.INFRAPUBICO/BASE ESTANDAR OTR;;;;;;;;;;;;;;62204.3;SIMPRO_VIG;2019-02-15;19;
SIMPRO;2026-04-12;material;0000239779;12;;COLOPLAST UROLOGY;CILINDRO 20CM/CONJ.BOMBA PRE-CONECTADO PROCED.INFRAPUBICO/BASE ESTANDAR.ANG.ZERO;;;;;;;;;;;;;;62204.3;SIMPRO_VIG;2019-02-15;19;
SIMPRO;2026-04-12;material;0000241787;12;;COLOPLAST UROLOGY;CILINDRO 20CM/CONJ.BOMBA PRE-CONECTADO PROCED.INFRAPUBICO/BASE ESTREITA OTR;;;;;;;;;;;;;;62204.3;SIMPRO_VIG;2019-02-15;19;
SIMPRO;2026-04-12;material;0000052773;12;;PROTEC - SUSPENSA;CILINDRO 20LTS VAZIO ACO (4,00M3);;;;;;;;;;;;;;1144;SIMPRO_VIG;2009-09-29;19;
SIMPRO;2026-04-12;material;0000239786;12;;COLOPLAST UROLOGY;CILINDRO 22CM/CONJ.BOMBA PRE-CONECTADO PROCED.ESCROTAL/BASE ESTANDAR.ANG.ZERO;;;;;;;;;;;;;;62204.3;SIMPRO_VIG;2019-02-15;19;
SIMPRO;2026-04-12;material;0000241783;12;;COLOPLAST UROLOGY;CILINDRO 22CM/CONJ.BOMBA PRE-CONECTADO PROCED.INFRAPUBICO/BASE ESTANDAR OTR;;;;;;;;;;;;;;62204.3;SIMPRO_VIG;2019-02-15;19;
SIMPRO;2026-04-12;material;0000239780;12;;COLOPLAST UROLOGY;CILINDRO 22CM/CONJ.BOMBA PRE-CONECTADO PROCED.INFRAPUBICO/BASE ESTANDAR.ANG.ZERO;;;;;;;;;;;;;;62204.3;SIMPRO_VIG;2019-02-15;19;
SIMPRO;2026-04-12;material;0000241788;12;;COLOPLAST UROLOGY;CILINDRO 22CM/CONJ.BOMBA PRE-CONECTADO PROCED.INFRAPUBICO/BASE ESTREITA OTR;;;;;;;;;;;;;;62204.3;SIMPRO_VIG;2019-02-15;19;
SIMPRO;2026-04-12;material;0000052768;12;;PROTEC - SUSPENSA;CILINDRO 3LTS VAZIO ACO (0,45M3);;;;;;;;;;;;;;500.5;SIMPRO_VIG;2009-09-29;19;
SIMPRO;2026-04-12;material;0000052774;12;;PROTEC - SUSPENSA;CILINDRO 40LTS VAZIO ACO (8,00M3);;;;;;;;;;;;;;1375;SIMPRO_VIG;2009-09-29;19;
SIMPRO;2026-04-12;material;0000252135;12;;RESPIROX;CILINDRO 430LTS(3LTS)ALUMINIO C/VALVULA NACIONAL S/REGULADOR;;;;;;;;;;;;;;950;SIMPRO_VIG;2015-02-23;19;
SIMPRO;2026-04-12;material;0000052775;12;;PROTEC - SUSPENSA;CILINDRO 50LTS VAZIO ACO (10,0M3);;;;;;;;;;;;;;1595;SIMPRO_VIG;2009-09-29;19;
SIMPRO;2026-04-12;material;0000052769;12;;PROTEC - SUSPENSA;CILINDRO 5LTS VAZIO ACO (0,75M3);;;;;;;;;;;;;;550;SIMPRO_VIG;2009-09-29;19;
SIMPRO;2026-04-12;material;0000252136;12;;RESPIROX;CILINDRO 680LTS(4,5LTS)ALUMINIO C/VALVULA NACIONAL S/REGULADOR;;;;;;;;;;;;;;1085;SIMPRO_VIG;2015-02-23;19;
SIMPRO;2026-04-12;material;0000052770;12;;PROTEC - SUSPENSA;CILINDRO 7LTS VAZIO ACO (1,00M3);;;;;;;;;;;;;;605;SIMPRO_VIG;2009-09-29;19;
SIMPRO;2026-04-12;material;0000252140;12;;RESPIROX;CILINDRO ACO 10LTS;;;;;;;;;;;;;;1215;SIMPRO_VIG;2015-02-23;19;
SIMPRO;2026-04-12;material;0000252141;12;;RESPIROX;CILINDRO ACO 15LTS;;;;;;;;;;;;;;1355;SIMPRO_VIG;2015-02-23;19;
SIMPRO;2026-04-12;material;0000252142;12;;RESPIROX;CILINDRO ACO 20LTS;;;;;;;;;;;;;;1518;SIMPRO_VIG;2015-02-23;19;
SIMPRO;2026-04-12;material;0000252137;12;;RESPIROX;CILINDRO ACO 3LTS;;;;;;;;;;;;;;1715;SIMPRO_VIG;2015-06-30;19;
SIMPRO;2026-04-12;material;0000252143;12;;RESPIROX;CILINDRO ACO 40LTS;;;;;;;;;;;;;;1925;SIMPRO_VIG;2015-02-23;19;
SIMPRO;2026-04-12;material;0000252144;12;;RESPIROX;CILINDRO ACO 50LTS;;;;;;;;;;;;;;2000;SIMPRO_VIG;2015-02-23;19;
SIMPRO;2026-04-12;material;0000252138;12;;RESPIROX;CILINDRO ACO 5LTS;;;;;;;;;;;;;;1998.5;SIMPRO_VIG;2015-06-30;19;
SIMPRO;2026-04-12;material;0000252139;12;;RESPIROX;CILINDRO ACO 7LTS;;;;;;;;;;;;;;2222.5;SIMPRO_VIG;2015-06-30;19;
SIMPRO;2026-04-12;material;0000262289;12;;PROTEC;CILINDRO ACO O2 07LT(1,0M³);;;;;;;;;;;;;;6612.84;SIMPRO_VIG;2017-09-05;19;
SIMPRO;2026-04-12;material;0000262290;12;;PROTEC;CILINDRO ACO O2 10LT(1,5M³);;;;;;;;;;;;;;7751.9;SIMPRO_VIG;2017-09-05;19;
SIMPRO;2026-04-12;material;0000262291;12;;PROTEC;CILINDRO ACO O2 15LT(2,25M³);;;;;;;;;;;;;;10085.53;SIMPRO_VIG;2017-09-05;19;
SIMPRO;2026-04-12;material;0000262292;12;;PROTEC;CILINDRO ACO O2 20LT(4,00M³);;;;;;;;;;;;;;12609.96;SIMPRO_VIG;2017-09-05;19;
SIMPRO;2026-04-12;material;0000262293;12;;PROTEC;CILINDRO ACO O2 40LT(8,00M³);;;;;;;;;;;;;;13545.91;SIMPRO_VIG;2017-09-05;19;
SIMPRO;2026-04-12;material;0000262294;12;;PROTEC;CILINDRO ACO O2 50LT(8,00M³);;;;;;;;;;;;;;16347.47;SIMPRO_VIG;2017-09-05;19;
SIMPRO;2026-04-12;material;0000110196;12;;JG MORIYA;CILINDRO ALUMINIO 10LTS ACO P/NO2 (TORPEDO/BALA);;;;;;;;;;;;;;1091.06;SIMPRO_VIG;2007-02-01;19;
SIMPRO;2026-04-12;material;0000110197;12;;JG MORIYA;CILINDRO ALUMINIO 10LTS ACO P/OXIGENIO (TORPEDO/BALA);;;;;;;;;;;;;;1091.06;SIMPRO_VIG;2007-02-01;19;
SIMPRO;2026-04-12;material;0000078989;12;;JG MORIYA;CILINDRO ALUMINIO 10LTS P/NO2 (TORPEDO/BALA);;;;;;;;;;;;;;2346.58;SIMPRO_VIG;2007-02-01;19;
SIMPRO;2026-04-12;material;0000043162;12;;JG MORIYA;CILINDRO ALUMINIO 10LTS P/OXIGENIO (TORPEDO/BALA);;;;;;;;;;;;;;2346.58;SIMPRO_VIG;2007-02-01;19;
SIMPRO;2026-04-12;material;0000262285;12;;PROTEC;CILINDRO ALUMINIO 11LT;;;;;;;;;;;;;;3607.84;SIMPRO_VIG;2015-10-21;19;
SIMPRO;2026-04-12;material;0000262288;12;;PROTEC;CILINDRO ALUMINIO 29LT;;;;;;;;;;;;;;11425.06;SIMPRO_VIG;2017-09-05;19;
SIMPRO;2026-04-12;material;0000262283;12;;PROTEC;CILINDRO ALUMINIO 3LTS C/VALVULA INTEGRADA;;;;;;;;;;;;;;3090.19;SIMPRO_VIG;2015-10-21;19;
SIMPRO;2026-04-12;material;0000043160;12;;JG MORIYA;CILINDRO ALUMINIO 3LTS OXIGENIO (TORPEDO/BALA);;;;;;;;;;;;;;991.76;SIMPRO_VIG;2007-02-01;19;
SIMPRO;2026-04-12;material;0000110198;12;;JG MORIYA;CILINDRO ALUMINIO 4LTS OXIGENIO (TORPEDO/BALA);;;;;;;;;;;;;;1055.84;SIMPRO_VIG;2007-02-01;19;
SIMPRO;2026-04-12;material;0000262284;12;;PROTEC;CILINDRO ALUMINIO 5LTS C/VALVULA INTEGRADA;;;;;;;;;;;;;;2177.47;SIMPRO_VIG;2015-10-21;19;
SIMPRO;2026-04-12;material;0000043161;12;;JG MORIYA;CILINDRO ALUMINIO 5LTS OXIGENIO (TORPEDO/BALA);;;;;;;;;;;;;;1106.88;SIMPRO_VIG;2007-02-01;19;
SIMPRO;2026-04-12;material;0000262281;12;;PROTEC;CILINDRO ALUMINIO O2 03LT;;;;;;;;;;;;;;1995.35;SIMPRO_VIG;2017-09-05;19;
SIMPRO;2026-04-12;material;0000262282;12;;PROTEC;CILINDRO ALUMINIO O2 05LT;;;;;;;;;;;;;;2280.47;SIMPRO_VIG;2017-09-05;19;
SIMPRO;2026-04-12;material;0000262286;12;;PROTEC;CILINDRO ALUMINIO O2 16LT;;;;;;;;;;;;;;7160.6;SIMPRO_VIG;2017-09-05;19;
SIMPRO;2026-04-12;material;0000262287;12;;PROTEC;CILINDRO ALUMINIO O2 29LT;;;;;;;;;;;;;;8620.1;SIMPRO_VIG;2017-09-05;19;
SIMPRO;2026-04-12;material;0000052776;12;;PROTEC - SUSPENSA;CILINDRO ALUMINIO TP.D VAZIO 3LTS;;;;;;;;;;;;;;237;SIMPRO_VIG;2009-09-29;19;
SIMPRO;2026-04-12;material;0000052778;12;;PROTEC - SUSPENSA;CILINDRO ALUMINIO TP.E VAZIO 3LTS;;;;;;;;;;;;;;273;SIMPRO_VIG;2009-09-29;19;
SIMPRO;2026-04-12;material;0000132751;12;;BOSTON UROLOGY;CILINDRO AMS 700 PRE CONECTADO C/INHIBIZONE DIAM.9,5/14,5MMXCOMP.10CM IP ABORD;;;;;;;;;;;;;;95649.47;SIMPRO_VIG;2015-05-05;19;
SIMPRO;2026-04-12;material;0000132752;12;;BOSTON UROLOGY;CILINDRO AMS 700 PRE CONECTADO C/INHIBIZONE DIAM.9,5/14,5MMXCOMP.10CM PS ABORD;;;;;;;;;;;;;;95649.47;SIMPRO_VIG;2015-05-05;19;
SIMPRO;2026-04-12;material;0000132753;12;;BOSTON UROLOGY;CILINDRO AMS 700 PRE CONECTADO C/INHIBIZONE DIAM.9,5/14,5MMXCOMP.12CM IP ABORD;;;;;;;;;;;;;;95649.47;SIMPRO_VIG;2015-05-05;19;
SIMPRO;2026-04-12;material;0000132754;12;;BOSTON UROLOGY;CILINDRO AMS 700 PRE CONECTADO C/INHIBIZONE DIAM.9,5/14,5MMXCOMP.12CM PS ABORD;;;;;;;;;;;;;;95649.47;SIMPRO_VIG;2015-05-05;19;
SIMPRO;2026-04-12;material;0000132755;12;;BOSTON UROLOGY;CILINDRO AMS 700 PRE CONECTADO C/INHIBIZONE DIAM.9,5/14,5MMXCOMP.14CM IP ABORD;;;;;;;;;;;;;;95649.47;SIMPRO_VIG;2015-05-05;19;
SIMPRO;2026-04-12;material;0000132756;12;;BOSTON UROLOGY;CILINDRO AMS 700 PRE CONECTADO C/INHIBIZONE DIAM.9,5/14,5MMXCOMP.14CM PS ABORD;;;;;;;;;;;;;;95649.47;SIMPRO_VIG;2015-05-05;19;
SIMPRO;2026-04-12;material;0000132757;12;;BOSTON UROLOGY;CILINDRO AMS 700 PRE CONECTADO C/INHIBIZONE DIAM.9,5/14,5MMXCOMP.16CM IP ABORD;;;;;;;;;;;;;;95649.47;SIMPRO_VIG;2015-05-05;19;
SIMPRO;2026-04-12;material;0000132758;12;;BOSTON UROLOGY;CILINDRO AMS 700 PRE CONECTADO C/INHIBIZONE DIAM.9,5/14,5MMXCOMP.16CM PS ABORD;;;;;;;;;;;;;;95649.47;SIMPRO_VIG;2015-05-05;19;
SIMPRO;2026-04-12;material;0000132759;12;;BOSTON UROLOGY;CILINDRO AMS 700 PRE CONECTADO C/INHIBIZONE DIAM.9,5/14,5MMXCOMP.18CM IP ABORD;;;;;;;;;;;;;;95649.47;SIMPRO_VIG;2015-05-05;19;
SIMPRO;2026-04-12;material;0000132760;12;;BOSTON UROLOGY;CILINDRO AMS 700 PRE CONECTADO C/INHIBIZONE DIAM.9,5/14,5MMXCOMP.18CM PS ABORD;;;;;;;;;;;;;;95649.47;SIMPRO_VIG;2015-05-05;19;
SIMPRO;2026-04-12;material;0000132779;12;;BOSTON UROLOGY;CILINDRO AMS 700 PRE CONECTADO DIAM.12/18MMXCOMP.12CM PS ABORD;;;;;;;;;;;;;;64304.43;SIMPRO_VIG;2015-05-05;19;
SIMPRO;2026-04-12;material;0000132781;12;;BOSTON UROLOGY;CILINDRO AMS 700 PRE CONECTADO DIAM.12/18MMXCOMP.15CM PS ABORD;;;;;;;;;;;;;;64304.43;SIMPRO_VIG;2015-05-05;19;
SIMPRO;2026-04-12;material;0000132783;12;;BOSTON UROLOGY;CILINDRO AMS 700 PRE CONECTADO DIAM.12/18MMXCOMP.18CM PS ABORD;;;;;;;;;;;;;;64304.43;SIMPRO_VIG;2015-05-05;19;
SIMPRO;2026-04-12;material;0000132785;12;;BOSTON UROLOGY;CILINDRO AMS 700 PRE CONECTADO DIAM.12/18MMXCOMP.21CM PS ABORD;;;;;;;;;;;;;;64304.43;SIMPRO_VIG;2015-05-05;19;
