fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
SIMPRO;2026-04-12;material;0000143292;12;;FARMOQUIMICA;CLAIRIAL C10 50ML;;;;;;;;;;;;;;1.608;SIMPRO_VIG;2014-04-01;19;
SIMPRO;2026-04-12;material;0000112606;12;;C.FERNANDE;CLAMP (NOON A-V FISTULA) ANG.50GRAUS PROFESSIONAL MA.37.13.35;;;;;;;;;;;;;;0;SIMPRO_VIG;2009-08-26;19;
SIMPRO;2026-04-12;material;0000259546;12;;B.BRAUN;CLAMP ADHESIVE 30UN;;;;;;;;;;;;;;20.13;SIMPRO_VIG;2015-08-04;19;
SIMPRO;2026-04-12;material;252167;12;;FLEXOR;CLAMP ANATOMICO P/BOLSA COLOSTOMIA N/EST.;;;;;;;;;;;;;;11;SIMPRO_VIG;2023-06-13;19;
SIMPRO;2026-04-12;material;0000147465;12;;HEALINGMED;CLAMP BULLDOG C/APROXIMADOR CURVO BRANCO;;;;;;;;;;;;;;665.28;SIMPRO_VIG;2016-03-08;19;
SIMPRO;2026-04-12;material;0000147467;12;;HEALINGMED;CLAMP BULLDOG C/APROXIMADOR CURVO MAXI AZUL;;;;;;;;;;;;;;665.28;SIMPRO_VIG;2016-03-08;19;
SIMPRO;2026-04-12;material;0000147463;12;;HEALINGMED;CLAMP BULLDOG C/APROXIMADOR CURVO MINI VERMELHO;;;;;;;;;;;;;;665.28;SIMPRO_VIG;2016-03-08;19;
SIMPRO;2026-04-12;material;0000147466;12;;HEALINGMED;CLAMP BULLDOG C/APROXIMADOR RETO MAXI AZUL;;;;;;;;;;;;;;665.28;SIMPRO_VIG;2016-03-08;19;
SIMPRO;2026-04-12;material;0000147464;12;;HEALINGMED;CLAMP BULLDOG C/APROXIMADOR RETO MED.BRANCO;;;;;;;;;;;;;;665.28;SIMPRO_VIG;2016-03-08;19;
SIMPRO;2026-04-12;material;0000147462;12;;HEALINGMED;CLAMP BULLDOG C/APROXIMADOR RETO MINI VERMELHO;;;;;;;;;;;;;;665.28;SIMPRO_VIG;2016-03-08;19;
SIMPRO;2026-04-12;material;0000147479;12;;HEALINGMED;CLAMP BULLDOG C/APROXIMADOR/MAIOR PRESSAO CURVO MAXI LARANJA;;;;;;;;;;;;;;665.28;SIMPRO_VIG;2016-03-08;19;
SIMPRO;2026-04-12;material;0000147477;12;;HEALINGMED;CLAMP BULLDOG C/APROXIMADOR/MAIOR PRESSAO CURVO MIDI AMARELO;;;;;;;;;;;;;;665.28;SIMPRO_VIG;2016-03-08;19;
