fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
SIMPRO;2026-04-12;material;0000026934;12;;WHITE MARTINS;CO2 USP KG;;;;;;;;;;;;;;72;SIMPRO_VIG;2005-02-02;19;
SIMPRO;2026-04-12;material;0000289847;12;;POLITEC;COACH 2-EXERCITADOR RESPIRATORIO 2000ML;;;;;;;;;;;;;;156.18;SIMPRO_VIG;2024-03-22;19;
SIMPRO;2026-04-12;material;0000289846;12;;POLITEC;COACH 2-EXERCITADOR RESPIRATORIO 4000ML;;;;;;;;;;;;;;156.18;SIMPRO_VIG;2024-03-22;19;
SIMPRO;2026-04-12;material;0000285332;12;;ROCHE DIAGNOSTICA;COAGUCHECK PRO II;;;;;;;;;;;;;;6839.28;SIMPRO_VIG;2017-05-10;19;
SIMPRO;2026-04-12;material;0000144220;12;;BAUSCH CIR;COATEL 2% 3100220;;;;;;;;;;;;;;144.4;SIMPRO_VIG;2010-02-22;19;
SIMPRO;2026-04-12;material;0000257417;12;;3M BRASIL;COBAN 2LITE SISTEMA BANDAGEM COMPRESSIVA LEVE DUAS CAMADAS;;;;;;;;;;;;;;451.32;SIMPRO_VIG;2022-04-19;19;
SIMPRO;2026-04-12;material;0000257416;12;;3M BRASIL;COBAN 2SISTEMAS BANDAGEM COMPRESSIVA DUAS CAMADAS;;;;;;;;;;;;;;510.32;SIMPRO_VIG;2022-04-19;19;
SIMPRO;2026-04-12;material;0000132564;12;;ROCHE DIAGNOSTICA;COBAS H232 CK-MB 10TIRAS;;;;;;;;;;;;;;61.206;SIMPRO_VIG;2017-07-27;19;
SIMPRO;2026-04-12;material;0000132569;12;;ROCHE DIABETES;COBAS H232 CKMB CONTROLE;;;;;;;;;;;;;;890;SIMPRO_VIG;2008-11-04;19;
SIMPRO;2026-04-12;material;0000132562;12;;ROCHE DIAGNOSTICA;COBAS H232 DIMERO D 10TIRAS;;;;;;;;;;;;;;66.203;SIMPRO_VIG;2017-07-27;19;
SIMPRO;2026-04-12;material;0000132567;12;;ROCHE DIABETES;COBAS H232 DIMERO D CONTROLE;;;;;;;;;;;;;;360;SIMPRO_VIG;2008-11-04;19;
SIMPRO;2026-04-12;material;0000132570;12;;ROCHE DIAGNOSTICA;COBAS H232 IQC 2UNID;;;;;;;;;;;;;;225.82;SIMPRO_VIG;2017-05-10;19;
SIMPRO;2026-04-12;material;0000132561;12;;ROCHE DIABETES;COBAS H232 MIOGLOBINA 20UNID;;;;;;;;;;;;;;26;SIMPRO_VIG;2008-11-04;19;
SIMPRO;2026-04-12;material;0000132566;12;;ROCHE DIABETES;COBAS H232 MIOGLOBINA CONTROLE;;;;;;;;;;;;;;250;SIMPRO_VIG;2008-11-04;19;
SIMPRO;2026-04-12;material;0000132563;12;;ROCHE DIABETES;COBAS H232 PRO BNP 10UNID;;;;;;;;;;;;;;80;SIMPRO_VIG;2008-11-04;19;
SIMPRO;2026-04-12;material;0000132568;12;;ROCHE DIABETES;COBAS H232 PRO BNP CONTROLE;;;;;;;;;;;;;;250;SIMPRO_VIG;2008-11-04;19;
SIMPRO;2026-04-12;material;0000132560;12;;ROCHE DIABETES;COBAS H232 TROPONINA T 10UNID;;;;;;;;;;;;;;34;SIMPRO_VIG;2008-11-04;19;
