fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
SIMPRO;2026-04-12;material;0000253748;12;;LUMIAR;CPAP AIRSENSE 10 AUTOSET;;;;;;;;;;;;;;8500;SIMPRO_VIG;2015-02-20;19;
SIMPRO;2026-04-12;material;0000093113;12;;CEI;CPAP BOUSSIGNAC VYGON;;;;;;;;;;;;;;2960.15;SIMPRO_VIG;2025-01-15;19;
SIMPRO;2026-04-12;material;0000164264;12;;LUMIAR HEALTH;CPAP C-SERIES TANGO;;;;;;;;;;;;;;842.81;SIMPRO_VIG;2012-01-12;19;
SIMPRO;2026-04-12;material;0000044839;12;;NEWMED;CPAP NASAL INF.INCA CANULA 10,5/1;;;;;;;;;;;;;;726;SIMPRO_VIG;2014-04-16;19;
SIMPRO;2026-04-12;material;0000044840;12;;NEWMED;CPAP NASAL INF.INCA CANULA 12,0/2;;;;;;;;;;;;;;726;SIMPRO_VIG;2014-04-16;19;
SIMPRO;2026-04-12;material;0000044841;12;;NEWMED;CPAP NASAL INF.INCA CANULA 15,0/3;;;;;;;;;;;;;;726;SIMPRO_VIG;2014-04-16;19;
SIMPRO;2026-04-12;material;0000044837;12;;NEWMED;CPAP NASAL INF.INCA CANULA 7,5/00;;;;;;;;;;;;;;726;SIMPRO_VIG;2014-04-16;19;
SIMPRO;2026-04-12;material;0000044838;12;;NEWMED;CPAP NASAL INF.INCA CANULA 9,0/0;;;;;;;;;;;;;;726;SIMPRO_VIG;2014-04-16;19;
SIMPRO;2026-04-12;material;0000148619;12;;NEWMED;CPAP NEO.C/CANULA TAM.0;;;;;;;;;;;;;;1150;SIMPRO_VIG;2017-08-30;19;
SIMPRO;2026-04-12;material;0000148618;12;;NEWMED;CPAP NEO.C/CANULA TAM.00;;;;;;;;;;;;;;1150;SIMPRO_VIG;2017-08-30;19;
SIMPRO;2026-04-12;material;0000148620;12;;NEWMED;CPAP NEO.C/CANULA TAM.01;;;;;;;;;;;;;;1150;SIMPRO_VIG;2017-08-30;19;
SIMPRO;2026-04-12;material;0000148621;12;;NEWMED;CPAP NEO.C/CANULA TAM.02;;;;;;;;;;;;;;1150;SIMPRO_VIG;2017-08-30;19;
SIMPRO;2026-04-12;material;0000148622;12;;NEWMED;CPAP NEO.C/CANULA TAM.03;;;;;;;;;;;;;;1150;SIMPRO_VIG;2017-08-30;19;
SIMPRO;2026-04-12;material;0000148623;12;;NEWMED;CPAP NEO.C/CANULA TAM.04;;;;;;;;;;;;;;1150;SIMPRO_VIG;2017-08-30;19;
SIMPRO;2026-04-12;material;0000148624;12;;NEWMED;CPAP NEO.C/CANULA TAM.05;;;;;;;;;;;;;;1150;SIMPRO_VIG;2017-08-30;19;
SIMPRO;2026-04-12;material;0000079002;12;;JG MORIYA;CPAP POLARIS LT ISP9900;;;;;;;;;;;;;;0;SIMPRO_VIG;2010-01-12;19;
SIMPRO;2026-04-12;material;0000096374;12;;JG MORIYA;CPAP REM STAR PLUS RESPIRONICS 901071;;;;;;;;;;;;;;0;SIMPRO_VIG;2010-01-12;19;
SIMPRO;2026-04-12;material;0000110229;12;;JG MORIYA;CPAP REM STAR PLUS W/CFLEX RESPIRONICS 1009587;;;;;;;;;;;;;;0;SIMPRO_VIG;2010-01-12;19;
SIMPRO;2026-04-12;material;0000079003;12;;JG MORIYA;CPAP REM STAR PRO C-FLEX RESPIRONICS;;;;;;;;;;;;;;6440;SIMPRO_VIG;2007-02-01;19;
SIMPRO;2026-04-12;material;0000144178;12;;LUMIAR HEALTH;CPAP REMSTAR AUTO A-FLEX MSERIES;;;;;;;;;;;;;;2907.45;SIMPRO_VIG;2012-01-12;19;
SIMPRO;2026-04-12;material;0000123708;12;;LUMIAR HEALTH;CPAP REMSTAR AUTO C/C-FLEX MSERIES;;;;;;;;;;;;;;2510.54;SIMPRO_VIG;2012-01-12;19;
SIMPRO;2026-04-12;material;0000123709;12;;LUMIAR HEALTH;CPAP REMSTAR BASIC;;;;;;;;;;;;;;877.92;SIMPRO_VIG;2012-01-12;19;
SIMPRO;2026-04-12;material;0000144177;12;;LUMIAR HEALTH;CPAP REMSTAR PRO C/C-FLEX MSERIES;;;;;;;;;;;;;;2048.46;SIMPRO_VIG;2012-01-12;19;
SIMPRO;2026-04-12;material;0000110231;12;;JG MORIYA;CPAP S6 21127;;;;;;;;;;;;;;0;SIMPRO_VIG;2010-01-12;19;
SIMPRO;2026-04-12;material;0000110232;12;;JG MORIYA;CPAP S7 30011;;;;;;;;;;;;;;1955;SIMPRO_VIG;2007-08-17;19;
SIMPRO;2026-04-12;material;0000164258;12;;LUMIAR HEALTH;CPAP S8 AUTOSET II;;;;;;;;;;;;;;2413.41;SIMPRO_VIG;2012-01-12;19;
SIMPRO;2026-04-12;material;0000110233;12;;JG MORIYA;CPAP S8 ELITE APE;;;;;;;;;;;;;;4370;SIMPRO_VIG;2007-08-17;19;
SIMPRO;2026-04-12;material;0000164261;12;;LUMIAR HEALTH;CPAP S8 ELITE II;;;;;;;;;;;;;;1989.94;SIMPRO_VIG;2012-01-12;19;
SIMPRO;2026-04-12;material;0000164263;12;;LUMIAR HEALTH;CPAP S8 ESCAPE II;;;;;;;;;;;;;;1648.06;SIMPRO_VIG;2012-01-12;19;
SIMPRO;2026-04-12;material;0000110235;12;;JG MORIYA;CPAP S8 VANTAGE;;;;;;;;;;;;;;5520;SIMPRO_VIG;2007-08-17;19;
SIMPRO;2026-04-12;material;0000253749;12;;LUMIAR BUILDERS;CPAP S9 AUTOSET;;;;;;;;;;;;;;7899.99;SIMPRO_VIG;2015-02-20;19;
SIMPRO;2026-04-12;material;0000253750;12;;LUMIAR BUILDERS;CPAP S9 ELITE;;;;;;;;;;;;;;6800;SIMPRO_VIG;2015-02-20;19;
SIMPRO;2026-04-12;material;0000253751;12;;LUMIAR BUILDERS;CPAP S9 ESCAPE;;;;;;;;;;;;;;5900;SIMPRO_VIG;2015-02-20;19;
SIMPRO;2026-04-12;material;0000253752;12;;LUMIAR BUILDERS;CPAP S9 ESCAPE AUTO;;;;;;;;;;;;;;7200;SIMPRO_VIG;2015-02-20;19;
SIMPRO;2026-04-12;material;0000043165;12;;JG MORIYA;CPAP SOLLO LX RESPIRONICS 901064;;;;;;;;;;;;;;0;SIMPRO_VIG;2010-01-12;19;
SIMPRO;2026-04-12;material;0000110236;12;;JG MORIYA;CPAP SUTOSET SPIRIT;;;;;;;;;;;;;;6736.7;SIMPRO_VIG;2007-02-01;19;
SIMPRO;2026-04-12;material;0000110238;12;;JG MORIYA;CPAP TRANQUILITY QUEST 901066;;;;;;;;;;;;;;0;SIMPRO_VIG;2010-01-12;19;
