fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
SIMPRO;2026-04-12;material;0000095942;12;;B.BRAUN;CRANIOFIX SISTEMA FIXACAO CALOTA CRANIANA TP.BONE FLAP MED.16MM AESCULAP FF101T;;;;;;;;;;;;;;1300.32;SIMPRO_VIG;2009-05-04;19;
SIMPRO;2026-04-12;material;0000071590;12;;B.BRAUN;CRANIOFIX SISTEMA FIXACAO CALOTA CRANIANA TP.BONE FLAP PEQ.11MM AESCULAP FF100T;;;;;;;;;;;;;;925.12;SIMPRO_VIG;2009-05-04;19;
SIMPRO;2026-04-12;material;0000252289;12;;B.BRAUN;CRANIOPLATE 1,5 MESH 65X90X0,3MM;;;;;;;;;;;;;;8000;SIMPRO_VIG;2014-12-09;19;
SIMPRO;2026-04-12;material;0000252287;12;;B.BRAUN;CRANIOPLATE 1,5 MESH 65X90X0,6MM;;;;;;;;;;;;;;8000;SIMPRO_VIG;2014-12-09;19;
SIMPRO;2026-04-12;material;0000252290;12;;B.BRAUN;CRANIOPLATE 1,5 MESH 68X91X0,3MM JANELA TAM.PED.;;;;;;;;;;;;;;8000;SIMPRO_VIG;2014-12-09;19;
SIMPRO;2026-04-12;material;0000252288;12;;B.BRAUN;CRANIOPLATE 1,5 MESH 68X91X0,6MM JANELA TAM.PED.;;;;;;;;;;;;;;8000;SIMPRO_VIG;2014-12-09;19;
SIMPRO;2026-04-12;material;0004410041;12;;CENTERLAB;CREATININA (35) 250ML LABTEST 120;;;;;;;;;;;;;;0.119;SIMPRO_VIG;2006-04-19;19;
SIMPRO;2026-04-12;material;0004410042;12;;CENTERLAB;CREATININA (35E) 1250ML LABTEST 121;;;;;;;;;;;;;;0.09;SIMPRO_VIG;2006-04-19;19;
SIMPRO;2026-04-12;material;0000061505;12;;CELM;CREATININA CINETICA 240ML 60000155;;;;;;;;;;;;;;0.258;SIMPRO_VIG;2010-06-21;19;
SIMPRO;2026-04-12;material;0000133309;12;;CELM;CREATININA COLORIMETRICA 80DETERMINACOES 60001704;;;;;;;;;;;;;;86.01;SIMPRO_VIG;2010-06-21;19;
SIMPRO;2026-04-12;material;0000350102;12;;ARGUS CIENTIFICA;CREATININA ENZIMATICA LIQUIDA 40ML A+20ML B WIENER;;;;;;;;;;;;;;3080.91;SIMPRO_VIG;2024-02-15;19;
SIMPRO;2026-04-12;material;0000100477;12;;CENTERLAB;CREATININA K CINETICA LIQUIFORM (96) 300ML LABTEST 122.A;;;;;;;;;;;;;;0.102;SIMPRO_VIG;2006-04-19;19;
