fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
SIMPRO;2026-04-12;material;0000283602;12;;SMT;CUBA BIODEGRADAVEL GRANDE 3LT VERNACARE;;;;;;;;;;;;;;31.54;SIMPRO_VIG;2022-02-24;19;
SIMPRO;2026-04-12;material;0000271887;12;;CONSALAB;CUBA C/TAMPA VIDRO RETANGULAR P/CORAR 30LAMINAS LAMIGLASS;;;;;;;;;;;;;;50;SIMPRO_VIG;2016-06-10;19;
SIMPRO;2026-04-12;material;0000271888;12;;CONSALAB;CUBA C/TAMPA VIDRO RETANGULAR P/CORAR 60LAMINAS LAMIGLASS;;;;;;;;;;;;;;75;SIMPRO_VIG;2016-06-10;19;
SIMPRO;2026-04-12;material;0000078082;12;;RICHTER;CUBA INOX 8X4CM 150ML;;;;;;;;;;;;;;39;SIMPRO_VIG;2018-05-08;19;
SIMPRO;2026-04-12;material;0000078083;12;;RICHTER;CUBA INOX 9X5CM 250ML;;;;;;;;;;;;;;52;SIMPRO_VIG;2018-05-08;19;
SIMPRO;2026-04-12;material;0000061366;12;;CELM;CUBA P/ELETROFORESE C-90 63011336;;;;;;;;;;;;;;724.29;SIMPRO_VIG;2010-06-21;19;
SIMPRO;2026-04-12;material;0000160918;12;;MEDICAL ACTION;CUBA PLASTICA REDONDA ESTERIL;;;;;;;;;;;;;;7;SIMPRO_VIG;2011-09-26;19;
SIMPRO;2026-04-12;material;0000274389;12;;EDLO;CUBA REDONDA 08CM 150ML TAM.PEQ;;;;;;;;;;;;;;45.15;SIMPRO_VIG;2016-07-19;19;
SIMPRO;2026-04-12;material;0000087530;12;;ERWIN GUTH;CUBA REDONDA 08CMX04CM 160ML 310.004;;;;;;;;;;;;;;25.49;SIMPRO_VIG;2010-09-09;19;
SIMPRO;2026-04-12;material;0000274385;12;;EDLO;CUBA REDONDA 09X5,5CM 220ML;;;;;;;;;;;;;;77;SIMPRO_VIG;2016-07-19;19;
