fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
SIMPRO;2026-04-12;material;0000114591;12;;HELIANTO;D-A.G.E 100ML;;;;;;;;;;;;;;0.49;SIMPRO_VIG;2012-07-03;19;
SIMPRO;2026-04-12;material;0000114592;12;;HELIANTO;D-A.G.E 200ML;;;;;;;;;;;;;;0.435;SIMPRO_VIG;2012-07-03;19;
SIMPRO;2026-04-12;material;0000350138;12;;ARGUS CIENTIFICA;D-DIMERO IMUNOFLUORESCENCIA QUICKSTAR C/25TESTES INVITRO;;;;;;;;;;;;;;3127.68;SIMPRO_VIG;2024-02-15;19;
SIMPRO;2026-04-12;material;0000355392;12;;INTERSURGICAL;DART REACH DISPOSITIVO ATOMIZACAO 117MM;;;;;;;;;;;;;;680;SIMPRO_VIG;2024-09-24;19;
SIMPRO;2026-04-12;material;0000355391;12;;INTERSURGICAL;DART REACH DISPOSITIVO ATOMIZACAO 218MM;;;;;;;;;;;;;;680;SIMPRO_VIG;2024-09-24;19;
SIMPRO;2026-04-12;material;0000355396;12;;INTERSURGICAL;DART REACH DISPOSITIVO ATOMIZACAO C/SERINGA 5ML 218MM;;;;;;;;;;;;;;750;SIMPRO_VIG;2024-09-24;19;
SIMPRO;2026-04-12;material;0000079004;12;;JG MORIYA;DCP-30 RESPIRONICS (DETACHABLE CONTROL PANEL) P/ST-D 901115;;;;;;;;;;;;;;0;SIMPRO_VIG;2010-01-12;19;
SIMPRO;2026-04-12;material;0000318569;12;;CASEX;DEBRIDADOR HIDROGEL C/PHMB 100ML;;;;;;;;;;;;;;184.5;SIMPRO_VIG;2020-10-29;19;
SIMPRO;2026-04-12;material;0000318572;12;;CASEX;DEBRIDADOR HIDROGEL C/PHMB 30ML;;;;;;;;;;;;;;1520.5;SIMPRO_VIG;2020-10-29;19;
SIMPRO;2026-04-12;material;0000329862;12;;ITG MEDEV;DEBRIDADOR PULSAR II AWI IRRIGADOR;;;;;;;;;;;;;;4533;SIMPRO_VIG;2022-03-08;19;
SIMPRO;2026-04-12;material;0000318579;12;;CASEX;DEBRIDADOR SOLUCAO LIMPADORA C/PHMB 100ML;;;;;;;;;;;;;;264.52;SIMPRO_VIG;2020-10-29;19;
SIMPRO;2026-04-12;material;0000318576;12;;CASEX;DEBRIDADOR SOLUCAO LIMPADORA C/PHMB 350ML;;;;;;;;;;;;;;375.76;SIMPRO_VIG;2020-10-29;19;
SIMPRO;2026-04-12;material;0000014981;12;;RICHTER;DECANTADOR GORDURA SER.20ML R-426-20;;;;;;;;;;;;;;0;SIMPRO_VIG;2009-11-26;19;
SIMPRO;2026-04-12;material;0000124069;12;;RICHTER;DECANTADOR GORDURA SER.20ML TRIPLO;;;;;;;;;;;;;;223;SIMPRO_VIG;2024-07-30;19;
SIMPRO;2026-04-12;material;0000078079;12;;RICHTER;DECANTADOR GORDURA SER.60ML R-427-60;;;;;;;;;;;;;;0;SIMPRO_VIG;2009-11-26;19;
SIMPRO;2026-04-12;material;0000014982;12;;RICHTER;DECANTADOR GORDURA SER.60ML TRIPLO;;;;;;;;;;;;;;262;SIMPRO_VIG;2024-07-30;19;
SIMPRO;2026-04-12;material;0000244214;12;;LAGROTTA AZZURA;DEDEIRA BRANCA 100UNID;;;;;;;;;;;;;;0.099;SIMPRO_VIG;2014-03-14;19;
SIMPRO;2026-04-12;material;0000275673;12;;O'GEL;DEDEIRA GEL C/TECIDO TAM.P/M/G;;;;;;;;;;;;;;32;SIMPRO_VIG;2016-08-23;19;
SIMPRO;2026-04-12;material;0000275675;12;;O'GEL;DEDEIRA GEL PURO TAM.PP/P/M/G;;;;;;;;;;;;;;24;SIMPRO_VIG;2016-08-23;19;
SIMPRO;2026-04-12;material;0000047813;12;;MUCAMBO;DEDEIRA LATEX NATURAL C/TAL.190 NR.02 100UNID;;;;;;;;;;;;;;0.095;SIMPRO_VIG;2009-01-12;19;
SIMPRO;2026-04-12;material;0000047814;12;;MUCAMBO;DEDEIRA LATEX NATURAL C/TAL.190 NR.03 100UNID;;;;;;;;;;;;;;0.095;SIMPRO_VIG;2009-01-12;19;
SIMPRO;2026-04-12;material;0000047815;12;;MUCAMBO;DEDEIRA LATEX NATURAL C/TAL.190 NR.04 100UNID;;;;;;;;;;;;;;0.095;SIMPRO_VIG;2009-01-12;19;
SIMPRO;2026-04-12;material;0000047816;12;;MUCAMBO;DEDEIRA LATEX NATURAL C/TAL.190 NR.05 100UNID;;;;;;;;;;;;;;0.095;SIMPRO_VIG;2009-01-12;19;
SIMPRO;2026-04-12;material;0000047818;12;;MUCAMBO;DEDEIRA LATEX NATURAL S/TAL.191 NR.02 100UNID;;;;;;;;;;;;;;0.105;SIMPRO_VIG;2009-01-12;19;
SIMPRO;2026-04-12;material;0000047819;12;;MUCAMBO;DEDEIRA LATEX NATURAL S/TAL.191 NR.03 100UNID;;;;;;;;;;;;;;0.105;SIMPRO_VIG;2009-01-12;19;
SIMPRO;2026-04-12;material;0000047820;12;;MUCAMBO;DEDEIRA LATEX NATURAL S/TAL.191 NR.04 100UNID;;;;;;;;;;;;;;0.105;SIMPRO_VIG;2009-01-12;19;
SIMPRO;2026-04-12;material;0000047821;12;;MUCAMBO;DEDEIRA LATEX NATURAL S/TAL.191 NR.05 100UNID;;;;;;;;;;;;;;0.105;SIMPRO_VIG;2009-01-12;19;
SIMPRO;2026-04-12;material;0000244216;12;;LAGROTTA AZZURA;DEDEIRA ROSA 100UNID;;;;;;;;;;;;;;0.099;SIMPRO_VIG;2014-03-14;19;
SIMPRO;2026-04-12;material;0000089379;12;;ORTOCENTER;DEDEIRA S/MALHA GELCENTER GRD.4015;;;;;;;;;;;;;;10;SIMPRO_VIG;2004-11-16;19;
SIMPRO;2026-04-12;material;0000089378;12;;ORTOCENTER;DEDEIRA S/MALHA GELCENTER MED.4015;;;;;;;;;;;;;;10;SIMPRO_VIG;2004-11-16;19;
SIMPRO;2026-04-12;material;0000089377;12;;ORTOCENTER;DEDEIRA S/MALHA GELCENTER PEQ.4015;;;;;;;;;;;;;;10;SIMPRO_VIG;2004-11-16;19;
SIMPRO;2026-04-12;material;0000040703;12;;STERIFARMA;DEDO LUVA ESTERIL 2UNID;;;;;;;;;;;;;;1.82;SIMPRO_VIG;2007-09-13;19;
SIMPRO;2026-04-12;material;0000332210;12;;SINTEGRA SURGICAL;DEEPFIBER ANCORA SOFT 1,4;;;;;;;;;;;;;;4550;SIMPRO_VIG;2022-05-13;19;
SIMPRO;2026-04-12;material;0000332211;12;;SINTEGRA SURGICAL;DEEPFIBER ANCORA SOFT 1,5;;;;;;;;;;;;;;4550;SIMPRO_VIG;2022-05-13;19;
SIMPRO;2026-04-12;material;0000332212;12;;SINTEGRA SURGICAL;DEEPFIBER ANCORA SOFT 1,8 DUO;;;;;;;;;;;;;;4550;SIMPRO_VIG;2022-05-13;19;
SIMPRO;2026-04-12;material;0000248785;12;;GLENMARK;DEMELAN AIRLESS CRM.30G;;;;;;;;;;;;;;96.65;SIMPRO_VIG;2019-04-09;19;
SIMPRO;2026-04-12;material;0000151355;12;;LR POSAY;DEO 7 DIAS CREME 30ML W41000;;;;;;;;;;;;;;1.084;SIMPRO_VIG;2014-05-14;19;
SIMPRO;2026-04-12;material;0000151357;12;;LR POSAY;DEO ANTITRANSP.24H AEROSOL 125ML W42100;;;;;;;;;;;;;;0.266;SIMPRO_VIG;2014-05-14;19;
SIMPRO;2026-04-12;material;0000151358;12;;LR POSAY;DEO TTO ANTITRANSP.48H PS BRANCA 50ML VP031400;;;;;;;;;;;;;;0.65;SIMPRO_VIG;2014-05-14;19;
SIMPRO;2026-04-12;material;0000151356;12;;LR POSAY;DEO TTO ANTRITRANSP.48H VERDE 50ML VP030700;;;;;;;;;;;;;;0.65;SIMPRO_VIG;2014-05-14;19;
SIMPRO;2026-04-12;material;0000134513;12;;PETROVICH;DEPRESSOR DEDAL;;;;;;;;;;;;;;84;SIMPRO_VIG;2013-05-07;19;
SIMPRO;2026-04-12;material;0000038491;12;;PETROVICH;DEPRESSOR ESCLERAL;;;;;;;;;;;;;;66;SIMPRO_VIG;2013-05-07;19;
