fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
SIMPRO;2026-04-12;material;0000088437;12;;BADEIA;EASYTUBE P/INTUBACAO TRAQUEAL/ESOFAGICA LATEX-FREE ADU.CH.41 116600-041;;;;;;;;;;;;;;0;SIMPRO_VIG;2010-01-22;19;
SIMPRO;2026-04-12;material;0000088438;12;;BADEIA;EASYTUBE P/INTUBACAO TRAQUEAL/ESOFAGICA LATEX-FREE PED.CH.28 116600-028;;;;;;;;;;;;;;0;SIMPRO_VIG;2010-01-22;19;
SIMPRO;2026-04-12;material;0000258674;12;;MEDVISION;ECKARDT FINE TIP 23GA;;;;;;;;;;;;;;1425;SIMPRO_VIG;2015-10-28;19;
SIMPRO;2026-04-12;material;0000363707;12;;GADE;ECO SKIN SABONETE LIQUIDO S/ENXAGUE 5LT;;;;;;;;;;;;;;580;SIMPRO_VIG;2025-09-30;19;
SIMPRO;2026-04-12;material;0000139321;12;;B.BRAUN;ECOFLAC MIX;;;;;;;;;;;;;;24.12;SIMPRO_VIG;2021-03-05;19;
SIMPRO;2026-04-12;material;0000151827;12;;ATIVUS;ECOSENSIV SAB.LIQUIDO 120GRS;;;;;;;;;;;;;;29.69;SIMPRO_VIG;2013-09-11;19;
SIMPRO;2026-04-12;material;0000148932;12;;ATIVUS;ECOSENSIV TALCO 100GRS;;;;;;;;;;;;;;0.224;SIMPRO_VIG;2013-09-11;19;
SIMPRO;2026-04-12;material;0000067506;12;;CONTROLLER;ECRAN C/GRADIENTE VERDE LUMAX 35X91CM (PAR);;;;;;;;;;;;;;50175.3;SIMPRO_VIG;2021-11-18;19;
SIMPRO;2026-04-12;material;0000295331;12;;CONTROLLER;ECRAN C/GRADIENTE VERDE LUMAX 35X91CM(PAR);;;;;;;;;;;;;;5017.53;SIMPRO_VIG;2018-10-16;19;
SIMPRO;2026-04-12;material;0000076259;12;;CONTROLLER;ECRAN DENTAL LUMAX 15X30CM (PAR);;;;;;;;;;;;;;179;SIMPRO_VIG;2018-02-15;19;
SIMPRO;2026-04-12;material;0000057288;12;;CONTROLLER;ECRAN LUMAX FINE LUZ VERDE 18X24CM (PAR);;;;;;;;;;;;;;554.2;SIMPRO_VIG;2015-09-09;19;
SIMPRO;2026-04-12;material;0000057286;12;;CONTROLLER;ECRAN LUMAX MEDIUM LUZ VERDE 18X24CM (PAR);;;;;;;;;;;;;;554.2;SIMPRO_VIG;2015-09-09;19;
SIMPRO;2026-04-12;material;0000057287;12;;CONTROLLER;ECRAN LUMAX MEDIUM LUZ VERDE 20X25CM(PAR);;;;;;;;;;;;;;442.65;SIMPRO_VIG;2015-09-09;19;
SIMPRO;2026-04-12;material;0000051163;12;;CONTROLLER;ECRAN LUMAX REG.LUZ VERDE 13X18CM(PAR);;;;;;;;;;;;;;2090.2;SIMPRO_VIG;2021-11-18;19;
SIMPRO;2026-04-12;material;0000057284;12;;CONTROLLER;ECRAN LUMAX REG.LUZ VERDE 15X30CM(PAR);;;;;;;;;;;;;;4155.2;SIMPRO_VIG;2021-11-18;19;
SIMPRO;2026-04-12;material;0000057283;12;;CONTROLLER;ECRAN LUMAX REG.LUZ VERDE 15X40CM(PAR);;;;;;;;;;;;;;5353.3;SIMPRO_VIG;2021-11-18;19;
SIMPRO;2026-04-12;material;0000051164;12;;CONTROLLER;ECRAN LUMAX REG.LUZ VERDE 18X24CM(PAR);;;;;;;;;;;;;;5670;SIMPRO_VIG;2021-11-18;19;
SIMPRO;2026-04-12;material;0000083354;12;;CONTROLLER;ECRAN LUMAX REG.LUZ VERDE 20X25CM(PAR);;;;;;;;;;;;;;4601.5;SIMPRO_VIG;2021-11-18;19;
SIMPRO;2026-04-12;material;0000051165;12;;CONTROLLER;ECRAN LUMAX REG.LUZ VERDE 24X30CM(PAR);;;;;;;;;;;;;;9585;SIMPRO_VIG;2021-11-18;19;
SIMPRO;2026-04-12;material;0000051166;12;;CONTROLLER;ECRAN LUMAX REG.LUZ VERDE 30X40CM(PAR);;;;;;;;;;;;;;15619.5;SIMPRO_VIG;2021-11-18;19;
SIMPRO;2026-04-12;material;0000051167;12;;CONTROLLER;ECRAN LUMAX REG.LUZ VERDE 35X35CM(PAR);;;;;;;;;;;;;;16308;SIMPRO_VIG;2021-11-18;19;
