fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
SIMPRO;2026-04-12;material;0000286449;12;;VIEMED;F DERM CREME GEL 100G;;;;;;;;;;;;;;2.083;SIMPRO_VIG;2017-06-29;19;
SIMPRO;2026-04-12;material;0000286448;12;;VIEMED;F DERM CREME GEL 30G;;;;;;;;;;;;;;4.644;SIMPRO_VIG;2017-06-29;19;
SIMPRO;2026-04-12;material;0000261562;12;;C.M.I;FACA 16,5CM ARREDONDADA P/URETROTOMIA;;;;;;;;;;;;;;1594.08;SIMPRO_VIG;2016-05-10;19;
SIMPRO;2026-04-12;material;0000261561;12;;C.M.I;FACA 16,5CM RETA P/URETROTOMIA;;;;;;;;;;;;;;1594.08;SIMPRO_VIG;2016-05-10;19;
SIMPRO;2026-04-12;material;0000261563;12;;C.M.I;FACA 16,5CM TP.FOICE P/URETROTOMIA;;;;;;;;;;;;;;1594.08;SIMPRO_VIG;2016-05-10;19;
SIMPRO;2026-04-12;material;0000261564;12;;C.M.I;FACA 16,5CM TP.GANCHO P/URETROTOMIA;;;;;;;;;;;;;;1594.08;SIMPRO_VIG;2016-05-10;19;
SIMPRO;2026-04-12;material;0000261558;12;;C.M.I;FACA 19,5CM ARREDONDADA P/URETROTOMIA;;;;;;;;;;;;;;1594.08;SIMPRO_VIG;2016-05-10;19;
SIMPRO;2026-04-12;material;0000261557;12;;KARL STORZ;FACA 19,5CM RETA P/URETROTOMIA;;;;;;;;;;;;;;1594.08;SIMPRO_VIG;2016-05-10;19;
SIMPRO;2026-04-12;material;0000261559;12;;C.M.I;FACA 19,5CM TP.FOICE P/URETROTOMIA;;;;;;;;;;;;;;1594.08;SIMPRO_VIG;2016-05-10;19;
SIMPRO;2026-04-12;material;0000261560;12;;KARL STORZ;FACA 19,5CM TP.GANCHO P/URETROTOMIA;;;;;;;;;;;;;;1594.08;SIMPRO_VIG;2016-05-10;19;
SIMPRO;2026-04-12;material;0000261550;12;;C.M.I;FACA 3FR TRIANGULAR;;;;;;;;;;;;;;7967.16;SIMPRO_VIG;2016-05-10;19;
SIMPRO;2026-04-12;material;0000112885;12;;C.FERNANDE;FACA BALLENGER 190CM FACA 3MM RETA P/TABIQUE NASAL PROFESSIONAL MA.66.50.03;;;;;;;;;;;;;;0;SIMPRO_VIG;2009-08-26;19;
SIMPRO;2026-04-12;material;0000112888;12;;C.FERNANDE;FACA BALLENGER 20CM FACA 4MM BAIONETA P/TABIQUE NASAL PROFESSIONAL MA.66.50.14;;;;;;;;;;;;;;0;SIMPRO_VIG;2009-08-26;19;
SIMPRO;2026-04-12;material;0002410823;12;;ERWIN GUTH;FACA BALLENGER 3MM 20CM BAIONETA P/SEPTO 410.001D;;;;;;;;;;;;;;439.56;SIMPRO_VIG;2010-02-17;19;
SIMPRO;2026-04-12;material;0002410242;12;;ERWIN GUTH;FACA BALLENGER 3MM 20CM RETA P/SEPTO 410.001A;;;;;;;;;;;;;;403.92;SIMPRO_VIG;2009-08-12;19;
SIMPRO;2026-04-12;material;0000000460;12;;ERWIN GUTH;FACA BALLENGER 4MM 20CM BAIONETA P/SEPTO 410.001E;;;;;;;;;;;;;;439.56;SIMPRO_VIG;2010-02-17;19;
SIMPRO;2026-04-12;material;0000000458;12;;ERWIN GUTH;FACA BALLENGER 4MM 20CM RETA P/SEPTO 410.001B;;;;;;;;;;;;;;403.92;SIMPRO_VIG;2009-08-12;19;
SIMPRO;2026-04-12;material;0000000461;12;;ERWIN GUTH;FACA BALLENGER 5MM 20CM BAIONETA P/SEPTO 410.001F;;;;;;;;;;;;;;439.56;SIMPRO_VIG;2009-08-12;19;
SIMPRO;2026-04-12;material;0000000459;12;;ERWIN GUTH;FACA BALLENGER 5MM 20CM RETA P/SEPTO 410.001C;;;;;;;;;;;;;;403.92;SIMPRO_VIG;2009-08-12;19;
SIMPRO;2026-04-12;material;0006230095;12;;RICHTER;FACA BALLENGER BAIONETA 22CM;;;;;;;;;;;;;;464;SIMPRO_VIG;2024-07-30;19;
SIMPRO;2026-04-12;material;0006230094;12;;RICHTER;FACA BALLENGER RETA 20CM;;;;;;;;;;;;;;384;SIMPRO_VIG;2024-07-30;19;
SIMPRO;2026-04-12;material;0000274476;12;;EDLO;FACA BECKMANN NR.01;;;;;;;;;;;;;;152.49;SIMPRO_VIG;2016-07-19;19;
SIMPRO;2026-04-12;material;0000274477;12;;EDLO;FACA BECKMANN NR.02;;;;;;;;;;;;;;152.49;SIMPRO_VIG;2016-07-19;19;
SIMPRO;2026-04-12;material;0000274478;12;;EDLO;FACA BECKMANN NR.03;;;;;;;;;;;;;;152.49;SIMPRO_VIG;2016-07-19;19;
SIMPRO;2026-04-12;material;0002410243;12;;ERWIN GUTH;FACA BECKMANN P/ADENOIDE NR.01 22CM 410.005A;;;;;;;;;;;;;;125.93;SIMPRO_VIG;2009-08-12;19;
SIMPRO;2026-04-12;material;0002410824;12;;ERWIN GUTH;FACA BECKMANN P/ADENOIDE NR.02 22CM 410.005B;;;;;;;;;;;;;;125.93;SIMPRO_VIG;2010-02-17;19;
SIMPRO;2026-04-12;material;0002410825;12;;ERWIN GUTH;FACA BECKMANN P/ADENOIDE NR.03 22CM 410.005C;;;;;;;;;;;;;;125.93;SIMPRO_VIG;2010-02-17;19;
SIMPRO;2026-04-12;material;0002410826;12;;ERWIN GUTH;FACA BECKMANN P/ADENOIDE NR.04 22CM 410.005D;;;;;;;;;;;;;;125.93;SIMPRO_VIG;2010-02-17;19;
