fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
SIMPRO;2026-04-12;material;0000347094;12;;SANOVIE;GABARITO/CALIBRADOR P/PRONGA CPAP 5UN;;;;;;;;;;;;;;136.29;SIMPRO_VIG;2023-09-26;19;
SIMPRO;2026-04-12;material;0000354513;12;;CSE;GABINETE AQUECEDOR FLUIDOS CAPACIDADE 300LT;;;;;;;;;;;;;;220000;SIMPRO_VIG;2024-08-14;19;
SIMPRO;2026-04-12;material;0000354514;12;;CSE;GABINETE AQUECEDOR FLUIDOS CAPACIDADE 300LT C/GAVETAS;;;;;;;;;;;;;;300000;SIMPRO_VIG;2024-08-14;19;
SIMPRO;2026-04-12;material;0000354511;12;;CSE;GABINETE AQUECEDOR FLUIDOS CAPACIDADE 30LT;;;;;;;;;;;;;;80000;SIMPRO_VIG;2024-08-14;19;
SIMPRO;2026-04-12;material;0000354512;12;;CSE;GABINETE AQUECEDOR FLUIDOS CAPACIDADE 60LT;;;;;;;;;;;;;;120000;SIMPRO_VIG;2024-08-14;19;
SIMPRO;2026-04-12;material;0000354758;12;;CSE;GABINETE P/BOMBA INFUSAO USO SALA MRI UNIQUEMRISHIELD;;;;;;;;;;;;;;80000;SIMPRO_VIG;2024-08-29;19;
SIMPRO;2026-04-12;material;0000061508;12;;CELM;GAMA GLUTAMIL TRANSFERASE GGT SL 60ML;;;;;;;;;;;;;;1.179;SIMPRO_VIG;2010-06-21;19;
SIMPRO;2026-04-12;material;0000350106;12;;ARGUS CIENTIFICA;GAMA GT LIQUIDA 100ML (4X20ML+1X20ML) WIENER;;;;;;;;;;;;;;1696.83;SIMPRO_VIG;2024-02-15;19;
SIMPRO;2026-04-12;material;0000039349;12;;CENTERLAB;GAMA GT LIQUIFORM (83) 2X30ML LABTEST 185.A;;;;;;;;;;;;;;1.022;SIMPRO_VIG;2006-04-19;19;
SIMPRO;2026-04-12;material;0000069130;12;;STRYKER NEURO;GANCHO ANGULADO DIREITO;;;;;;;;;;;;;;5589.27;SIMPRO_VIG;2010-01-22;19;
SIMPRO;2026-04-12;material;0000069129;12;;STRYKER NEURO;GANCHO ANGULADO ESQUERDO;;;;;;;;;;;;;;5589.27;SIMPRO_VIG;2010-01-22;19;
SIMPRO;2026-04-12;material;0000084122;12;;OPTIKA;GANCHO ANGULADO W5XT7 OPTIMA;;;;;;;;;;;;;;6948.67;SIMPRO_VIG;2004-04-01;19;
SIMPRO;2026-04-12;material;0000084123;12;;OPTIKA;GANCHO ANGULADO W5XT7 OPTIMA;;;;;;;;;;;;;;6948.67;SIMPRO_VIG;2004-04-01;19;
SIMPRO;2026-04-12;material;0000084125;12;;OPTIKA;GANCHO ANGULADO W5XT9 OPTIMA;;;;;;;;;;;;;;6948.67;SIMPRO_VIG;2004-04-01;19;
SIMPRO;2026-04-12;material;0000084126;12;;OPTIKA;GANCHO ANGULADO W5XT9 OPTIMA;;;;;;;;;;;;;;6948.67;SIMPRO_VIG;2004-04-01;19;
SIMPRO;2026-04-12;material;0003968079;12;;PETROVICH;GANCHO ARRUGA;;;;;;;;;;;;;;74;SIMPRO_VIG;2013-05-07;19;
SIMPRO;2026-04-12;material;0000049180;12;;PMD;GANCHO BLOQUEADOR TAM.UNICO TITANIO;;;;;;;;;;;;;;1112.28;SIMPRO_VIG;2008-10-10;19;
SIMPRO;2026-04-12;material;0002410271;12;;ERWIN GUTH;GANCHO BRAUN P/DESTRONCACAO 450.001;;;;;;;;;;;;;;213.84;SIMPRO_VIG;2009-08-12;19;
SIMPRO;2026-04-12;material;0000069125;12;;STRYKER NEURO;GANCHO C/LAMINA ANGULADA;;;;;;;;;;;;;;5589.27;SIMPRO_VIG;2010-01-22;19;
SIMPRO;2026-04-12;material;0000158750;12;;B.BRAUN;GANCHO C2 S4 CERVICAL DIR.AESCULAP;;;;;;;;;;;;;;8250;SIMPRO_VIG;2011-07-19;19;
SIMPRO;2026-04-12;material;0000158752;12;;B.BRAUN;GANCHO C2 S4 CERVICAL ESQ.AESCULAP;;;;;;;;;;;;;;8250;SIMPRO_VIG;2011-07-19;19;
SIMPRO;2026-04-12;material;0000078217;12;;B.BRAUN;GANCHO C2 SSE CERVICAL DIR.AESCULAP;;;;;;;;;;;;;;3135;SIMPRO_VIG;2003-09-12;19;
SIMPRO;2026-04-12;material;0000078218;12;;B.BRAUN;GANCHO C2 SSE CERVICAL ESQ.AESCULAP;;;;;;;;;;;;;;3135;SIMPRO_VIG;2003-09-12;19;
SIMPRO;2026-04-12;material;0000270336;12;;SETORMED;GANCHO COMPRESSAO 30° RETO DIAM.INT.1,0X140MM FIO NITINOL;;;;;;;;;;;;;;2800;SIMPRO_VIG;2016-05-10;19;
SIMPRO;2026-04-12;material;0000270337;12;;SETORMED;GANCHO COMPRESSAO 45° DIR.DIAM.INT.1,0X140MM FIO NITINOL;;;;;;;;;;;;;;2800;SIMPRO_VIG;2016-05-10;19;
SIMPRO;2026-04-12;material;0000270338;12;;SETORMED;GANCHO COMPRESSAO 45° ESQ.DIAM.INT.1,0X140MM FIO NITINOL;;;;;;;;;;;;;;2800;SIMPRO_VIG;2016-05-10;19;
SIMPRO;2026-04-12;material;0000270335;12;;SETORMED;GANCHO COMPRESSAO 9O° DIR.DIAM.INT.1,0X140MM FIO NITINOL;;;;;;;;;;;;;;3500;SIMPRO_VIG;2016-05-10;19;
SIMPRO;2026-04-12;material;0000319936;12;;RAZEK;GANCHO COMPRESSAO RZ PASS NITI;;;;;;;;;;;;;;3020;SIMPRO_VIG;2023-06-13;19;
SIMPRO;2026-04-12;material;319936;12;;RAZEK;GANCHO COMPRESSAO RZ PASS NITI;;;;;;;;;;;;;;3020;SIMPRO_VIG;2023-06-13;19;
SIMPRO;2026-04-12;material;0000319937;12;;RAZEK;GANCHO COMPRESSAO SUTURA;;;;;;;;;;;;;;3750;SIMPRO_VIG;2023-06-13;19;
SIMPRO;2026-04-12;material;319937;12;;RAZEK;GANCHO COMPRESSAO SUTURA;;;;;;;;;;;;;;3750;SIMPRO_VIG;2023-06-13;19;
SIMPRO;2026-04-12;material;0000078168;12;;B.BRAUN;GANCHO CONTRA GANCHO P/COLUNA AESCULAP;;;;;;;;;;;;;;2515;SIMPRO_VIG;2003-09-12;19;
SIMPRO;2026-04-12;material;0000340742;12;;VINCULA;GANCHO CROSS-LINK CONE MORSE 35-37,5MM P/BARRA 5,5MM GFE;;;;;;;;;;;;;;3533.17;SIMPRO_VIG;2023-05-24;19;
SIMPRO;2026-04-12;material;0000340743;12;;VINCULA;GANCHO CROSS-LINK CONE MORSE 37-40,0MM P/BARRA 5,5MM GFE;;;;;;;;;;;;;;3533.17;SIMPRO_VIG;2023-05-24;19;
SIMPRO;2026-04-12;material;0000340744;12;;VINCULA;GANCHO CROSS-LINK CONE MORSE 39,5-46,5MM P/BARRA 5,5MM GFE;;;;;;;;;;;;;;3533.17;SIMPRO_VIG;2023-05-24;19;
SIMPRO;2026-04-12;material;0000340745;12;;VINCULA;GANCHO CROSS-LINK CONE MORSE 46-58MM P/BARRA 5,5MM GFE;;;;;;;;;;;;;;3533.17;SIMPRO_VIG;2023-05-24;19;
SIMPRO;2026-04-12;material;0000340741;12;;VINCULA;GANCHO CROSS-LINK II TI;;;;;;;;;;;;;;735.05;SIMPRO_VIG;2023-05-24;19;
SIMPRO;2026-04-12;material;0000112896;12;;CIRURGICA FERNANDES;GANCHO CUSHING 28CM 6MM GRD.P/NERVO PROFESSIONAL;;;;;;;;;;;;;;159.85;SIMPRO_VIG;2015-09-10;19;
SIMPRO;2026-04-12;material;0000135693;12;;J&J ENDO;GANCHO DISSECTOR SYNERGY C/ACIONAMENTO MANUAL;;;;;;;;;;;;;;2488.33;SIMPRO_VIG;2017-03-28;19;
SIMPRO;2026-04-12;material;0006230056;12;;RICHTER;GANCHO ELEVADOR 20CM;;;;;;;;;;;;;;220;SIMPRO_VIG;2024-07-30;19;
SIMPRO;2026-04-12;material;0000117027;12;;PCE;GANCHO ELITE PASS;;;;;;;;;;;;;;3221.96;SIMPRO_VIG;2026-03-31;19;
