fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
SIMPRO;2026-04-12;material;0000128541;12;;TRADE;H-TEC REFIL PLAST.100PAR;;;;;;;;;;;;;;0;SIMPRO_VIG;2009-03-13;19;
SIMPRO;2026-04-12;material;0000130875;12;;TRADE;H-TEC REFIL TNT 45PAR;;;;;;;;;;;;;;0;SIMPRO_VIG;2009-03-13;19;
SIMPRO;2026-04-12;material;0000052912;12;;CARCI;HALTERES TP.BOLA 1/2KG EMBORRACHADO VERMELHO;;;;;;;;;;;;;;7.12;SIMPRO_VIG;2009-11-13;19;
SIMPRO;2026-04-12;material;0000052913;12;;CARCI;HALTERES TP.BOLA 1KG EMBORRACHADO;;;;;;;;;;;;;;10.9;SIMPRO_VIG;2009-11-13;19;
SIMPRO;2026-04-12;material;0000052914;12;;CARCI;HALTERES TP.BOLA 2KG EMBORRACHADO AZUL;;;;;;;;;;;;;;21.8;SIMPRO_VIG;2009-11-13;19;
SIMPRO;2026-04-12;material;0000052915;12;;CARCI;HALTERES TP.BOLA 3KG EMBORRACHADO PRETO;;;;;;;;;;;;;;32.7;SIMPRO_VIG;2009-11-13;19;
SIMPRO;2026-04-12;material;0000052916;12;;CARCI;HALTERES TP.BOLA 4KG EMBORRACHADO PRATA;;;;;;;;;;;;;;43.6;SIMPRO_VIG;2009-11-13;19;
SIMPRO;2026-04-12;material;0000062539;12;;CARCI;HALTERES TP.BOLA 5KG EMBORRACHADO AMARELO;;;;;;;;;;;;;;54.5;SIMPRO_VIG;2009-11-13;19;
SIMPRO;2026-04-12;material;0000108353;12;;CARCI;HALTERES TP.BOLA 6KG EMBORRACHADO;;;;;;;;;;;;;;65.4;SIMPRO_VIG;2009-11-13;19;
SIMPRO;2026-04-12;material;0000027991;12;;SALVAPE;HANDPLAST MASSA P/EXERCICIOS 50GRS 965-00;;;;;;;;;;;;;;1.676;SIMPRO_VIG;2008-07-15;19;
SIMPRO;2026-04-12;material;0000016889;12;;BAXTER;HANDYSEAL - SELADOR PORTATIL C/BATERIA;;;;;;;;;;;;;;31998.75;SIMPRO_VIG;2011-04-01;19;
SIMPRO;2026-04-12;material;0000326817;12;;FORMEDICS;HAREX DISP.P/INCONTINENCIA URINARIA MASC.;;;;;;;;;;;;;;3200;SIMPRO_VIG;2021-10-29;19;
SIMPRO;2026-04-12;material;0000131162;12;;FUSAO;HASTE 5,5MMX10CM;;;;;;;;;;;;;;2219.95;SIMPRO_VIG;2008-08-05;19;
SIMPRO;2026-04-12;material;0000131163;12;;FUSAO;HASTE 5,5MMX20CM;;;;;;;;;;;;;;2219.95;SIMPRO_VIG;2008-08-05;19;
SIMPRO;2026-04-12;material;0000177787;12;;FUSAO;HASTE 6X100MM PERFIX;;;;;;;;;;;;;;1056;SIMPRO_VIG;2013-07-02;19;
SIMPRO;2026-04-12;material;0000177788;12;;FUSAO;HASTE 6X120MM PERFIX;;;;;;;;;;;;;;1056;SIMPRO_VIG;2013-07-02;19;
SIMPRO;2026-04-12;material;0000177789;12;;FUSAO;HASTE 6X150MM PERFIX;;;;;;;;;;;;;;1056;SIMPRO_VIG;2013-07-02;19;
