fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
SIMPRO;2026-04-12;material;0000100479;12;;CENTERLAB;IBCLIQUIFORM (92) 2X65ML LABTEST 171;;;;;;;;;;;;;;113.01;SIMPRO_VIG;2006-04-19;19;
SIMPRO;2026-04-12;material;0000141334;12;;IMPACTO;IDENTIFICADOR P/INSTRUMENTAL CIRURGICO CORES (FOLHA C/540TIRAS CORTADAS);;;;;;;;;;;;;;220;SIMPRO_VIG;2011-01-01;19;
SIMPRO;2026-04-12;material;0000278418;12;;ADAPT;ILUMINADOR TP.CHANDELIER TWINLIGHT 27GA;;;;;;;;;;;;;;2391.6;SIMPRO_VIG;2023-08-11;19;
SIMPRO;2026-04-12;material;0000355919;12;;FQM MELORA;IMECAP HAIR MAX LOCAO FR 100ML;;;;;;;;;;;;;;64.45;SIMPRO_VIG;2024-10-15;19;
SIMPRO;2026-04-12;material;0000355918;12;;FQM MELORA;IMECAP HAIR MAX SHAMPOO 200ML;;;;;;;;;;;;;;63.86;SIMPRO_VIG;2024-10-15;19;
SIMPRO;2026-04-12;material;0000355920;12;;FQM MELORA;IMECAP MAX AMPOLA 15ML;;;;;;;;;;;;;;17.73;SIMPRO_VIG;2024-10-15;19;
SIMPRO;2026-04-12;material;0000240029;12;;NILDRADE;IMOBILIZADOR ABDOMINAL P/CAMA;;;;;;;;;;;;;;580;SIMPRO_VIG;2013-09-10;19;
SIMPRO;2026-04-12;material;0000305997;12;;SALVAPE;IMOBILIZADOR ARTICULADO P/COTOVELO DIR.TAM.GRD.;;;;;;;;;;;;;;1193.5;SIMPRO_VIG;2025-04-02;19;
SIMPRO;2026-04-12;material;0000305996;12;;SALVAPE;IMOBILIZADOR ARTICULADO P/COTOVELO DIR.TAM.PEQ.;;;;;;;;;;;;;;1115.4;SIMPRO_VIG;2024-03-28;19;
SIMPRO;2026-04-12;material;0000168534;12;;SALVAPE;IMOBILIZADOR ARTICULADO P/COTOVELO DIR.TAM.UNICO;;;;;;;;;;;;;;622.9;SIMPRO_VIG;2017-06-06;19;
