fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
SIMPRO;2026-04-12;material;0000246087;12;;WINNER;JALECO (GUARDA-PO) WINNER ESPECIAL G 10UN;;;;;;;;;;;;;;96;SIMPRO_VIG;2021-07-02;19;
SIMPRO;2026-04-12;material;0000246086;12;;WINNER;JALECO (GUARDA-PO) WINNER ESPECIAL M 10UN;;;;;;;;;;;;;;99;SIMPRO_VIG;2021-07-02;19;
SIMPRO;2026-04-12;material;0000246085;12;;WINNER;JALECO (GUARDA-PO) WINNER ESPECIAL P 10UN;;;;;;;;;;;;;;89;SIMPRO_VIG;2021-07-02;19;
SIMPRO;2026-04-12;material;0000325203;12;;DRAKKAR;JALECO CIRURGICO DERMA PLUS TNT 10UN;;;;;;;;;;;;;;7.548;SIMPRO_VIG;2023-08-16;19;
SIMPRO;2026-04-12;material;0000259001;12;;PION G;JALECO GOLA PADRE P/MALHA BRANCO TAM.M N/ESTERIL 1,10X1,32MT;;;;;;;;;;;;;;28.5;SIMPRO_VIG;2015-07-07;19;
SIMPRO;2026-04-12;material;0000263723;12;;DYNAMED;JARRA BEAKER GRADUADO 1000ML;;;;;;;;;;;;;;132;SIMPRO_VIG;2024-11-06;19;
SIMPRO;2026-04-12;material;0000263724;12;;DYNAMED;JARRA BEAKER GRADUADO DESC.1000ML 10UNID.;;;;;;;;;;;;;;28.5;SIMPRO_VIG;2024-11-06;19;
SIMPRO;2026-04-12;material;0000087546;12;;ERWIN GUTH;JARRA INOX C/TAMPA CAPAC.2LTS 999.151B;;;;;;;;;;;;;;283.58;SIMPRO_VIG;2010-09-09;19;
SIMPRO;2026-04-12;material;0000087545;12;;ERWIN GUTH;JARRA INOX S/TAMPA CAPAC.2LTS 999.151A;;;;;;;;;;;;;;267.08;SIMPRO_VIG;2010-09-09;19;
SIMPRO;2026-04-12;material;0000283601;12;;SMT;JARRA MEDIDA BIODEGRADAVEL 1LT VERNACARE;;;;;;;;;;;;;;24.29;SIMPRO_VIG;2022-02-24;19;
SIMPRO;2026-04-12;material;0000084971;12;;GER-AR;JARRA P/COLETA SECRECAO 325-9131;;;;;;;;;;;;;;0;SIMPRO_VIG;2010-02-02;19;
SIMPRO;2026-04-12;material;0000163993;12;;RTS;JARRA P/SUCCAO 1,5L POLICARBONATO;;;;;;;;;;;;;;1100;SIMPRO_VIG;2025-03-26;19;
SIMPRO;2026-04-12;material;163993;12;;RTS;JARRA P/SUCCAO 1,5L POLICARBONATO;;;;;;;;;;;;;;1000;SIMPRO_VIG;2023-06-15;19;
SIMPRO;2026-04-12;material;0000164004;12;;RTS;JARRA P/SUCCAO 2,5L POLICARBONATO;;;;;;;;;;;;;;1300;SIMPRO_VIG;2025-03-26;19;
SIMPRO;2026-04-12;material;164004;12;;RTS;JARRA P/SUCCAO 2,5L POLICARBONATO;;;;;;;;;;;;;;1150;SIMPRO_VIG;2023-06-15;19;
