fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
SIMPRO;2026-04-12;material;0000085780;12;;BOSTON PERIFERICO;KATZEN FIO P/INFUSAO 035/145/12;;;;;;;;;;;;;;1932;SIMPRO_VIG;2004-05-10;19;
SIMPRO;2026-04-12;material;0000085778;12;;BOSTON PERIFERICO;KATZEN FIO P/INFUSAO 035/145/6;;;;;;;;;;;;;;1932;SIMPRO_VIG;2004-05-10;19;
SIMPRO;2026-04-12;material;0000085779;12;;BOSTON PERIFERICO;KATZEN FIO P/INFUSAO 035/145/9;;;;;;;;;;;;;;1932;SIMPRO_VIG;2004-05-10;19;
SIMPRO;2026-04-12;material;0000357295;12;;VISAO IMPLANTES;KD INTRA-ARTICULAR GEL 1,0% 2,0 ML;;;;;;;;;;;;;;1550;SIMPRO_VIG;2024-11-07;19;
SIMPRO;2026-04-12;material;0000369872;12;;VISAO IMPLANTES;KD INTRA-ARTICULAR GEL 1,6% 1,0ML;;;;;;;;;;;;;;3072;SIMPRO_VIG;2026-02-13;19;
SIMPRO;2026-04-12;material;0000357296;12;;VISAO IMPLANTES;KD INTRA-ARTICULAR GEL 1,6% 2,0 ML;;;;;;;;;;;;;;2780;SIMPRO_VIG;2024-11-07;19;
SIMPRO;2026-04-12;material;0000357297;12;;VISAO IMPLANTES;KD INTRA-ARTICULAR GEL 2,2% 2,0 ML;;;;;;;;;;;;;;3996;SIMPRO_VIG;2024-11-07;19;
SIMPRO;2026-04-12;material;0000357298;12;;VISAO IMPLANTES;KD INTRA-ARTICULAR GEL ONE 2,5% 3,0 ML;;;;;;;;;;;;;;4524.25;SIMPRO_VIG;2024-11-07;19;
SIMPRO;2026-04-12;material;0000357299;12;;VISAO IMPLANTES;KD INTRA-ARTICULAR GEL ONE 2,5% 4,8 ML;;;;;;;;;;;;;;6321;SIMPRO_VIG;2026-01-13;19;
SIMPRO;2026-04-12;material;0000326229;12;;MOMENTA FARMACEUTICA;KELUS GEL SILICONE P/REDUCAO CICATRIZES 10G;;;;;;;;;;;;;;111.61;SIMPRO_VIG;2025-04-04;19;
SIMPRO;2026-04-12;material;0000151294;12;;LR POSAY;KERIUM ANTI-QUEDA LOCAO 125ML YP092500;;;;;;;;;;;;;;0.829;SIMPRO_VIG;2014-05-14;19;
SIMPRO;2026-04-12;material;0000151295;12;;LR POSAY;KERIUM ANTI-QUEDA SHAMPOO 200ML YP096500;;;;;;;;;;;;;;0.155;SIMPRO_VIG;2014-05-14;19;
SIMPRO;2026-04-12;material;0000096742;12;;LR POSAY;KERIUM CASPA OLEOSA 200ML YP001800;;;;;;;;;;;;;;0.155;SIMPRO_VIG;2014-05-14;19;
