fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
SIMPRO;2026-04-12;material;0000257236;12;;LABNEWS;LABDOSE DILUIDOR P/PRODUTO QUIMICO;;;;;;;;;;;;;;1200;SIMPRO_VIG;2015-05-06;19;
SIMPRO;2026-04-12;material;0000089989;12;;CMS;LACO CAP.CORPO ESTRANHO MULTI-SNARE-PFM;;;;;;;;;;;;;;7000;SIMPRO_VIG;2016-09-14;19;
SIMPRO;2026-04-12;material;0000145676;12;;SCITECH;LACO CAPTURA CORPOS ESTRANHOS SNARE 3LOOP 100CM;;;;;;;;;;;;;;7050;SIMPRO_VIG;2010-05-03;19;
SIMPRO;2026-04-12;material;0000145675;12;;SCITECH;LACO CAPTURA CORPOS ESTRANHOS SNARE 3LOOP 175CM;;;;;;;;;;;;;;13865;SIMPRO_VIG;2010-05-03;19;
SIMPRO;2026-04-12;material;0000258729;12;;BOYNTON;LACO GERAL CAPTURA SEQURE;;;;;;;;;;;;;;5100;SIMPRO_VIG;2015-07-02;19;
SIMPRO;2026-04-12;material;0000258730;12;;BOYNTON;LACO GERAL CAPTURA SEQURE;;;;;;;;;;;;;;5100;SIMPRO_VIG;2015-07-02;19;
SIMPRO;2026-04-12;material;0000258733;12;;BOYNTON;LACO GERAL CAPTURA SEQURE;;;;;;;;;;;;;;5100;SIMPRO_VIG;2015-07-02;19;
SIMPRO;2026-04-12;material;0000258734;12;;BOYNTON;LACO GERAL CAPTURA SEQURE;;;;;;;;;;;;;;5100;SIMPRO_VIG;2015-07-02;19;
SIMPRO;2026-04-12;material;0000258735;12;;BOYNTON;LACO GERAL CAPTURA SEQURE;;;;;;;;;;;;;;5100;SIMPRO_VIG;2015-07-02;19;
SIMPRO;2026-04-12;material;0000258731;12;;BOYNTON;LACO GERAL CAPTURA SEQURE 15MM;;;;;;;;;;;;;;9200;SIMPRO_VIG;2024-03-19;19;
SIMPRO;2026-04-12;material;0000258732;12;;BOYNTON;LACO GERAL CAPTURA SEQURE 20MM;;;;;;;;;;;;;;9200;SIMPRO_VIG;2024-03-19;19;
SIMPRO;2026-04-12;material;0000258736;12;;BOYNTON;LACO MICRO CAPTURA SEQURE;;;;;;;;;;;;;;5100;SIMPRO_VIG;2015-07-02;19;
SIMPRO;2026-04-12;material;0000258737;12;;BOYNTON;LACO MICRO CAPTURA SEQURE;;;;;;;;;;;;;;5100;SIMPRO_VIG;2015-07-02;19;
