fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
SIMPRO;2026-04-12;material;0000166941;12;;BIOLAB SANUS;M&P DRY LOCAO 60ML(+7% IPI);;;;;;;;;;;;;;2.068;SIMPRO_VIG;2025-12-02;19;
SIMPRO;2026-04-12;material;0000352358;12;;OTOLOGICA;M-SCOPE SISTEMA GRAVACAO IMAGENS MEDICAS;;;;;;;;;;;;;;8000;SIMPRO_VIG;2024-05-24;19;
SIMPRO;2026-04-12;material;0000027483;12;;STA.LUZIA;MACA COMPLETA P/AMBULANCIA;;;;;;;;;;;;;;1221.76;SIMPRO_VIG;2012-05-21;19;
SIMPRO;2026-04-12;material;0000357844;12;;RC MOVEIS;MACA ELEVACAO HIDRAULICA OBESO;;;;;;;;;;;;;;33800;SIMPRO_VIG;2024-12-03;19;
SIMPRO;2026-04-12;material;0000351947;12;;RC MOVEIS;MACA FAWLER C/ELEVACAO HIDRAULICA;;;;;;;;;;;;;;28100;SIMPRO_VIG;2024-12-03;19;
SIMPRO;2026-04-12;material;0000351944;12;;RC MOVEIS;MACA FAWLER MANUAL;;;;;;;;;;;;;;23200;SIMPRO_VIG;2024-12-03;19;
SIMPRO;2026-04-12;material;0000088944;12;;STA.LUZIA;MACA FIXA P/AMB.ALTA/BAIXA ALUMINIO;;;;;;;;;;;;;;1088.8;SIMPRO_VIG;2012-05-21;19;
SIMPRO;2026-04-12;material;0000251086;12;;SISNACMED;MACA HIDRAULICA C/COLCHAO LOS PINOS(MACA HOSPITALAR BASE INOXIDAVEL OU RAIO-X C/FREIOS/RODAS);;;;;;;;;;;;;;16968;SIMPRO_VIG;2014-10-14;19;
SIMPRO;2026-04-12;material;0000351946;12;;RC MOVEIS;MACA HOSPITALAR INOX;;;;;;;;;;;;;;11900;SIMPRO_VIG;2024-12-03;19;
SIMPRO;2026-04-12;material;0000357845;12;;RC MOVEIS;MACA HOSPITALAR INOX OBESO;;;;;;;;;;;;;;14200;SIMPRO_VIG;2024-12-03;19;
SIMPRO;2026-04-12;material;0000027402;12;;STA.LUZIA;MACA LONA DOBRAVEL;;;;;;;;;;;;;;169.76;SIMPRO_VIG;2012-05-21;19;
SIMPRO;2026-04-12;material;0000027484;12;;STA.LUZIA;MACA LONA ENROLAR;;;;;;;;;;;;;;137.08;SIMPRO_VIG;2012-05-21;19;
SIMPRO;2026-04-12;material;0000027485;12;;STA.LUZIA;MACA LONA FECHAR;;;;;;;;;;;;;;408.25;SIMPRO_VIG;2012-05-21;19;
SIMPRO;2026-04-12;material;0000135184;12;;STA.LUZIA;MACA P/RESSONANCIA MAGNETICA ACO INOX;;;;;;;;;;;;;;2458.43;SIMPRO_VIG;2012-05-21;19;
SIMPRO;2026-04-12;material;0000135185;12;;STA.LUZIA;MACA P/RESSONANCIA MAGNETICA ALUMINIO;;;;;;;;;;;;;;2328.05;SIMPRO_VIG;2011-07-10;19;
SIMPRO;2026-04-12;material;0000251078;12;;SISNACMED;MACA P/TRANSFERENCIA SAMARIT(MACA DESLIZANTE/DOBRAVEL PORTATIL ATE 150KG COMPATIVEL C/RAIO-X);;;;;;;;;;;;;;6825;SIMPRO_VIG;2014-10-14;19;
SIMPRO;2026-04-12;material;0000135186;12;;STA.LUZIA;MACA PADIOLA DOBRAVEL ALUMINIO;;;;;;;;;;;;;;592.59;SIMPRO_VIG;2012-05-21;19;
SIMPRO;2026-04-12;material;0000076585;12;;STA.LUZIA;MACA RETRATIL ALUMINO;;;;;;;;;;;;;;2582.58;SIMPRO_VIG;2011-07-10;19;
SIMPRO;2026-04-12;material;0000088945;12;;STA.LUZIA;MACA RETRATIL ALUMINO MOD.01;;;;;;;;;;;;;;2582.58;SIMPRO_VIG;2011-07-10;19;
SIMPRO;2026-04-12;material;0000088946;12;;STA.LUZIA;MACA RETRATIL ALUMINO MOD.02;;;;;;;;;;;;;;2582.58;SIMPRO_VIG;2011-07-10;19;
SIMPRO;2026-04-12;material;0000088947;12;;STA.LUZIA;MACA RETRATIL ALUMINO MOD.03;;;;;;;;;;;;;;2582.58;SIMPRO_VIG;2011-07-10;19;
SIMPRO;2026-04-12;material;0000088948;12;;STA.LUZIA;MACA RETRATIL ALUMINO MOD.04;;;;;;;;;;;;;;2582.58;SIMPRO_VIG;2011-07-10;19;
SIMPRO;2026-04-12;material;0000088949;12;;STA.LUZIA;MACA RETRATIL ALUMINO MOD.05;;;;;;;;;;;;;;2582.58;SIMPRO_VIG;2011-07-10;19;
