fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
SIMPRO;2026-04-12;material;0000134102;12;;ENERGY;NAKAO SPIDER-NET CESTA P/RETIRADA CORPO ESTRANHO TAM.CESTA 3X6CM 230CM CONMED;;;;;;;;;;;;;;1238.72;SIMPRO_VIG;2011-07-13;19;
SIMPRO;2026-04-12;material;0000133694;12;;MANTECORP;NASALEZE 500MG;;;;;;;;;;;;;;28.38;SIMPRO_VIG;2011-04-01;19;
SIMPRO;2026-04-12;material;0000144668;12;;MZ MEDICAL;NASOFARINGOSCOPIO FLEXIVEL PENTAX 3,4MM;;;;;;;;;;;;;;27500;SIMPRO_VIG;2013-07-10;19;
SIMPRO;2026-04-12;material;0000120651;12;;MZ MEDICAL;NASOFARINGOSCOPIO FLEXIVEL XION 3,4MM;;;;;;;;;;;;;;23000;SIMPRO_VIG;2012-05-08;19;
SIMPRO;2026-04-12;material;0000291331;12;;VIEMED;NDERM CREME GEL 100G;;;;;;;;;;;;;;1.18;SIMPRO_VIG;2017-10-03;19;
SIMPRO;2026-04-12;material;0000291330;12;;VIEMED;NDERM CREME GEL 30G;;;;;;;;;;;;;;2.633;SIMPRO_VIG;2017-10-03;19;
SIMPRO;2026-04-12;material;0000052941;12;;PROTEC - SUSPENSA;NEBULIZADOR 500ML P/CIRCUITO BIRD MARK7;;;;;;;;;;;;;;52;SIMPRO_VIG;2009-09-29;19;
SIMPRO;2026-04-12;material;0000052940;12;;PROTEC - SUSPENSA;NEBULIZADOR 500ML P/TENDA OXIGENIO;;;;;;;;;;;;;;20.9;SIMPRO_VIG;2009-09-29;19;
SIMPRO;2026-04-12;material;0000052942;12;;PROTEC - SUSPENSA;NEBULIZADOR 500ML P/UTI 04282;;;;;;;;;;;;;;35.75;SIMPRO_VIG;2009-09-29;19;
SIMPRO;2026-04-12;material;0000176889;12;;JG MORIYA;NEBULIZADOR ADU.;;;;;;;;;;;;;;72.1;SIMPRO_VIG;2014-10-28;19;
SIMPRO;2026-04-12;material;0000343852;12;;AEROGEN;NEBULIZADOR AEROGEN SOLO;;;;;;;;;;;;;;2189;SIMPRO_VIG;2026-02-04;19;
SIMPRO;2026-04-12;material;0000339209;12;;VYAIRE MEDICAL;NEBULIZADOR AIRLIFE BRAND MISTY MAX 10 30300123A;;;;;;;;;;;;;;40;SIMPRO_VIG;2023-04-14;19;
SIMPRO;2026-04-12;material;0000110407;12;;JG MORIYA;NEBULIZADOR AQUECIDO 600026;;;;;;;;;;;;;;0;SIMPRO_VIG;2010-01-12;19;
SIMPRO;2026-04-12;material;0000043021;12;;JG MORIYA;NEBULIZADOR C/MASCARA ADU.O2 600032;;;;;;;;;;;;;;0;SIMPRO_VIG;2010-01-12;19;
SIMPRO;2026-04-12;material;0000043022;12;;JG MORIYA;NEBULIZADOR C/MASCARA INF.AR 600023;;;;;;;;;;;;;;0;SIMPRO_VIG;2010-01-12;19;
SIMPRO;2026-04-12;material;0000043023;12;;JG MORIYA;NEBULIZADOR C/MASCARA INF.O2 600034;;;;;;;;;;;;;;0;SIMPRO_VIG;2010-01-12;19;
SIMPRO;2026-04-12;material;0000043024;12;;JG MORIYA;NEBULIZADOR C/MASCARA P/ADU.AR 600022;;;;;;;;;;;;;;0;SIMPRO_VIG;2010-01-12;19;
SIMPRO;2026-04-12;material;0000349575;12;;INTERSURGICAL;NEBULIZADOR CIRRUS 2;;;;;;;;;;;;;;210;SIMPRO_VIG;2023-12-27;19;
SIMPRO;2026-04-12;material;0000349583;12;;INTERSURGICAL;NEBULIZADOR CIRRUS 2 ADU.C/MASCARA TRAQUEOSTOMIA INTERSURGICAL ECOLITE/FLEXTUBE/TUBO 1,8MT;;;;;;;;;;;;;;210;SIMPRO_VIG;2023-12-27;19;
SIMPRO;2026-04-12;material;0000349577;12;;INTERSURGICAL;NEBULIZADOR CIRRUS 2 C/BOCAL/TUBO 1,8MT;;;;;;;;;;;;;;210;SIMPRO_VIG;2023-12-27;19;
SIMPRO;2026-04-12;material;0000349576;12;;INTERSURGICAL;NEBULIZADOR CIRRUS 2 C/BOCAL/TUBO 2,1MT;;;;;;;;;;;;;;210;SIMPRO_VIG;2023-12-27;19;
SIMPRO;2026-04-12;material;0000369755;12;;INTERSURGICAL;NEBULIZADOR CIRRUS 2 C/BOCAL/TUBO 2,1MT CONECTOR UNIVERSAL P/FLUXOMETRO;;;;;;;;;;;;;;186;SIMPRO_VIG;2026-02-06;19;
SIMPRO;2026-04-12;material;0000349579;12;;INTERSURGICAL;NEBULIZADOR CIRRUS 2 C/CONECTOR T 15MM/TUBO 1,8MT;;;;;;;;;;;;;;210;SIMPRO_VIG;2023-12-27;19;
SIMPRO;2026-04-12;material;0000349581;12;;INTERSURGICAL;NEBULIZADOR CIRRUS 2 C/CONECTOR T 22M-22F/TUBO 1,8MT;;;;;;;;;;;;;;210;SIMPRO_VIG;2023-12-27;19;
