fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
SIMPRO;2026-04-12;material;0000125371;12;;STRYKER NEURO;O-RING AMARELO 15MM 51502620;;;;;;;;;;;;;;126.99;SIMPRO_VIG;2010-01-22;19;
SIMPRO;2026-04-12;material;0000125400;12;;STRYKER NEURO;O-RING AZUL 20MM 51507615;;;;;;;;;;;;;;111.35;SIMPRO_VIG;2010-01-22;19;
SIMPRO;2026-04-12;material;0000125395;12;;STRYKER NEURO;O-RING CARBONO TUBO VERMELHO 25MM 51507165;;;;;;;;;;;;;;876.44;SIMPRO_VIG;2010-01-22;19;
SIMPRO;2026-04-12;material;0000125337;12;;STRYKER NEURO;O-RING SIST.P/POSTAL HOFFMANN II 49402150;;;;;;;;;;;;;;60.63;SIMPRO_VIG;2010-01-22;19;
SIMPRO;2026-04-12;material;0000125402;12;;STRYKER NEURO;O-RING VERMELHO 25MM 51507625;;;;;;;;;;;;;;106.05;SIMPRO_VIG;2010-01-22;19;
SIMPRO;2026-04-12;material;0000154494;12;;B.BRAUN;OBTURADOR 10/110MM;;;;;;;;;;;;;;373.16;SIMPRO_VIG;2020-08-25;19;
SIMPRO;2026-04-12;material;0000154495;12;;B.BRAUN;OBTURADOR 10/150MM;;;;;;;;;;;;;;316.69;SIMPRO_VIG;2020-08-25;19;
SIMPRO;2026-04-12;material;0000154499;12;;B.BRAUN;OBTURADOR 12/110MM;;;;;;;;;;;;;;316.69;SIMPRO_VIG;2020-08-25;19;
SIMPRO;2026-04-12;material;0000154500;12;;B.BRAUN;OBTURADOR 12/150MM;;;;;;;;;;;;;;316.69;SIMPRO_VIG;2020-08-25;19;
SIMPRO;2026-04-12;material;0000261003;12;;CONMED;OBTURADOR C/LAMINA CORT.P/CANULA TROCATER DETACHAPORT 05X100MM 1REDUTOR 05MM EST.;;;;;;;;;;;;;;498;SIMPRO_VIG;2015-09-15;19;
SIMPRO;2026-04-12;material;0000261005;12;;CONMED;OBTURADOR C/LAMINA CORT.P/CANULA TROCATER DETACHAPORT 10X100MM 1REDUTOR 10/12MM EST.;;;;;;;;;;;;;;498;SIMPRO_VIG;2015-09-15;19;
SIMPRO;2026-04-12;material;0000261007;12;;CONMED;OBTURADOR C/LAMINA CORT.P/CANULA TROCATER DETACHAPORT 12X100MM 1REDUTOR 10/12MM EST.;;;;;;;;;;;;;;498;SIMPRO_VIG;2015-09-15;19;
SIMPRO;2026-04-12;material;0000261012;12;;CONMED;OBTURADOR C/LAMINA CORT.P/CANULA TROCATER DETACHAPORT 12X100MM 3REDUTORES 10/12MM EST.;;;;;;;;;;;;;;575;SIMPRO_VIG;2015-09-15;19;
