fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
SIMPRO;2026-04-12;material;0000288364;12;;NIHON KOHDEN;PA DESC.(ELETRODO)P/MARCAPASSO E-DEA ADU./PED.;;;;;;;;;;;;;;550;SIMPRO_VIG;2022-10-19;19;
SIMPRO;2026-04-12;material;0000288365;12;;NIHON KOHDEN;PA DESC.(ELETRODO)P/MARCAPASSO E-DEA INF.<10KG;;;;;;;;;;;;;;550;SIMPRO_VIG;2022-10-19;19;
SIMPRO;2026-04-12;material;0000288436;12;;NIHON KOHDEN;PA DESC.ADU./PED.P/DESFIBRILADOR SERIE TEC-5600;;;;;;;;;;;;;;550;SIMPRO_VIG;2022-10-19;19;
SIMPRO;2026-04-12;material;0000350164;12;;ADAPT;PACK VITRECTOMIA TDC EVA 23G CIRUR.COMBINADA NEXUS;;;;;;;;;;;;;;9034.8;SIMPRO_VIG;2024-02-15;19;
SIMPRO;2026-04-12;material;0000350165;12;;ADAPT;PACK VITRECTOMIA TDC EVA 25G CIRUR.COMBINADA NEXUS;;;;;;;;;;;;;;9034.8;SIMPRO_VIG;2024-02-15;19;
SIMPRO;2026-04-12;material;0000350166;12;;ADAPT;PACK VITRECTOMIA TDC EVA 27G CIRUR.COMBINADA NEXUS;;;;;;;;;;;;;;9477.6;SIMPRO_VIG;2024-02-15;19;
SIMPRO;2026-04-12;material;0000334555;12;;AAMED;PACOTE AMOSTRAGEM GAS C05096-01-11;;;;;;;;;;;;;;916.99;SIMPRO_VIG;2022-08-26;19;
SIMPRO;2026-04-12;material;0000240432;12;;HEALTH QUALITY;PACOTE CIRURGICO UNIVERSAL;;;;;;;;;;;;;;108.15;SIMPRO_VIG;2013-10-02;19;
SIMPRO;2026-04-12;material;0000356119;12;;PION G;PACOTE CIRURGICO UNIVERSAL V EST.;;;;;;;;;;;;;;542.72;SIMPRO_VIG;2025-02-18;19;
SIMPRO;2026-04-12;material;0000270157;12;;ADAPT;PACOTE P/PROCEDIMENTO CORNEA PI SOLIDA;;;;;;;;;;;;;;16000;SIMPRO_VIG;2018-01-30;19;
SIMPRO;2026-04-12;material;0000270158;12;;ADAPT;PACOTE P/PROCEDIMENTO CORNEA PI SOLIDA;;;;;;;;;;;;;;16000;SIMPRO_VIG;2018-01-30;19;
SIMPRO;2026-04-12;material;0000245295;12;;ADAPT;PACOTE PROCEDIMENTO ACS-Z ANEL SUCCAO 10MM MULTIPROFUNDIDADE CORTE;;;;;;;;;;;;;;8000;SIMPRO_VIG;2018-01-30;19;
