fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
SIMPRO;2026-04-12;material;0000046401;12;;STERIFARMA;QUADRADO ALGODAO GRD.ESTERIL;;;;;;;;;;;;;;5.9;SIMPRO_VIG;2010-11-05;19;
SIMPRO;2026-04-12;material;0000040782;12;;STERIFARMA;QUADRADO ALGODAO PEQ.ESTERIL;;;;;;;;;;;;;;5.9;SIMPRO_VIG;2010-11-05;19;
SIMPRO;2026-04-12;material;0000027580;12;;STA.LUZIA;QUADRO BALCANICO CROMADO;;;;;;;;;;;;;;1526.7;SIMPRO_VIG;2011-07-10;19;
SIMPRO;2026-04-12;material;0000113710;12;;CIRURGICA FERNANDES;QUADRO P/AFASTADOR O'SULLIVAN-O'CONNOR PROFESSIONAL;;;;;;;;;;;;;;2723.8;SIMPRO_VIG;2015-09-10;19;
SIMPRO;2026-04-12;material;0000244930;12;;GETINGE;QUADROX-I ADU.C/RESERVATORIO VHK;;;;;;;;;;;;;;5037.25;SIMPRO_VIG;2014-04-23;19;
SIMPRO;2026-04-12;material;0000144087;12;;GETINGE;QUADROX-I ADU.C/RESERVATORIO VHK/FILTRO ARTERIAL;;;;;;;;;;;;;;5037.25;SIMPRO_VIG;2010-02-09;19;
SIMPRO;2026-04-12;material;0000244931;12;;GETINGE;QUADROX-I PEQ.ADU.C/RESERVATORIO VHK;;;;;;;;;;;;;;5037.25;SIMPRO_VIG;2014-04-23;19;
SIMPRO;2026-04-12;material;0000244932;12;;GETINGE;QUADROX-I PEQ.ADU.C/RESERVATORIO VHK/FILTRO ARTERIAL VKMO 51000;;;;;;;;;;;;;;5500;SIMPRO_VIG;2019-10-22;19;
SIMPRO;2026-04-12;material;0000100485;12;;CENTERLAB;QUALITROL 1H (201-1) 5ML LABTEST 188;;;;;;;;;;;;;;8.182;SIMPRO_VIG;2006-04-19;19;
SIMPRO;2026-04-12;material;0000100486;12;;CENTERLAB;QUALITROL 2H (202-1) 5ML LABTEST 189;;;;;;;;;;;;;;8.182;SIMPRO_VIG;2006-04-19;19;
SIMPRO;2026-04-12;material;0000303954;12;;KAYOAH;QUERATOFIN 60G;;;;;;;;;;;;;;106.94;SIMPRO_VIG;2023-01-04;19;
SIMPRO;2026-04-12;material;0000290051;12;;ONEWAY DIAGNOSTICA;QUICKPROFILE CHIKUNGUNYA IGG/IGM COMBO TEST CARD KIT C/25TESTES/25PIPETAS 5MCL+01FR.SOL.TAMPAO;;;;;;;;;;;;;;3000;SIMPRO_VIG;2017-09-05;19;
SIMPRO;2026-04-12;material;0000290052;12;;ONEWAY DIAGNOSTICA;QUICKPROFILE ZIKA VIRUS IGG/IGM COMBO TEST CARD KIT C/25TESTES/25PIPETAS 5MCL+01FR.SOL.TAMPAO;;;;;;;;;;;;;;3500;SIMPRO_VIG;2017-09-05;19;
SIMPRO;2026-04-12;material;0000081269;12;;STRYKER NEURO;QUIK FLAP;;;;;;;;;;;;;;2420;SIMPRO_VIG;2010-01-22;19;
SIMPRO;2026-04-12;material;0003968185;12;;PETROVICH;QUISTITONO NR.01;;;;;;;;;;;;;;94;SIMPRO_VIG;2013-05-07;19;
SIMPRO;2026-04-12;material;0003968186;12;;PETROVICH;QUISTITONO NR.02;;;;;;;;;;;;;;94;SIMPRO_VIG;2013-05-07;19;
