fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
SIMPRO;2026-04-12;material;0000089991;12;;CMS;R-STENT EVOLUTION 2 2,50X09MM ORBUS;;;;;;;;;;;;;;7500;SIMPRO_VIG;2004-09-27;19;
SIMPRO;2026-04-12;material;0000089992;12;;CMS;R-STENT EVOLUTION 2 2,50X13MM ORBUS;;;;;;;;;;;;;;7500;SIMPRO_VIG;2004-09-27;19;
SIMPRO;2026-04-12;material;0000089993;12;;CMS;R-STENT EVOLUTION 2 2,50X15MM ORBUS;;;;;;;;;;;;;;7500;SIMPRO_VIG;2004-09-27;19;
SIMPRO;2026-04-12;material;0000089994;12;;CMS;R-STENT EVOLUTION 2 2,50X18MM ORBUS;;;;;;;;;;;;;;7500;SIMPRO_VIG;2004-09-27;19;
SIMPRO;2026-04-12;material;0000089995;12;;CMS;R-STENT EVOLUTION 2 2,50X23MM ORBUS;;;;;;;;;;;;;;7500;SIMPRO_VIG;2004-09-27;19;
SIMPRO;2026-04-12;material;0000089996;12;;CMS;R-STENT EVOLUTION 2 2,75X09MM ORBUS;;;;;;;;;;;;;;7500;SIMPRO_VIG;2004-09-27;19;
SIMPRO;2026-04-12;material;0000089997;12;;CMS;R-STENT EVOLUTION 2 2,75X13MM ORBUS;;;;;;;;;;;;;;7500;SIMPRO_VIG;2004-09-27;19;
SIMPRO;2026-04-12;material;0000089998;12;;CMS;R-STENT EVOLUTION 2 2,75X15MM ORBUS;;;;;;;;;;;;;;7500;SIMPRO_VIG;2004-09-27;19;
SIMPRO;2026-04-12;material;0000089999;12;;CMS;R-STENT EVOLUTION 2 2,75X18MM ORBUS;;;;;;;;;;;;;;7500;SIMPRO_VIG;2004-09-27;19;
SIMPRO;2026-04-12;material;0000090000;12;;CMS;R-STENT EVOLUTION 2 2,75X23MM ORBUS;;;;;;;;;;;;;;7500;SIMPRO_VIG;2004-09-27;19;
