fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
SIMPRO;2026-04-12;material;0000104693;12;;J&J CONSUMER;SABONETE ANTI-CRAVO 80GRS BILINGUE 69229;;;;;;;;;;;;;;3.89;SIMPRO_VIG;2007-02-01;19;
SIMPRO;2026-04-12;material;0000365847;12;;BYILD;SABONETE ANTISSEPTICO CLEANTIV 150ML BYILDCARE;;;;;;;;;;;;;;79.9;SIMPRO_VIG;2025-11-04;19;
SIMPRO;2026-04-12;material;0000172381;12;;WALKMED;SABONETE ANTISSEPTICO GIGASEPT C/PHMB FR 1000ML;;;;;;;;;;;;;;0.174;SIMPRO_VIG;2012-11-08;19;
SIMPRO;2026-04-12;material;0000172380;12;;WALKMED;SABONETE ANTISSEPTICO GIGASEPT C/PHMB FR PUMP 100ML;;;;;;;;;;;;;;70;SIMPRO_VIG;2012-11-08;19;
SIMPRO;2026-04-12;material;0000292500;12;;NATURELLE;SABONETE ANTISSEPTICO NOBAC 25ML;;;;;;;;;;;;;;0.312;SIMPRO_VIG;2017-11-08;19;
SIMPRO;2026-04-12;material;0000292501;12;;NATURELLE;SABONETE ANTISSEPTICO NOBAC 5LTS;;;;;;;;;;;;;;53.46;SIMPRO_VIG;2017-11-08;19;
SIMPRO;2026-04-12;material;0000292498;12;;NATURELLE;SABONETE ANTISSEPTICO NOBAC C/APLICADOR 500ML;;;;;;;;;;;;;;0.095;SIMPRO_VIG;2017-11-08;19;
SIMPRO;2026-04-12;material;0000292499;12;;NATURELLE;SABONETE ANTISSEPTICO NOBAC REFIL 500ML;;;;;;;;;;;;;;0.09;SIMPRO_VIG;2017-11-08;19;
SIMPRO;2026-04-12;material;0000320613;12;;GAMAN PHARMA;SABONETE ANTISSEPTICO PHMB 1000ML BIGUASOAP;;;;;;;;;;;;;;0.322;SIMPRO_VIG;2024-05-14;19;
SIMPRO;2026-04-12;material;0000320610;12;;GAMAN PHARMA;SABONETE ANTISSEPTICO PHMB 100ML BIGUASOAP;;;;;;;;;;;;;;0.865;SIMPRO_VIG;2024-05-14;19;
SIMPRO;2026-04-12;material;0000320611;12;;GAMAN PHARMA;SABONETE ANTISSEPTICO PHMB 250ML BIGUASOAP;;;;;;;;;;;;;;0.544;SIMPRO_VIG;2024-05-14;19;
SIMPRO;2026-04-12;material;0000320612;12;;GAMAN PHARMA;SABONETE ANTISSEPTICO PHMB 500ML BIGUASOAP;;;;;;;;;;;;;;0.43;SIMPRO_VIG;2024-05-14;19;
SIMPRO;2026-04-12;material;0000322751;12;;DBS;SABONETE ANTISSEPTICO PIELSANA C/PHMB 100ML;;;;;;;;;;;;;;55.9;SIMPRO_VIG;2022-03-09;19;
SIMPRO;2026-04-12;material;0003945126;12;;J&J CONSUMER;SABONETE BABY 80GRS 3290;;;;;;;;;;;;;;1.33;SIMPRO_VIG;2007-02-01;19;
SIMPRO;2026-04-12;material;0003945077;12;;J&J CONSUMER;SABONETE BABY C/OLEO AMENDOA 80GRS 1486;;;;;;;;;;;;;;1.33;SIMPRO_VIG;2007-02-01;19;
SIMPRO;2026-04-12;material;0003945179;12;;J&J CONSUMER;SABONETE BABY FORM.HID.80GRS 3294;;;;;;;;;;;;;;1.33;SIMPRO_VIG;2007-02-01;19;
SIMPRO;2026-04-12;material;0000077641;12;;J&J CONSUMER;SABONETE BABY GLICERINA C/MEL VIT.E 80GRS 3597;;;;;;;;;;;;;;1.33;SIMPRO_VIG;2007-02-01;19;
SIMPRO;2026-04-12;material;0003945266;12;;J&J CONSUMER;SABONETE BABY GLICERINA HEAD TO TOE 200ML 50291;;;;;;;;;;;;;;6.88;SIMPRO_VIG;2006-05-02;19;
SIMPRO;2026-04-12;material;0000104705;12;;J&J CONSUMER;SABONETE BABY LIQ.H.SONO NAC.200ML 50349;;;;;;;;;;;;;;6.88;SIMPRO_VIG;2006-05-02;19;
SIMPRO;2026-04-12;material;0000090728;12;;J&J CONSUMER;SABONETE BABY MILK 200ML 50354;;;;;;;;;;;;;;6.88;SIMPRO_VIG;2006-08-01;19;
SIMPRO;2026-04-12;material;0000099408;12;;J&J CONSUMER;SABONETE BABY MILK 80GRS 9973;;;;;;;;;;;;;;1.33;SIMPRO_VIG;2007-02-01;19;
SIMPRO;2026-04-12;material;0000326226;12;;ALERGOSHOP;SABONETE BARRA ALOE E VERA HIPOALERGENICO;;;;;;;;;;;;;;17;SIMPRO_VIG;2021-09-28;19;
SIMPRO;2026-04-12;material;0000282682;12;;COSMODERMA;SABONETE C/TRICLOSAN 0,5% HIGIMAX 0100ML;;;;;;;;;;;;;;9;SIMPRO_VIG;2023-12-12;19;
SIMPRO;2026-04-12;material;0000282681;12;;COSMODERMA;SABONETE C/TRICLOSAN 0,5% HIGIMAX 0800ML;;;;;;;;;;;;;;40.4;SIMPRO_VIG;2023-12-12;19;
SIMPRO;2026-04-12;material;0000282680;12;;COSMODERMA;SABONETE C/TRICLOSAN 0,5% HIGIMAX 1000ML;;;;;;;;;;;;;;44.8;SIMPRO_VIG;2023-12-12;19;
SIMPRO;2026-04-12;material;0000282679;12;;COSMODERMA;SABONETE C/TRICLOSAN 0,5% HIGIMAX 5000ML;;;;;;;;;;;;;;132.4;SIMPRO_VIG;2023-12-12;19;
SIMPRO;2026-04-12;material;0005245061;12;;NATIVE;SABONETE CALENDULA 85GRS;;;;;;;;;;;;;;0.024;SIMPRO_VIG;2010-08-03;19;
SIMPRO;2026-04-12;material;0000360137;12;;LABORATORIO SIMOES;SABONETE CALENDULA 90G;;;;;;;;;;;;;;9.53;SIMPRO_VIG;2025-04-09;19;
SIMPRO;2026-04-12;material;0005245062;12;;NATIVE;SABONETE CAMOMILA 85GRS;;;;;;;;;;;;;;0.024;SIMPRO_VIG;2010-08-03;19;
SIMPRO;2026-04-12;material;0005245063;12;;NATIVE;SABONETE CENTELLA 85GRS;;;;;;;;;;;;;;0.024;SIMPRO_VIG;2010-08-03;19;
SIMPRO;2026-04-12;material;0000282674;12;;COSMODERMA;SABONETE CREMOSO HIGIMAX 0100ML;;;;;;;;;;;;;;9.6;SIMPRO_VIG;2023-12-12;19;
