fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
SIMPRO;2026-04-12;material;0000079284;12;;JG MORIYA;T AIRES - ADAPTADOR RETO 15MX15F RETO C/SAIDA LATERAL 920220;;;;;;;;;;;;;;0;SIMPRO_VIG;2010-01-12;19;
SIMPRO;2026-04-12;material;0000095499;12;;CARCI;TABLADO BASE MADEIRA 1,40X1,90X0,50MT;;;;;;;;;;;;;;850;SIMPRO_VIG;2009-11-13;19;
SIMPRO;2026-04-12;material;0000052240;12;;CARCI;TABLADO BASE MADEIRA 1,50X1,80X0,50MT;;;;;;;;;;;;;;896;SIMPRO_VIG;2009-11-13;19;
SIMPRO;2026-04-12;material;0000052239;12;;CARCI;TABLADO BASE MADEIRA 1,60X2,00X0,50MT;;;;;;;;;;;;;;996;SIMPRO_VIG;2009-11-13;19;
SIMPRO;2026-04-12;material;0000062540;12;;CARCI;TABUA TRANSFERENCIA 60X25X2CM;;;;;;;;;;;;;;70;SIMPRO_VIG;2009-11-13;19;
SIMPRO;2026-04-12;material;0000272302;12;;CHANTAL;TALA ABS P/PUNHO/MAO/DEDOS DIR.TAM.UNICO;;;;;;;;;;;;;;110.93;SIMPRO_VIG;2016-06-14;19;
SIMPRO;2026-04-12;material;0000272303;12;;CHANTAL;TALA ABS P/PUNHO/POLEGAR DIR.TAM.UNICO;;;;;;;;;;;;;;110.3;SIMPRO_VIG;2016-06-14;19;
SIMPRO;2026-04-12;material;0000272304;12;;CHANTAL;TALA ABS P/PUNHO/POLEGAR ESQ.TAM.UNICO;;;;;;;;;;;;;;110.3;SIMPRO_VIG;2016-06-14;19;
SIMPRO;2026-04-12;material;0000271260;12;;ESSITY SOLUCOES;TALA ACTIMOVE MANUS FORT PUNHO ESQ.TAM.XP;;;;;;;;;;;;;;284.63;SIMPRO_VIG;2016-05-10;19;
SIMPRO;2026-04-12;material;0000268888;12;;ESSITY SOLUCOES;TALA ACTIMOVE MANUS FORTE PUNHO DIR.TAM.G/XG;;;;;;;;;;;;;;254.63;SIMPRO_VIG;2016-05-10;19;
SIMPRO;2026-04-12;material;0000268887;12;;ESSITY SOLUCOES;TALA ACTIMOVE MANUS FORTE PUNHO DIR.TAM.P/M;;;;;;;;;;;;;;254.63;SIMPRO_VIG;2016-05-10;19;
SIMPRO;2026-04-12;material;0000268882;12;;ESSITY SOLUCOES;TALA ACTIMOVE MANUS FORTE PUNHO DIR.TAM.XP;;;;;;;;;;;;;;254.63;SIMPRO_VIG;2016-05-10;19;
SIMPRO;2026-04-12;material;0000268891;12;;ESSITY SOLUCOES;TALA ACTIMOVE MANUS FORTE PUNHO ESQ.TAM.G/XG;;;;;;;;;;;;;;254.63;SIMPRO_VIG;2016-05-10;19;
SIMPRO;2026-04-12;material;0000268889;12;;ESSITY SOLUCOES;TALA ACTIMOVE MANUS FORTE PUNHO ESQ.TAM.P/M;;;;;;;;;;;;;;254.63;SIMPRO_VIG;2016-05-10;19;
SIMPRO;2026-04-12;material;0000066491;12;;DILEPE;TALA AMPLA C/TECIDO P/PUNHO;;;;;;;;;;;;;;39.8;SIMPRO_VIG;2009-10-22;19;
SIMPRO;2026-04-12;material;0000050690;12;;DILEPE;TALA AMPLA C/TECIDO P/PUNHO GRD.DL590;;;;;;;;;;;;;;0;SIMPRO_VIG;2009-09-11;19;
SIMPRO;2026-04-12;material;0000050689;12;;DILEPE;TALA AMPLA C/TECIDO P/PUNHO MED.DL590;;;;;;;;;;;;;;0;SIMPRO_VIG;2009-09-11;19;
SIMPRO;2026-04-12;material;0000050688;12;;DILEPE;TALA AMPLA C/TECIDO P/PUNHO PEQ.DL590;;;;;;;;;;;;;;0;SIMPRO_VIG;2009-09-11;19;
SIMPRO;2026-04-12;material;0000049032;12;;ORTOCENTER;TALA ARAFLEX 102X12CM C/E.V.A AMARELA GG;;;;;;;;;;;;;;29.1;SIMPRO_VIG;2008-07-31;19;
SIMPRO;2026-04-12;material;0000049038;12;;ORTOCENTER;TALA ARAFLEX 102X12CM C/ESPUMA GG;;;;;;;;;;;;;;29.1;SIMPRO_VIG;2008-07-31;19;
SIMPRO;2026-04-12;material;0000049044;12;;ORTOCENTER;TALA ARAFLEX 102X12CM C/ESPUMA/E.V.A GG;;;;;;;;;;;;;;33.85;SIMPRO_VIG;2008-07-31;19;
SIMPRO;2026-04-12;material;0000049033;12;;ORTOCENTER;TALA ARAFLEX 120X12CM C/E.V.A AMARELA EXTRA GG;;;;;;;;;;;;;;34.1;SIMPRO_VIG;2008-07-31;19;
SIMPRO;2026-04-12;material;0000049039;12;;ORTOCENTER;TALA ARAFLEX 120X12CM C/ESPUMA EXTRA GG;;;;;;;;;;;;;;34.1;SIMPRO_VIG;2008-07-31;19;
SIMPRO;2026-04-12;material;0000049045;12;;ORTOCENTER;TALA ARAFLEX 120X12CM C/ESPUMA/E.V.A EXTRA GG;;;;;;;;;;;;;;42;SIMPRO_VIG;2008-07-31;19;
SIMPRO;2026-04-12;material;0000049028;12;;ORTOCENTER;TALA ARAFLEX 30X8CM C/E.V.A LILAS PP;;;;;;;;;;;;;;9.53;SIMPRO_VIG;2008-07-31;19;
SIMPRO;2026-04-12;material;0000049034;12;;ORTOCENTER;TALA ARAFLEX 30X8CM C/ESPUMA PP;;;;;;;;;;;;;;9.53;SIMPRO_VIG;2008-07-31;19;
SIMPRO;2026-04-12;material;0000049040;12;;ORTOCENTER;TALA ARAFLEX 30X8CM C/ESPUMA/E.V.A PP;;;;;;;;;;;;;;11.9;SIMPRO_VIG;2008-07-31;19;
SIMPRO;2026-04-12;material;0000049029;12;;ORTOCENTER;TALA ARAFLEX 53X8CM C/E.V.A AZUL ROYAL PEQ.;;;;;;;;;;;;;;14.5;SIMPRO_VIG;2008-07-31;19;
SIMPRO;2026-04-12;material;0000049035;12;;ORTOCENTER;TALA ARAFLEX 53X8CM C/ESPUMA PEQ.;;;;;;;;;;;;;;14.5;SIMPRO_VIG;2008-07-31;19;
SIMPRO;2026-04-12;material;0000049041;12;;ORTOCENTER;TALA ARAFLEX 53X8CM C/ESPUMA/E.V.A PEQ.;;;;;;;;;;;;;;17.85;SIMPRO_VIG;2008-07-31;19;
SIMPRO;2026-04-12;material;0000049030;12;;ORTOCENTER;TALA ARAFLEX 63X9CM C/E.V.A LARANJA MED.;;;;;;;;;;;;;;17.5;SIMPRO_VIG;2008-07-31;19;
SIMPRO;2026-04-12;material;0000049036;12;;ORTOCENTER;TALA ARAFLEX 63X9CM C/ESPUMA MED.;;;;;;;;;;;;;;17.5;SIMPRO_VIG;2008-07-31;19;
SIMPRO;2026-04-12;material;0000049042;12;;ORTOCENTER;TALA ARAFLEX 63X9CM C/ESPUMA/E.V.A MED.;;;;;;;;;;;;;;21.95;SIMPRO_VIG;2008-07-31;19;
SIMPRO;2026-04-12;material;0000049031;12;;ORTOCENTER;TALA ARAFLEX 86X10CM C/E.V.A VERDE GRD.;;;;;;;;;;;;;;24.1;SIMPRO_VIG;2008-07-31;19;
SIMPRO;2026-04-12;material;0000049037;12;;ORTOCENTER;TALA ARAFLEX 86X10CM C/ESPUMA GRD.;;;;;;;;;;;;;;24.1;SIMPRO_VIG;2008-07-31;19;
SIMPRO;2026-04-12;material;0000049043;12;;ORTOCENTER;TALA ARAFLEX 86X10CM C/ESPUMA/E.V.A GRD.;;;;;;;;;;;;;;28.7;SIMPRO_VIG;2008-07-31;19;
SIMPRO;2026-04-12;material;0000130999;12;;ORTOCENTER;TALA ARAFLEX ARAMADA 102X12CM REVESTIDA C/E.V.A FECH.VELCRO AMARELA GG;;;;;;;;;;;;;;35;SIMPRO_VIG;2008-07-31;19;
SIMPRO;2026-04-12;material;0000131000;12;;ORTOCENTER;TALA ARAFLEX ARAMADA 120X12CM REVESTIDA C/E.V.A FECH.VELCRO AMARELA EXTRA GRD.;;;;;;;;;;;;;;43;SIMPRO_VIG;2008-07-31;19;
SIMPRO;2026-04-12;material;0000130995;12;;ORTOCENTER;TALA ARAFLEX ARAMADA 30X8CM REVESTIDA C/E.V.A FECH.VELCRO LILAS PP;;;;;;;;;;;;;;11.5;SIMPRO_VIG;2008-07-31;19;
SIMPRO;2026-04-12;material;0000130996;12;;ORTOCENTER;TALA ARAFLEX ARAMADA 53X8CM REVESTIDA C/E.V.A FECH.VELCRO AZUL ROYAL PEQ.;;;;;;;;;;;;;;15.4;SIMPRO_VIG;2008-07-31;19;
SIMPRO;2026-04-12;material;0000130997;12;;ORTOCENTER;TALA ARAFLEX ARAMADA 63X9CM REVESTIDA C/E.V.A FECH.VELCRO LARANJA MED.;;;;;;;;;;;;;;18.95;SIMPRO_VIG;2008-07-31;19;
