fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
SIMPRO;2026-04-12;material;0000270322;12;;ACELITY;V.A.C SIMPLACE EX KIT MEDIO(ESPONJA/PELICULA/COLETOR);;;;;;;;;;;;;;1564.92;SIMPRO_VIG;2016-05-10;19;
SIMPRO;2026-04-12;material;0000270323;12;;ACELITY;V.A.C SIMPLACE EX KIT PEQUENO(ESPONJA/PELICULA/COLETOR);;;;;;;;;;;;;;1273.43;SIMPRO_VIG;2016-05-10;19;
SIMPRO;2026-04-12;material;0000266351;12;;3M BRASIL;V.A.C.CONECTOR VERAT.R.A.C. DUO;;;;;;;;;;;;;;722.73;SIMPRO_VIG;2023-05-18;19;
SIMPRO;2026-04-12;material;0000108913;12;;ACELITY;V.A.C.GRANUFOAM KIT CURATIVO ABDOMINAL(ESPONJA/PELICULA/COLETOR);;;;;;;;;;;;;;5171.04;SIMPRO_VIG;2011-01-17;19;
SIMPRO;2026-04-12;material;0000163809;12;;3M BRASIL;V.A.C.GRANUFOAM KIT CURATIVO BRIDGE PONTE(ESPONJA/PELICULA/COLETOR);;;;;;;;;;;;;;2360.02;SIMPRO_VIG;2023-05-18;19;
SIMPRO;2026-04-12;material;0000108906;12;;3M BRASIL;V.A.C.GRANUFOAM KIT CURATIVO GRD.(ESPONJA/PELICULA/COLETOR);;;;;;;;;;;;;;2419.64;SIMPRO_VIG;2023-05-18;19;
SIMPRO;2026-04-12;material;0000108905;12;;3M BRASIL;V.A.C.GRANUFOAM KIT CURATIVO MED.(ESPONJA/PELICULA/COLETOR);;;;;;;;;;;;;;2148.32;SIMPRO_VIG;2023-05-18;19;
SIMPRO;2026-04-12;material;0000108908;12;;3M BRASIL;V.A.C.GRANUFOAM KIT CURATIVO XG.(ESPONJA/PELICULA/COLETOR);;;;;;;;;;;;;;8070.23;SIMPRO_VIG;2023-05-18;19;
SIMPRO;2026-04-12;material;0000108904;12;;3M BRASIL;V.A.C.GRANUFOAM KIY CURATIVO PEQ.(ESPONJA/PELICULA/COLETOR);;;;;;;;;;;;;;1748.16;SIMPRO_VIG;2023-05-18;19;
SIMPRO;2026-04-12;material;0000108923;12;;3M BRASIL;V.A.C.GRANUFOAM SILVER CURATIVO GRD.(ESPONJA/PELICULA/COLETOR);;;;;;;;;;;;;;3145.54;SIMPRO_VIG;2023-05-18;19;
SIMPRO;2026-04-12;material;0000108921;12;;3M BRASIL;V.A.C.GRANUFOAM SILVER KIT CURATIVO MED.(ESPONJA/PELICULA/COLETOR);;;;;;;;;;;;;;2685.41;SIMPRO_VIG;2023-05-18;19;
