fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
SIMPRO;2026-04-12;material;0000043639;12;;CENTERLAB;WAALER ROSE (SO HEMACIA) - 2,5ML (SORO) WAMA 5800-A;;;;;;;;;;;;;;57.8;SIMPRO_VIG;2006-04-19;19;
SIMPRO;2026-04-12;material;0000043636;12;;CENTERLAB;WAALER ROSE - 1,5ML - (SORO) WAMA 5860-A;;;;;;;;;;;;;;0.963;SIMPRO_VIG;2006-04-19;19;
SIMPRO;2026-04-12;material;0000043638;12;;CENTERLAB;WAALER ROSE - 2,5ML - (SORO) WAMA 58100-A;;;;;;;;;;;;;;0.769;SIMPRO_VIG;2006-04-19;19;
SIMPRO;2026-04-12;material;0000042687;12;;BOSTON END;WALLSTENT COLOM DUODENAL;;;;;;;;;;;;;;11160;SIMPRO_VIG;2008-04-04;19;
SIMPRO;2026-04-12;material;0000118880;12;;DIMAVE;WATER TRAP FEMEA P/ANALISE GASES;;;;;;;;;;;;;;164;SIMPRO_VIG;2011-11-16;19;
SIMPRO;2026-04-12;material;0000162682;12;;DIMAVE;WATER TRAP P/CAPNOGRAFIA FEMEA;;;;;;;;;;;;;;196;SIMPRO_VIG;2011-11-16;19;
SIMPRO;2026-04-12;material;0000162681;12;;DIMAVE;WATER TRAP P/CAPNOGRAFIA MACHO;;;;;;;;;;;;;;196;SIMPRO_VIG;2011-11-16;19;
SIMPRO;2026-04-12;material;0000118855;12;;DIMAVE;WATER TRAP SIDESTREAM;;;;;;;;;;;;;;58.05;SIMPRO_VIG;2007-06-20;19;
SIMPRO;2026-04-12;material;0000254516;12;;ALCON;WAVELIGHT OCULYZER II;;;;;;;;;;;;;;301183.33;SIMPRO_VIG;2015-03-11;19;
SIMPRO;2026-04-12;material;0000142024;12;;STRYKER;WINGSPAN 2,5X09MM;;;;;;;;;;;;;;26000;SIMPRO_VIG;2012-05-21;19;
SIMPRO;2026-04-12;material;0000142025;12;;STRYKER;WINGSPAN 2,5X15MM;;;;;;;;;;;;;;26000;SIMPRO_VIG;2012-05-21;19;
SIMPRO;2026-04-12;material;0000142026;12;;STRYKER;WINGSPAN 2,5X20MM;;;;;;;;;;;;;;26000;SIMPRO_VIG;2012-05-21;19;
SIMPRO;2026-04-12;material;0000142031;12;;STRYKER;WINGSPAN 3,5X15MM;;;;;;;;;;;;;;26000;SIMPRO_VIG;2012-05-21;19;
SIMPRO;2026-04-12;material;0000142033;12;;STRYKER;WINGSPAN 4,0X09MM;;;;;;;;;;;;;;26000;SIMPRO_VIG;2012-05-21;19;
SIMPRO;2026-04-12;material;0000339175;12;;MEDLEVENSOHN;WIPES AQUADIM 30X30CM 50G 50UNID.TEXMED;;;;;;;;;;;;;;1.04;SIMPRO_VIG;2024-12-04;19;
SIMPRO;2026-04-12;material;0000339176;12;;MEDLEVENSOHN;WIPES AQUADIM 30X38CM 50G 50UNID.TEXMED;;;;;;;;;;;;;;1.2;SIMPRO_VIG;2024-12-04;19;
SIMPRO;2026-04-12;material;0000350224;12;;ARGUS CIENTIFICA;WL-29 DIFF LISANTE 4X500ML WIENER;;;;;;;;;;;;;;8710.75;SIMPRO_VIG;2024-02-23;19;
SIMPRO;2026-04-12;material;0000350223;12;;ARGUS CIENTIFICA;WL-29 DILUENTE 20LT WIENER;;;;;;;;;;;;;;1246.87;SIMPRO_VIG;2024-02-23;19;
SIMPRO;2026-04-12;material;0000350225;12;;ARGUS CIENTIFICA;WL-29 LH LISANTE 4X100ML WIENER;;;;;;;;;;;;;;5991.73;SIMPRO_VIG;2024-02-23;19;
