fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
SIMPRO;2026-04-12;material;332591;12;;CORDIS;"""AGULHA ANGIOGRAFICA PECA UNICA 0,038""""18GAX70MM""";;;;;;;;;;;;;;187.05;SIMPRO_VIG;2022-06-10;19;
SIMPRO;2026-04-12;material;163159;12;;CORDIS;"""AGULHA PUNCAO 0,021"""" 21GAX3,8MM""";;;;;;;;;;;;;;187.05;SIMPRO_VIG;2021-09-16;19;
SIMPRO;2026-04-12;material;163161;12;;CORDIS;"""AGULHA PUNCAO 0,032"""" 19GAX3,8MM""";;;;;;;;;;;;;;187.05;SIMPRO_VIG;2021-09-16;19;
SIMPRO;2026-04-12;material;131391;12;;CORDIS;"""AGULHA PUNCAO 0,038"""" 18GAX7,0MM""";;;;;;;;;;;;;;187.05;SIMPRO_VIG;2021-09-16;19;
SIMPRO;2026-04-12;material;333135;12;;CORDIS;"""CATETER BALAO SABER 0,35"""" 03MMX02/040CM""";;;;;;;;;;;;;;5852.55;SIMPRO_VIG;2022-06-29;19;
SIMPRO;2026-04-12;material;333179;12;;CORDIS;"""CATETER BALAO SABER 0,35"""" 03MMX02/080CM""";;;;;;;;;;;;;;5852.55;SIMPRO_VIG;2022-06-29;19;
SIMPRO;2026-04-12;material;333242;12;;CORDIS;"""CATETER BALAO SABER 0,35"""" 03MMX02/135CM""";;;;;;;;;;;;;;5852.55;SIMPRO_VIG;2022-06-29;19;
SIMPRO;2026-04-12;material;333136;12;;CORDIS;"""CATETER BALAO SABER 0,35"""" 03MMX04/040CM""";;;;;;;;;;;;;;5852.55;SIMPRO_VIG;2022-06-29;19;
SIMPRO;2026-04-12;material;333180;12;;CORDIS;"""CATETER BALAO SABER 0,35"""" 03MMX04/080CM""";;;;;;;;;;;;;;5852.55;SIMPRO_VIG;2022-06-29;19;
SIMPRO;2026-04-12;material;333243;12;;CORDIS;"""CATETER BALAO SABER 0,35"""" 03MMX04/135CM""";;;;;;;;;;;;;;5852.55;SIMPRO_VIG;2022-06-29;19;
SIMPRO;2026-04-12;material;333137;12;;CORDIS;"""CATETER BALAO SABER 0,35"""" 03MMX06/040CM""";;;;;;;;;;;;;;5852.55;SIMPRO_VIG;2022-06-29;19;
SIMPRO;2026-04-12;material;333181;12;;CORDIS;"""CATETER BALAO SABER 0,35"""" 03MMX06/080CM""";;;;;;;;;;;;;;5852.55;SIMPRO_VIG;2022-06-29;19;
SIMPRO;2026-04-12;material;333244;12;;CORDIS;"""CATETER BALAO SABER 0,35"""" 03MMX06/135CM""";;;;;;;;;;;;;;5852.55;SIMPRO_VIG;2022-06-29;19;
SIMPRO;2026-04-12;material;333138;12;;CORDIS;"""CATETER BALAO SABER 0,35"""" 03MMX08/040CM""";;;;;;;;;;;;;;5852.55;SIMPRO_VIG;2022-06-29;19;
SIMPRO;2026-04-12;material;333182;12;;CORDIS;"""CATETER BALAO SABER 0,35"""" 03MMX08/080CM""";;;;;;;;;;;;;;5852.55;SIMPRO_VIG;2022-06-29;19;
SIMPRO;2026-04-12;material;333245;12;;CORDIS;"""CATETER BALAO SABER 0,35"""" 03MMX08/135CM""";;;;;;;;;;;;;;5852.55;SIMPRO_VIG;2022-06-29;19;
SIMPRO;2026-04-12;material;333139;12;;CORDIS;"""CATETER BALAO SABER 0,35"""" 03MMX10/040CM""";;;;;;;;;;;;;;5852.55;SIMPRO_VIG;2022-06-29;19;
SIMPRO;2026-04-12;material;333183;12;;CORDIS;"""CATETER BALAO SABER 0,35"""" 03MMX10/080CM""";;;;;;;;;;;;;;5852.55;SIMPRO_VIG;2022-06-29;19;
SIMPRO;2026-04-12;material;333246;12;;CORDIS;"""CATETER BALAO SABER 0,35"""" 03MMX10/135CM""";;;;;;;;;;;;;;5852.55;SIMPRO_VIG;2022-06-29;19;
SIMPRO;2026-04-12;material;333184;12;;CORDIS;"""CATETER BALAO SABER 0,35"""" 03MMX12/080CM""";;;;;;;;;;;;;;5852.55;SIMPRO_VIG;2022-06-29;19;
SIMPRO;2026-04-12;material;333247;12;;CORDIS;"""CATETER BALAO SABER 0,35"""" 03MMX12/135CM""";;;;;;;;;;;;;;5852.55;SIMPRO_VIG;2022-06-29;19;
SIMPRO;2026-04-12;material;333185;12;;CORDIS;"""CATETER BALAO SABER 0,35"""" 03MMX15/080CM""";;;;;;;;;;;;;;5852.55;SIMPRO_VIG;2022-06-29;19;
