fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
SIMPRO;2026-04-12;medicamento;0000244545;12;;UNIAO QUIMICA;A CURITYBINA 100MG/ML 1FR 5ML;;;;;;;;;;;;;;14.09;SIMPRO_VIG;2023-05-02;20;
SIMPRO;2026-04-12;medicamento;0000153108;12;;EMS CONSUMO;A SAUDE DA MULHER SOL.150ML;;;;;;;;;;;;;;0.07;SIMPRO_VIG;2011-02-11;20;
SIMPRO;2026-04-12;medicamento;0000040954;12;;COSMED;AAS 100MG 120CPDS;;;;;;;;;;;;;;0.831;SIMPRO_VIG;2026-01-01;20;
SIMPRO;2026-04-12;medicamento;0000252878;12;;SANOFI-AVENTIS;AAS PROTECT 100MG 10CPDS REV.;;;;;;;;;;;;;;0.528;SIMPRO_VIG;2018-04-13;20;
SIMPRO;2026-04-12;medicamento;0000113943;12;;COSMED;AAS PROTECT 100MG 30CPDS REV.;;;;;;;;;;;;;;0.766;SIMPRO_VIG;2025-04-09;20;
SIMPRO;2026-04-12;medicamento;0000315350;12;;SUN FARMACEUTICA;ABBA 250MG 120CPDS;;;;;;;;;;;;;;109.43;SIMPRO_VIG;2025-04-09;20;
SIMPRO;2026-04-12;medicamento;0000102005;12;;KLEY HERTZ;ABC CRM.20GRS;;;;;;;;;;;;;;0.412;SIMPRO_VIG;2014-07-21;20;
SIMPRO;2026-04-12;medicamento;0000041332;12;;KLEY HERTZ;ABC SOL.50ML;;;;;;;;;;;;;;0;SIMPRO_VIG;2009-05-05;20;
SIMPRO;2026-04-12;medicamento;0000102006;12;;KLEY HERTZ;ABC SPR.30ML;;;;;;;;;;;;;;0.685;SIMPRO_VIG;2014-07-21;20;
SIMPRO;2026-04-12;medicamento;0000040283;12;;BAGO;ABELCET 5MG/ML SUSP.1FA 20ML;;;;;;;;;;;;;;117.371;SIMPRO_VIG;2010-04-01;20;
SIMPRO;2026-04-12;medicamento;0000119944;12;;TEVA;ABELCET 5MG/ML SUSP.INJ.1FA 20ML+AG.;;;;;;;;;;;;;;4167.41;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000106754;12;;BRISTOL;ABILIFY 10MG 10CPDS;;;;;;;;;;;;;;18.595;SIMPRO_VIG;2019-01-29;20;
SIMPRO;2026-04-12;medicamento;0000175523;12;;BRISTOL;ABILIFY 10MG 3BLX10CPDS;;;;;;;;;;;;;;18.088;SIMPRO_VIG;2018-12-04;20;
SIMPRO;2026-04-12;medicamento;0000072549;12;;BRISTOL;ABILIFY 15MG 10CPDS;;;;;;;;;;;;;;27.893;SIMPRO_VIG;2018-12-04;20;
SIMPRO;2026-04-12;medicamento;0000072550;12;;BRISTOL;ABILIFY 15MG 3BLX10CPDS;;;;;;;;;;;;;;27.894;SIMPRO_VIG;2019-01-29;20;
SIMPRO;2026-04-12;medicamento;0000072551;12;;BRISTOL;ABILIFY 20MG 10CPDS;;;;;;;;;;;;;;37.19;SIMPRO_VIG;2018-12-04;20;
SIMPRO;2026-04-12;medicamento;0000072552;12;;BRISTOL;ABILIFY 20MG 3X10CPDS;;;;;;;;;;;;;;37.193;SIMPRO_VIG;2018-12-04;20;
SIMPRO;2026-04-12;medicamento;0000072553;12;;BRISTOL;ABILIFY 30MG 3X10CPDS;;;;;;;;;;;;;;55.789;SIMPRO_VIG;2018-12-04;20;
SIMPRO;2026-04-12;medicamento;0000037928;12;;BIOLAB SANUS;ABLOK 100MG 30CPDS;;;;;;;;;;;;;;2.105;SIMPRO_VIG;2025-04-09;20;
SIMPRO;2026-04-12;medicamento;0000037926;12;;BIOLAB SANUS;ABLOK 25MG 30CPDS;;;;;;;;;;;;;;0.522;SIMPRO_VIG;2025-04-09;20;
SIMPRO;2026-04-12;medicamento;0000037927;12;;BIOLAB SANUS;ABLOK 50MG 30CPDS;;;;;;;;;;;;;;1.287;SIMPRO_VIG;2025-04-09;20;
