fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
SIMPRO;2026-04-12;medicamento;0000120809;12;;BLAU;B-PLATIN 10MG/ML SOL.INJ.1 FA 15ML;;;;;;;;;;;;;;433.2;SIMPRO_VIG;2025-04-01;20;
SIMPRO;2026-04-12;medicamento;0000145108;12;;BLAU;B-PLATIN 10MG/ML SOL.INJ.1 FA 5ML;;;;;;;;;;;;;;145.19;SIMPRO_VIG;2025-04-01;20;
SIMPRO;2026-04-12;medicamento;0000145109;12;;BLAU;B-PLATIN 10MG/ML SOL.INJ.1FA 45ML;;;;;;;;;;;;;;1306.88;SIMPRO_VIG;2025-04-01;20;
SIMPRO;2026-04-12;medicamento;0000315007;12;;BLAU;B-PLATIN 150MG PO LIOF.SOL.INJ.FA;;;;;;;;;;;;;;276.7;SIMPRO_VIG;2021-04-06;20;
SIMPRO;2026-04-12;medicamento;0000064760;12;;CRISTALIA;B-TABLOCK 5MG/ML SOL.OFT.10ML;;;;;;;;;;;;;;66.12;SIMPRO_VIG;2023-07-25;20;
SIMPRO;2026-04-12;medicamento;0000064759;12;;CRISTALIA;B-TABLOCK 5MG/ML SOL.OFT.5ML;;;;;;;;;;;;;;43.77;SIMPRO_VIG;2025-04-09;20;
SIMPRO;2026-04-12;medicamento;0000138475;12;;CAZI;B-VIT 50DRGS;;;;;;;;;;;;;;0.307;SIMPRO_VIG;2009-09-15;20;
SIMPRO;2026-04-12;medicamento;0000138474;12;;CAZI;B-VIT SOL.ORAL 30ML;;;;;;;;;;;;;;0.323;SIMPRO_VIG;2009-09-15;20;
SIMPRO;2026-04-12;medicamento;0000138468;12;;CAZI;B.SUPRIN 60DRGS;;;;;;;;;;;;;;0.199;SIMPRO_VIG;2009-09-15;20;
SIMPRO;2026-04-12;medicamento;0000037004;12;;UNIAO QUIMICA;BABY DRAX PO ORAL 50ENV.27,9G;;;;;;;;;;;;;;3.681;SIMPRO_VIG;2019-04-09;20;
SIMPRO;2026-04-12;medicamento;0000084888;12;;CIMED;BABYMED 0,75MG 2CPDS;;;;;;;;;;;;;;5.035;SIMPRO_VIG;2011-04-01;20;
SIMPRO;2026-04-12;medicamento;0000072601;12;;CIMED;BABYMED 5000+900UI/G+150MG/G POM.45G;;;;;;;;;;;;;;17.25;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000242374;12;;CIMED;BABYMED 5000+900UI/G+150MG/G POM.DERM.45G;;;;;;;;;;;;;;0.474;SIMPRO_VIG;2014-01-13;20;
SIMPRO;2026-04-12;medicamento;0000166081;12;;CIMED;BABYMED MENINA POM.45G;;;;;;;;;;;;;;0.237;SIMPRO_VIG;2012-04-02;20;
SIMPRO;2026-04-12;medicamento;0000103875;12;;CIMED;BABYMED ROSA 45GRS;;;;;;;;;;;;;;0.211;SIMPRO_VIG;2010-04-01;20;
SIMPRO;2026-04-12;medicamento;0000318190;12;;CIMED;BABYMED TRATAMENTO 100000UI/G+200MG/G POM.DERM.60G;;;;;;;;;;;;;;32.06;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000137453;12;;NEO QUIMICA;BABYNEO 100000UI/G+200MG/G POM.DERM.60GRS;;;;;;;;;;;;;;1.161;SIMPRO_VIG;2025-04-09;20;
SIMPRO;2026-04-12;medicamento;0000132058;12;;NEOQUIMICA;BABYNEO POM.DERM.60GRS;;;;;;;;;;;;;;0;SIMPRO_VIG;2010-04-01;20;
SIMPRO;2026-04-12;medicamento;0000150579;12;;PHARMASCIENCE;BABYTOL POM.30GRS;;;;;;;;;;;;;;0.395;SIMPRO_VIG;2026-03-31;20;
SIMPRO;2026-04-12;medicamento;0000095288;12;;DUCTO;BAC-SULFITRIN 2X10CPDS;;;;;;;;;;;;;;0.535;SIMPRO_VIG;2011-05-12;20;
SIMPRO;2026-04-12;medicamento;0000034243;12;;DUCTO;BAC-SULFITRIN 50AMP 5ML;;;;;;;;;;;;;;0;SIMPRO_VIG;2009-08-18;20;
SIMPRO;2026-04-12;medicamento;0000153694;12;;NEO QUIMICA;BAC-SULFITRIN SOL.INJ.50AMP 5ML;;;;;;;;;;;;;;5.319;SIMPRO_VIG;2025-04-09;20;
SIMPRO;2026-04-12;medicamento;0000070737;12;;DUCTO;BAC-SULFITRIN SUSP.100ML;;;;;;;;;;;;;;0.121;SIMPRO_VIG;2011-05-12;20;
SIMPRO;2026-04-12;medicamento;0000034242;12;;DUCTO;BAC-SULFITRIN SUSP.50ML;;;;;;;;;;;;;;0.118;SIMPRO_VIG;2011-05-12;20;
SIMPRO;2026-04-12;medicamento;0000101845;12;;ELOFAR;BACFAR F 800+160MG 10CPDS;;;;;;;;;;;;;;3.002;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000103018;12;;ELOFAR;BACFAR F SUSP.100ML;;;;;;;;;;;;;;0.389;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000138467;12;;CAZI;BACIGEN 5MG+250UI POM.20GRS;;;;;;;;;;;;;;0.533;SIMPRO_VIG;2009-09-15;20;
SIMPRO;2026-04-12;medicamento;0000134390;12;;FARMASA;BACILOR 6SACH;;;;;;;;;;;;;;0;SIMPRO_VIG;2009-08-29;20;
SIMPRO;2026-04-12;medicamento;0000101876;12;;CLARIS;BACIMYCIN 150MG/ML 1AMP 4ML;;;;;;;;;;;;;;8.47;SIMPRO_VIG;2010-04-08;20;
SIMPRO;2026-04-12;medicamento;0000103740;12;;BELFAR;BACINA 5MG+250UI/G POM.DERM.15G;;;;;;;;;;;;;;26.12;SIMPRO_VIG;2025-04-17;20;
