fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
SIMPRO;2026-04-12;medicamento;0000037114;12;;BLAU;C-PLATIN 10MG SOL.INJ.1FA 20ML;;;;;;;;;;;;;;82.41;SIMPRO_VIG;2025-04-01;20;
SIMPRO;2026-04-12;medicamento;0000114573;12;;BLAU;C-PLATIN 1MG/ML SOL.INJ.1FA 100ML;;;;;;;;;;;;;;380.84;SIMPRO_VIG;2025-04-01;20;
SIMPRO;2026-04-12;medicamento;0000148650;12;;BLAU;C-PLATIN 1MG/ML SOL.INJ.1FA 50ML;;;;;;;;;;;;;;190.45;SIMPRO_VIG;2025-04-01;20;
SIMPRO;2026-04-12;medicamento;0000037115;12;;BLAU;C-PLATIN 50MG SOL.INJ.1FA 100ML;;;;;;;;;;;;;;222.83;SIMPRO_VIG;2016-04-19;20;
SIMPRO;2026-04-12;medicamento;0000296455;12;;ACCORD;CAAB 60MG SOL.INJ.FA 1,5ML-DIL.4,5ML;;;;;;;;;;;;;;26089.37;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000286447;12;;DR.REDDY'S;CABAZITAXEL 60MG SOL.INJ.5FA 1,5ML+5DIL.FA 4,5ML;;;;;;;;;;;;;;16335.476;SIMPRO_VIG;2024-04-09;20;
SIMPRO;2026-04-12;medicamento;0000286446;12;;DR.REDDY'S;CABAZITAXEL 60MG SOL.INJ.FA 1,5ML+DIL.FA 4,5ML;;;;;;;;;;;;;;16957.71;SIMPRO_VIG;2025-04-09;20;
SIMPRO;2026-04-12;medicamento;0000284491;12;;DR.REDDY'S;CABAZRED 60MG SOL.INJ.5FR AMP 1,5ML+5DIL FR 4,5ML;;;;;;;;;;;;;;25126.8;SIMPRO_VIG;2024-04-09;20;
SIMPRO;2026-04-12;medicamento;0000284490;12;;DR.REDDY'S;CABAZRED 60MG SOL.INJ.FR AMP 1,5ML+DIL FR AMP 4,5ML;;;;;;;;;;;;;;26088.52;SIMPRO_VIG;2025-04-09;20;
SIMPRO;2026-04-12;medicamento;0000256115;12;;CRISTALIA;CABEREDUX 0,5MG 2CPDS;;;;;;;;;;;;;;50.595;SIMPRO_VIG;2025-05-01;20;
