fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
SIMPRO;2026-04-12;medicamento;0000312353;12;;EUROFARMA;D'ORTO 150MG 1CPD REV.;;;;;;;;;;;;;;78.45;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000164322;12;;MARJAN;D-FORT 60CAPS GEL.;;;;;;;;;;;;;;0.358;SIMPRO_VIG;2013-03-01;20;
SIMPRO;2026-04-12;medicamento;0000141205;12;;SUN;D-VOID 0,1MG/ML SPRAY.1FR C/2,5ML;;;;;;;;;;;;;;140.23;SIMPRO_VIG;2013-04-11;20;
SIMPRO;2026-04-12;medicamento;0000072235;12;;UCB BIOPHARMA;D.T.I.100MG 1FA;;;;;;;;;;;;;;63.84;SIMPRO_VIG;2017-04-11;20;
SIMPRO;2026-04-12;medicamento;0000072236;12;;UCB BIOPHARMA;D.T.I.200MG 1FA;;;;;;;;;;;;;;118.66;SIMPRO_VIG;2017-04-11;20;
SIMPRO;2026-04-12;medicamento;0000318416;12;;UNIAO QUIMICA;D3CAPS 7000UI 4CAPS MOLE;;;;;;;;;;;;;;7.108;SIMPRO_VIG;2023-11-23;20;
SIMPRO;2026-04-12;medicamento;0000150360;12;;ACCORD;DABAZ 1MG/ML SOL.INJ.1FA 2ML;;;;;;;;;;;;;;65.55;SIMPRO_VIG;2024-04-30;20;
SIMPRO;2026-04-12;medicamento;0000312902;12;;ACCORD;DABAZ 1MG/ML SOL.INJ.1FA 2ML;;;;;;;;;;;;;;48.6;SIMPRO_VIG;2020-01-28;20;
SIMPRO;2026-04-12;medicamento;0000166425;12;;MERCK S.A;DABIONVITA 30CAPS GEL.MOLE;;;;;;;;;;;;;;1.681;SIMPRO_VIG;2012-05-01;20;
SIMPRO;2026-04-12;medicamento;0000155094;12;;EUROFARMA;DACARB 200MG PO LIOF.10FA;;;;;;;;;;;;;;200.305;SIMPRO_VIG;2024-04-09;20;
SIMPRO;2026-04-12;medicamento;0000136736;12;;FRESENIUS;DACARBAZINA 100MG PO LIOFILO 1FA;;;;;;;;;;;;;;41.71;SIMPRO_VIG;2010-10-27;20;
SIMPRO;2026-04-12;medicamento;0000153641;12;;BERGAMO;DACARBAZINA 200MG PO LIOF.INJ.FA;;;;;;;;;;;;;;133.57;SIMPRO_VIG;2025-04-01;20;
SIMPRO;2026-04-12;medicamento;0000136737;12;;FRESENIUS;DACARBAZINA 200MG PO LIOFILO 1FA;;;;;;;;;;;;;;88;SIMPRO_VIG;2010-10-27;20;
SIMPRO;2026-04-12;medicamento;0000145324;12;;LIBRA;DACARZIN 100MG 1FA 10ML;;;;;;;;;;;;;;3.166;SIMPRO_VIG;2011-06-02;20;
SIMPRO;2026-04-12;medicamento;0000138700;12;;LIBRA;DACARZIN 200MG 1FA 20ML;;;;;;;;;;;;;;2.207;SIMPRO_VIG;2011-06-02;20;
SIMPRO;2026-04-12;medicamento;0000137306;12;;JANSSEN-CILAG;DACOGEN 50MG 1FA;;;;;;;;;;;;;;8121.71;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000044588;12;;SERVIER;DAFLON 450+50MG 15CPDS REV.;;;;;;;;;;;;;;4.327;SIMPRO_VIG;2024-04-02;20;
SIMPRO;2026-04-12;medicamento;0000077835;12;;SERVIER;DAFLON 450+50MG 60CPDS REV.;;;;;;;;;;;;;;3.894;SIMPRO_VIG;2026-04-01;20;
SIMPRO;2026-04-12;medicamento;0000306762;12;;SERVIER;DAFLON 900+100MG 10CPDS REV.;;;;;;;;;;;;;;6.461;SIMPRO_VIG;2026-04-01;20;
SIMPRO;2026-04-12;medicamento;0000242043;12;;SERVIER;DAFLON 900+100MG 30CPDS REV.;;;;;;;;;;;;;;6.468;SIMPRO_VIG;2026-04-01;20;
SIMPRO;2026-04-12;medicamento;0000269566;12;;SERVIER;DAFLON 900+100MG 60CPDS REV.;;;;;;;;;;;;;;5.78;SIMPRO_VIG;2026-04-01;20;
SIMPRO;2026-04-12;medicamento;0000315265;12;;SERVIER;DAFLON FLEX 900+100MG SUSP.ORAL 10ENV.;;;;;;;;;;;;;;6.461;SIMPRO_VIG;2026-04-01;20;
SIMPRO;2026-04-12;medicamento;0000308839;12;;SERVIER;DAFLON FLEX 900+100MG SUSP.ORAL 60ENV.;;;;;;;;;;;;;;2.892;SIMPRO_VIG;2023-10-01;20;
SIMPRO;2026-04-12;medicamento;0000252075;12;;AMGEN;DAFLUBYN 50MG PO LIOF.INJ.1FA;;;;;;;;;;;;;;694.65;SIMPRO_VIG;2015-04-01;20;
SIMPRO;2026-04-12;medicamento;0000040276;12;;SIGMA PHARMA;DAFORIN 10MG 20CAPS DURA;;;;;;;;;;;;;;2.339;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000040277;12;;SIGMA PHARMA;DAFORIN 20MG 30CAPS;;;;;;;;;;;;;;1.49;SIMPRO_VIG;2013-04-01;20;
SIMPRO;2026-04-12;medicamento;0000072136;12;;SIGMA PHARMA;DAFORIN 20MG 30CPDS REV.;;;;;;;;;;;;;;3.192;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000175709;12;;SIGMA PHARMA;DAFORIN 20MG 60CPDS REV.;;;;;;;;;;;;;;2.841;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000141280;12;;TEUTO BRAS;DAILY CARE SAB.200ML;;;;;;;;;;;;;;0.054;SIMPRO_VIG;2009-10-01;20;
SIMPRO;2026-04-12;medicamento;0000282619;12;;DAIICHI SANKYO;DAISAN 37,5+325MG 10CPDS REV.;;;;;;;;;;;;;;4.122;SIMPRO_VIG;2025-04-01;20;
SIMPRO;2026-04-12;medicamento;0000282621;12;;DAIICHI SANKYO;DAISAN 37,5+325MG 20CPDS REV.;;;;;;;;;;;;;;3.593;SIMPRO_VIG;2025-04-01;20;
SIMPRO;2026-04-12;medicamento;0000138205;12;;MOMENTA FARMACEUTICA;DAIVA 150+10MG/ML 1AMP.1ML;;;;;;;;;;;;;;18.65;SIMPRO_VIG;2022-04-12;20;
SIMPRO;2026-04-12;medicamento;0000103047;12;;LEO PHARMA;DAIVOBET 50MCG/G+0,5MG/G POM.DERM.30G;;;;;;;;;;;;;;156.88;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000283849;12;;BRISTOL;DAKLINZA 30MG 28CPDS REV.;;;;;;;;;;;;;;451.883;SIMPRO_VIG;2020-06-30;20;
SIMPRO;2026-04-12;medicamento;0000283848;12;;BRISTOL;DAKLINZA 30MG 7CPDS REV.;;;;;;;;;;;;;;451.88;SIMPRO_VIG;2020-06-30;20;
SIMPRO;2026-04-12;medicamento;0000258959;12;;BRISTOL;DAKLINZA 60MG 28CPDS REV.;;;;;;;;;;;;;;903.768;SIMPRO_VIG;2020-06-30;20;
SIMPRO;2026-04-12;medicamento;0000283850;12;;BRISTOL;DAKLINZA 60MG 7CPDS REV.;;;;;;;;;;;;;;903.764;SIMPRO_VIG;2020-06-30;20;
SIMPRO;2026-04-12;medicamento;0000301927;12;;KENVUE;DAKTARIN 20MG/ML GEL ORAL BG.40G;;;;;;;;;;;;;;49.57;SIMPRO_VIG;2025-04-01;20;
SIMPRO;2026-04-12;medicamento;0000043778;12;;NEOQUIMICA;DAKTAZOL 2% 20MG/ML LOC.30ML;;;;;;;;;;;;;;0.325;SIMPRO_VIG;2019-02-13;20;
SIMPRO;2026-04-12;medicamento;0000153129;12;;NEOQUIMICA;DAKTAZOL 20MG/G CRM.DERM.28GRS;;;;;;;;;;;;;;0.522;SIMPRO_VIG;2019-02-13;20;
SIMPRO;2026-04-12;medicamento;0000096274;12;;BIOSINTETICA;DALAP 1MG/G GEL DERM.30GRS;;;;;;;;;;;;;;2.081;SIMPRO_VIG;2011-03-31;20;
SIMPRO;2026-04-12;medicamento;0000269550;12;;SUPERA;DALI 20MG 2CPDS REV.;;;;;;;;;;;;;;31.935;SIMPRO_VIG;2023-04-04;20;
