fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
SIMPRO;2026-04-12;medicamento;0000076893;12;;SIGMA PHARMA;E-TABS 1000UI 30CAPS GEL.MOLE;;;;;;;;;;;;;;2.082;SIMPRO_VIG;2017-04-01;20;
SIMPRO;2026-04-12;medicamento;0000076892;12;;MULTILAB;E-TABS 400UI 30CAPS GEL.MOLE;;;;;;;;;;;;;;1.404;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000073050;12;;EUROFARMA;EBASTEL D 5CAPS GEL.;;;;;;;;;;;;;;7.112;SIMPRO_VIG;2016-04-08;20;
SIMPRO;2026-04-12;medicamento;0000020824;12;;EUROFARMA;EBASTEL XPE.60ML;;;;;;;;;;;;;;1.314;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000310696;12;;LIBBS;EBATZ 2MG 30CPDS REV.;;;;;;;;;;;;;;3.735;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000310697;12;;LIBBS;EBATZ 4MG 30CPDS REV.;;;;;;;;;;;;;;5.604;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000143011;12;;LUNDBECK;EBIX 10MG 14CPDS;;;;;;;;;;;;;;3.062;SIMPRO_VIG;2019-04-05;20;
SIMPRO;2026-04-12;medicamento;0000082818;12;;LUNDBECK;EBIX 10MG 28CPDS;;;;;;;;;;;;;;8.639;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000175408;12;;LUNDBECK;EBIX 10MG 56CPDS;;;;;;;;;;;;;;8.233;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000239627;12;;LUNDBECK;EBIX 10MG 7CPDS;;;;;;;;;;;;;;7.66;SIMPRO_VIG;2025-04-04;20;
