fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
SIMPRO;2026-04-12;medicamento;0000150979;12;;SANOFI MEDLEY;FABRAZYME 35MG PO LIOF.1FA 20ML;;;;;;;;;;;;;;1192.768;SIMPRO_VIG;2025-04-01;20;
SIMPRO;2026-04-12;medicamento;0000150980;12;;GENZYME;FABRAZYME 5MG PO LIOF.1FA 5ML;;;;;;;;;;;;;;2280.72;SIMPRO_VIG;2016-04-05;20;
SIMPRO;2026-04-12;medicamento;0000115319;12;;ACHE;FACTIVE 320MG 5CPDS REV.;;;;;;;;;;;;;;35.45;SIMPRO_VIG;2020-06-26;20;
SIMPRO;2026-04-12;medicamento;0000115320;12;;ACHE;FACTIVE 320MG 7CPDS REV.;;;;;;;;;;;;;;35.449;SIMPRO_VIG;2020-06-26;20;
SIMPRO;2026-04-12;medicamento;0000149015;12;;SUPERA;FAGICO 4MG/ML SOL.ORAL GTS.1FR.20ML;;;;;;;;;;;;;;1.45;SIMPRO_VIG;2024-04-05;20;
SIMPRO;2026-04-12;medicamento;0000035555;12;;HERALD'S;FALEXINA 250MG 100ML;;;;;;;;;;;;;;0.4;SIMPRO_VIG;2011-04-01;20;
SIMPRO;2026-04-12;medicamento;0000035554;12;;HERALD'S;FALEXINA 500MG 8DRGS;;;;;;;;;;;;;;2.879;SIMPRO_VIG;2011-04-01;20;
SIMPRO;2026-04-12;medicamento;0000055298;12;;NEO QUIMICA;FAMOTID 20MG 10CPDS;;;;;;;;;;;;;;1.545;SIMPRO_VIG;2026-03-31;20;
SIMPRO;2026-04-12;medicamento;0000055297;12;;NEO QUIMICA;FAMOTID 40MG 10CPDS;;;;;;;;;;;;;;2.741;SIMPRO_VIG;2026-03-31;20;
SIMPRO;2026-04-12;medicamento;0000040020;12;;ACHE;FAMOX 20MG 10CPDS;;;;;;;;;;;;;;3.457;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000040021;12;;ACHE;FAMOX 20MG 30CPDS;;;;;;;;;;;;;;2.54;SIMPRO_VIG;2026-02-03;20;
SIMPRO;2026-04-12;medicamento;0000040022;12;;ACHE;FAMOX 40MG 10CPDS;;;;;;;;;;;;;;5.636;SIMPRO_VIG;2026-02-03;20;
SIMPRO;2026-04-12;medicamento;0000040023;12;;ACHE;FAMOX 40MG 30CPDS;;;;;;;;;;;;;;3.769;SIMPRO_VIG;2026-02-03;20;
SIMPRO;2026-04-12;medicamento;0000029771;12;;INFAN;FAMOXIL 20MG 10CPDS;;;;;;;;;;;;;;1.197;SIMPRO_VIG;2010-04-01;20;
SIMPRO;2026-04-12;medicamento;0000029772;12;;INFAN;FAMOXIL 20MG 30CPDS;;;;;;;;;;;;;;1.078;SIMPRO_VIG;2010-04-01;20;
SIMPRO;2026-04-12;medicamento;0000029773;12;;INFAN;FAMOXIL 40MG 10CPDS;;;;;;;;;;;;;;2.131;SIMPRO_VIG;2010-04-01;20;
SIMPRO;2026-04-12;medicamento;0000029774;12;;INFAN;FAMOXIL 40MG 30CPDS;;;;;;;;;;;;;;1.902;SIMPRO_VIG;2010-04-01;20;
SIMPRO;2026-04-12;medicamento;0000241953;12;;BIOGEN;FAMPYRA 10MG 28CPDS REV.LIB.PROLONG.;;;;;;;;;;;;;;30.195;SIMPRO_VIG;2021-06-08;20;
SIMPRO;2026-04-12;medicamento;0000241954;12;;BIOGEN;FAMPYRA 10MG 56CPDS REV.LIB.PROLONG.;;;;;;;;;;;;;;28.282;SIMPRO_VIG;2020-06-23;20;
SIMPRO;2026-04-12;medicamento;0000055305;12;;BLAU;FANCLOMAX 125MG 10CPDS;;;;;;;;;;;;;;5.726;SIMPRO_VIG;2013-04-01;20;
SIMPRO;2026-04-12;medicamento;0000055307;12;;BLAU;FANCLOMAX 250MG 21CPDS;;;;;;;;;;;;;;20.871;SIMPRO_VIG;2020-06-19;20;
SIMPRO;2026-04-12;medicamento;0000055306;12;;BLAU;FANCLOMAX 250MG 7CPDS;;;;;;;;;;;;;;14.107;SIMPRO_VIG;2013-04-01;20;
SIMPRO;2026-04-12;medicamento;0000057988;12;;GRIFOLS;FANDHI 1000UI PO LIOF.1FA+SER.DIL.10ML+EQUIPO;;;;;;;;;;;;;;2942.07;SIMPRO_VIG;2024-04-09;20;
SIMPRO;2026-04-12;medicamento;0000145314;12;;GRIFOLS;FANDHI 1500UI PO LIOF.1FA+SER.DIL.15ML+EQUIPO;;;;;;;;;;;;;;2993.63;SIMPRO_VIG;2017-04-01;20;
SIMPRO;2026-04-12;medicamento;0000057986;12;;GRIFOLS;FANDHI 250UI PO LIOF.1FA+SER.DIL.10ML+EQUIPO;;;;;;;;;;;;;;735.49;SIMPRO_VIG;2024-04-09;20;
SIMPRO;2026-04-12;medicamento;0000057987;12;;GRIFOLS;FANDHI 500UI PO LIOF.1FA+SER.DIL.10ML+EQUIPO;;;;;;;;;;;;;;1471.01;SIMPRO_VIG;2024-04-09;20;
SIMPRO;2026-04-12;medicamento;0000026543;12;;WYETH;FARMORUBICINA CS 10MG 1FA;;;;;;;;;;;;;;97.31;SIMPRO_VIG;2019-04-09;20;
SIMPRO;2026-04-12;medicamento;0000026546;12;;WYETH;FARMORUBICINA CS 200MG 1FA;;;;;;;;;;;;;;1461.01;SIMPRO_VIG;2019-04-09;20;
SIMPRO;2026-04-12;medicamento;0000026545;12;;WYETH;FARMORUBICINA CS 50MG 1FA;;;;;;;;;;;;;;405.81;SIMPRO_VIG;2019-04-09;20;
SIMPRO;2026-04-12;medicamento;0000026541;12;;WYETH;FARMORUBICINA RD 10MG 1FA;;;;;;;;;;;;;;87.06;SIMPRO_VIG;2019-04-09;20;
SIMPRO;2026-04-12;medicamento;0000026542;12;;PFIZER;FARMORUBICINA RD 50MG 1FA;;;;;;;;;;;;;;343.06;SIMPRO_VIG;2016-04-08;20;
