fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
SIMPRO;2026-04-12;medicamento;0000296954;12;;ZYDUS NIKKHO;GABALLON 50+50+2+4+4MG 20CPDS;;;;;;;;;;;;;;1.767;SIMPRO_VIG;2019-04-05;20;
SIMPRO;2026-04-12;medicamento;0000117274;12;;BRACE PHARMA;GABANEURIN 300MG 30CAPS GEL.DURA;;;;;;;;;;;;;;2.87;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000117275;12;;SIGMA PHARMA;GABANEURIN 400MG 30CAPS GEL.DURA;;;;;;;;;;;;;;4.325;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000152671;12;;SIGMA PHARMA;GABANEURIN 600MG 27CPDS REV.;;;;;;;;;;;;;;9.234;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000239342;12;;AUROBINDO;GABAPENTINA 300MG 10CAPS GEL.DURA;;;;;;;;;;;;;;2.483;SIMPRO_VIG;2019-04-09;20;
SIMPRO;2026-04-12;medicamento;0000051161;12;;BIOSINTETICA;GABAPENTINA 300MG 2X15CAPS;;;;;;;;;;;;;;2.638;SIMPRO_VIG;2020-10-01;20;
SIMPRO;2026-04-12;medicamento;0000244794;12;;PRATI-DONADUZZI;GABAPENTINA 300MG 300CAPS GEL.DURA;;;;;;;;;;;;;;3.641;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000136828;12;;BIOLAB GENERICOS;GABAPENTINA 300MG 30CAPS;;;;;;;;;;;;;;3.223;SIMPRO_VIG;2025-04-09;20;
SIMPRO;2026-04-12;medicamento;0000308434;12;;ACHE;GABAPENTINA 300MG 30CAPS;;;;;;;;;;;;;;3.075;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000084939;12;;RANBAXY;GABAPENTINA 300MG 30CAPS GEL.DURA;;;;;;;;;;;;;;4.423;SIMPRO_VIG;2023-10-03;20;
SIMPRO;2026-04-12;medicamento;0000111877;12;;GERMED GENERICOS;GABAPENTINA 300MG 30CAPS GEL.DURA;;;;;;;;;;;;;;4.023;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000115411;12;;EMS GENERICOS;GABAPENTINA 300MG 30CAPS GEL.DURA;;;;;;;;;;;;;;4.056;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000239345;12;;AUROBINDO;GABAPENTINA 300MG 30CAPS GEL.DURA;;;;;;;;;;;;;;3.117;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000241548;12;;PRATI-DONADUZZI;GABAPENTINA 300MG 30CAPS GEL.DURA;;;;;;;;;;;;;;2.748;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000266608;12;;TEUTO BRAS;GABAPENTINA 300MG 30CAPS GEL.DURA;;;;;;;;;;;;;;4.457;SIMPRO_VIG;2023-04-06;20;
SIMPRO;2026-04-12;medicamento;0000269373;12;;TORRENT;GABAPENTINA 300MG 30CAPS GEL.DURA;;;;;;;;;;;;;;2.631;SIMPRO_VIG;2020-07-03;20;
SIMPRO;2026-04-12;medicamento;0000285009;12;;SANDOZ;GABAPENTINA 300MG 30CAPS GEL.DURA;;;;;;;;;;;;;;3.548;SIMPRO_VIG;2022-04-26;20;
SIMPRO;2026-04-12;medicamento;0000111868;12;;LEGRAND GENERICOS;GABAPENTINA 300MG 3X10CAPS;;;;;;;;;;;;;;5.083;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000244793;12;;PRATI-DONADUZZI;GABAPENTINA 300MG 60CAPS GEL.DURA;;;;;;;;;;;;;;2.611;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000239349;12;;AUROBINDO;GABAPENTINA 400MG 10CAPS GEL.DURA;;;;;;;;;;;;;;3.023;SIMPRO_VIG;2019-04-09;20;
SIMPRO;2026-04-12;medicamento;0000244796;12;;PRATI-DONADUZZI;GABAPENTINA 400MG 300CAPS GEL.DURA;;;;;;;;;;;;;;4.425;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000136830;12;;BIOLAB GENERICOS;GABAPENTINA 400MG 30CAPS;;;;;;;;;;;;;;3.751;SIMPRO_VIG;2025-04-09;20;
SIMPRO;2026-04-12;medicamento;0000084940;12;;RANBAXY;GABAPENTINA 400MG 30CAPS GEL.DURA;;;;;;;;;;;;;;5.379;SIMPRO_VIG;2023-10-03;20;
SIMPRO;2026-04-12;medicamento;0000111878;12;;GERMED GENERICOS;GABAPENTINA 400MG 30CAPS GEL.DURA;;;;;;;;;;;;;;5.331;SIMPRO_VIG;2025-07-01;20;
SIMPRO;2026-04-12;medicamento;0000115413;12;;EMS GENERICOS;GABAPENTINA 400MG 30CAPS GEL.DURA;;;;;;;;;;;;;;6.521;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000239350;12;;AUROBINDO;GABAPENTINA 400MG 30CAPS GEL.DURA;;;;;;;;;;;;;;2.658;SIMPRO_VIG;2019-04-02;20;
SIMPRO;2026-04-12;medicamento;0000241549;12;;PRATI-DONADUZZI;GABAPENTINA 400MG 30CAPS GEL.DURA;;;;;;;;;;;;;;3.901;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000257957;12;;TEUTO BRAS;GABAPENTINA 400MG 30CAPS GEL.DURA;;;;;;;;;;;;;;2.588;SIMPRO_VIG;2020-02-01;20;
SIMPRO;2026-04-12;medicamento;0000269374;12;;TORRENT;GABAPENTINA 400MG 30CAPS GEL.DURA;;;;;;;;;;;;;;2.406;SIMPRO_VIG;2018-06-07;20;
SIMPRO;2026-04-12;medicamento;0000295610;12;;NEO QUIMICA;GABAPENTINA 400MG 30CAPS GEL.DURA;;;;;;;;;;;;;;3.08;SIMPRO_VIG;2020-04-07;20;
SIMPRO;2026-04-12;medicamento;0000244795;12;;PRATI-DONADUZZI;GABAPENTINA 400MG 60CAPS GEL.DURA;;;;;;;;;;;;;;3.706;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000144205;12;;EMS GENERICOS;GABAPENTINA 600MG 27CAPS REV.;;;;;;;;;;;;;;8.576;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000141871;12;;GERMED GENERICOS;GABAPENTINA 600MG 27CPDS REV.;;;;;;;;;;;;;;8.576;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000171618;12;;RANBAXY;GABAPENTINA GEN.300MG 5X10CAPS;;;;;;;;;;;;;;1.743;SIMPRO_VIG;2012-09-24;20;
SIMPRO;2026-04-12;medicamento;0000111869;12;;LEGRAND GENERICOS;GABAPENTINA GEN.400MG 3X10CAPS;;;;;;;;;;;;;;3.654;SIMPRO_VIG;2016-04-12;20;
SIMPRO;2026-04-12;medicamento;0000171619;12;;RANBAXY;GABAPENTINA GEN.400MG 5X10CAPS;;;;;;;;;;;;;;2.06;SIMPRO_VIG;2012-09-24;20;
SIMPRO;2026-04-12;medicamento;0000159311;12;;NEOQUIMICA;GABAPENTINA GEN.600MG 27CPDS REV.;;;;;;;;;;;;;;4.23;SIMPRO_VIG;2014-04-01;20;
SIMPRO;2026-04-12;medicamento;0000249972;12;;NOVA QUIMICA GEN;GABAPENTINA GEN.600MG 3BLX9CPDS REV.;;;;;;;;;;;;;;5.368;SIMPRO_VIG;2017-04-01;20;
SIMPRO;2026-04-12;medicamento;0000165898;12;;BAYER;GADOVIST 604,72MG/ML SOL.INJ.1FA 15ML;;;;;;;;;;;;;;539.11;SIMPRO_VIG;2026-02-13;20;
SIMPRO;2026-04-12;medicamento;0000166507;12;;BAYER;GADOVIST 604,72MG/ML SOL.INJ.FA 7,5ML;;;;;;;;;;;;;;269.58;SIMPRO_VIG;2025-11-27;20;
SIMPRO;2026-04-12;medicamento;0000040370;12;;KLEY HERTZ;GALENOGAL ELIXIR SOL.ORAL 150ML;;;;;;;;;;;;;;0.188;SIMPRO_VIG;2014-07-21;20;
SIMPRO;2026-04-12;medicamento;0000121615;12;;NOVARTIS;GALVUS 100MG 28CPDS;;;;;;;;;;;;;;6.338;SIMPRO_VIG;2010-03-31;20;
SIMPRO;2026-04-12;medicamento;0000143613;12;;NOVARTIS;GALVUS 50MG 14CPDS;;;;;;;;;;;;;;4.889;SIMPRO_VIG;2026-04-01;20;
