fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
SIMPRO;2026-04-12;medicamento;0000079698;12;;CIFARMA;H-BACTER 10X8CAPS;;;;;;;;;;;;;;2.042;SIMPRO_VIG;2005-09-01;20;
SIMPRO;2026-04-12;medicamento;0000079697;12;;CIFARMA;H-BACTER 7X8CAPS;;;;;;;;;;;;;;2.359;SIMPRO_VIG;2007-04-10;20;
SIMPRO;2026-04-12;medicamento;0000097536;12;;CIFARMA;H-BACTER IBP 7X28CAPS;;;;;;;;;;;;;;0.759;SIMPRO_VIG;2016-04-08;20;
SIMPRO;2026-04-12;medicamento;0000285727;12;;EMS;H-FOR 20MG 1CPD REV.;;;;;;;;;;;;;;31.82;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000285726;12;;EMS;H-FOR 20MG 2CPDS REV.;;;;;;;;;;;;;;24.345;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000249236;12;;CIFARMA;H.BACTER 30+500+500MG 7BL 2+4CAPS+2CPDS 30MG 28CAPS;;;;;;;;;;;;;;3.531;SIMPRO_VIG;2025-04-09;20;
SIMPRO;2026-04-12;medicamento;0000039366;12;;SANOFI-AVEN;HAEMACCEL 35MG/ML 10X500ML+EQP;;;;;;;;;;;;;;72.098;SIMPRO_VIG;2010-04-01;20;
SIMPRO;2026-04-12;medicamento;0000113849;12;;CSL BEHRING;HAEMATE-P 250UI 1FA+DIL 10ML;;;;;;;;;;;;;;0;SIMPRO_VIG;2009-07-21;20;
SIMPRO;2026-04-12;medicamento;0000175382;12;;CSL BEHRING;HAEMATE-P 500+1200UI PO LIOF.1FA+DIL.10ML+DISP.TRANS./FILTRO;;;;;;;;;;;;;;2072.29;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000113850;12;;CSL BEHRING;HAEMATE-P 500+1200UI PO LIOF.1FA+DIL.10ML+DISP.TRANSF.;;;;;;;;;;;;;;1264.21;SIMPRO_VIG;2015-04-01;20;
SIMPRO;2026-04-12;medicamento;0000136575;12;;CSL BEHRING;HAEMOCOMPLETTAN-P 1G PO LIOF.1FA;;;;;;;;;;;;;;2236.66;SIMPRO_VIG;2023-04-01;20;
SIMPRO;2026-04-12;medicamento;0000301181;12;;BIOLAB SANUS;HAGIVAN 125MG 60CPDS REV.;;;;;;;;;;;;;;100.596;SIMPRO_VIG;2025-04-09;20;
SIMPRO;2026-04-12;medicamento;0000301180;12;;BIOLAB SANUS;HAGIVAN 62,5MG 60CPDS REV.;;;;;;;;;;;;;;56.282;SIMPRO_VIG;2025-04-09;20;
