fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
SIMPRO;2026-04-12;medicamento;0000170404;12;;ACHE;IBANDRONATO SODICO 150MG 1CPD REV.;;;;;;;;;;;;;;154.74;SIMPRO_VIG;2018-04-13;20;
SIMPRO;2026-04-12;medicamento;0000175510;12;;BIOLAB GENERICOS;IBANDRONATO SODIO 150MG 1CPD;;;;;;;;;;;;;;97.56;SIMPRO_VIG;2025-04-09;20;
SIMPRO;2026-04-12;medicamento;0000165771;12;;BIOSINTETICA;IBANDRONATO SODIO 150MG 1CPD REV.;;;;;;;;;;;;;;168.24;SIMPRO_VIG;2020-06-23;20;
SIMPRO;2026-04-12;medicamento;0000308447;12;;ACHE;IBANDRONATO SODIO 150MG 1CPD REV.;;;;;;;;;;;;;;96.22;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000314358;12;;EUROFARMA;IBANDRONATO SODIO 150MG 1CPD REV.;;;;;;;;;;;;;;96.05;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000317774;12;;SUPERA;IBANUNO 150MG 1CPD REV.;;;;;;;;;;;;;;59.76;SIMPRO_VIG;2026-03-05;20;
SIMPRO;2026-04-12;medicamento;0000020039;12;;ABBOTT;IBERIN FOLICO GRADUMET 30CPDS REV.;;;;;;;;;;;;;;0;SIMPRO_VIG;2009-10-22;20;
SIMPRO;2026-04-12;medicamento;0000020040;12;;ABBOTT;IBEROL 500 120ML;;;;;;;;;;;;;;0;SIMPRO_VIG;2009-05-05;20;
SIMPRO;2026-04-12;medicamento;0000020041;12;;ABBOTT;IBEROL 500 GRADUMET 30CPDS REV.;;;;;;;;;;;;;;0;SIMPRO_VIG;2009-05-05;20;
SIMPRO;2026-04-12;medicamento;0000298617;12;;PFIZER BRASIL;IBRANCE 100MG 21CAPS DURA;;;;;;;;;;;;;;839.514;SIMPRO_VIG;2025-04-01;20;
SIMPRO;2026-04-12;medicamento;0000298618;12;;PFIZER BRASIL;IBRANCE 125MG 21CAPS DURA;;;;;;;;;;;;;;1168.394;SIMPRO_VIG;2025-04-01;20;
SIMPRO;2026-04-12;medicamento;0000298616;12;;PFIZER BRASIL;IBRANCE 75MG 21CAPS DURA;;;;;;;;;;;;;;584.198;SIMPRO_VIG;2025-04-01;20;
SIMPRO;2026-04-12;medicamento;0000159624;12;;LEGRAND SIMILARES;IBUFLEX 100MG/ML SUSP.ORAL 30ML;;;;;;;;;;;;;;1.319;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000286354;12;;LEGRAND SIMILARES;IBUFLEX 400MG 40CAPS GEL.MOLE(EMB. MULT);;;;;;;;;;;;;;3.578;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000173747;12;;LEGRAND SIMILARES;IBUFLEX 400MG 8CAPS GEL.MOLE;;;;;;;;;;;;;;3.584;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000171880;12;;NEO QUIMICA;IBUFRAN 300MG 20CPDS;;;;;;;;;;;;;;1.44;SIMPRO_VIG;2025-04-09;20;
SIMPRO;2026-04-12;medicamento;0000171881;12;;NEO QUIMICA;IBUFRAN 400MG 10CPDS;;;;;;;;;;;;;;2.515;SIMPRO_VIG;2024-04-05;20;
SIMPRO;2026-04-12;medicamento;0000156695;12;;NEO QUIMICA;IBUFRAN 50MG/ML SUSP.ORAL GTS.30ML;;;;;;;;;;;;;;1.192;SIMPRO_VIG;2024-04-05;20;
SIMPRO;2026-04-12;medicamento;0000165242;12;;EMS;IBULIV 10MG/ML SUSP.ORAL 20ML+CGT;;;;;;;;;;;;;;1.475;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000165244;12;;EMS;IBULIV 400MG 10CPDS REV.;;;;;;;;;;;;;;1.477;SIMPRO_VIG;2019-04-09;20;
SIMPRO;2026-04-12;medicamento;0000286333;12;;EMS;IBULIV 400MG 40CAPS MOLE;;;;;;;;;;;;;;3.575;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000179145;12;;EMS;IBULIV 400MG 8CAPS MOLE;;;;;;;;;;;;;;3.791;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000315087;12;;EMS;IBULIV 50MG/ML SUSP.ORAL GTS.20ML;;;;;;;;;;;;;;1.266;SIMPRO_VIG;2022-04-05;20;
SIMPRO;2026-04-12;medicamento;0000281722;12;;TEUTO BRAS;IBUPRIL 100MG/ML FR.20ML;;;;;;;;;;;;;;1.026;SIMPRO_VIG;2025-04-09;20;
SIMPRO;2026-04-12;medicamento;0000260364;12;;TEUTO BRAS;IBUPRIL 100MG/ML SUSP.ORAL 20ML;;;;;;;;;;;;;;12.37;SIMPRO_VIG;2017-04-04;20;
SIMPRO;2026-04-12;medicamento;0000078948;12;;TEUTO BRAS;IBUPRIL 300MG 100CPDS(EMB.HOSP.);;;;;;;;;;;;;;0.475;SIMPRO_VIG;2023-08-15;20;
SIMPRO;2026-04-12;medicamento;0000251219;12;;TEUTO BRAS;IBUPRIL 400MG 10CAPS GEL.MOLE;;;;;;;;;;;;;;2.619;SIMPRO_VIG;2025-04-09;20;
SIMPRO;2026-04-12;medicamento;0000251221;12;;TEUTO BRAS;IBUPRIL 400MG 10CPDS REV.;;;;;;;;;;;;;;0.501;SIMPRO_VIG;2021-04-13;20;
SIMPRO;2026-04-12;medicamento;0000251220;12;;TEUTO BRAS;IBUPRIL 400MG 36CAPS GEL.MOLE;;;;;;;;;;;;;;2.662;SIMPRO_VIG;2025-04-09;20;
SIMPRO;2026-04-12;medicamento;0000242018;12;;TEUTO BRAS;IBUPRIL 50MG/ML FR.30ML;;;;;;;;;;;;;;20.75;SIMPRO_VIG;2025-04-09;20;
SIMPRO;2026-04-12;medicamento;0000132173;12;;TEUTO BRAS;IBUPRIL 600MG 200CPDS;;;;;;;;;;;;;;1.343;SIMPRO_VIG;2023-08-15;20;
SIMPRO;2026-04-12;medicamento;0000145811;12;;TEUTO BRAS;IBUPRIL 600MG 200CPDS PL.INC.;;;;;;;;;;;;;;0.745;SIMPRO_VIG;2010-05-01;20;
SIMPRO;2026-04-12;medicamento;0000145810;12;;TEUTO BRAS;IBUPRIL 600MG 20CPDS;;;;;;;;;;;;;;1.235;SIMPRO_VIG;2025-04-09;20;
SIMPRO;2026-04-12;medicamento;0000111287;12;;TEUTO BRAS;IBUPRIL 600MG 50X10CPDS;;;;;;;;;;;;;;0.652;SIMPRO_VIG;2012-04-01;20;
SIMPRO;2026-04-12;medicamento;0000142115;12;;NEO QUIMICA;IBUPROFENO 100MG/ML GTS.20ML;;;;;;;;;;;;;;1.885;SIMPRO_VIG;2025-04-09;20;
SIMPRO;2026-04-12;medicamento;0000149395;12;;SANOFI MEDLEY;IBUPROFENO 100MG/ML SUSP.OR. 20ML;;;;;;;;;;;;;;0.956;SIMPRO_VIG;2026-02-03;20;
SIMPRO;2026-04-12;medicamento;0000142091;12;;GERMED GENERICOS;IBUPROFENO 100MG/ML SUSP.ORAL 20ML;;;;;;;;;;;;;;1.439;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000143205;12;;LEGRAND GENERICOS;IBUPROFENO 100MG/ML SUSP.ORAL 20ML;;;;;;;;;;;;;;0.909;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000150899;12;;NOVA QUIMICA;IBUPROFENO 100MG/ML SUSP.ORAL 20ML+CGT.;;;;;;;;;;;;;;1.429;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000314836;12;;CIMED;IBUPROFENO 100MG/ML SUSP.ORAL FR GTS.20ML;;;;;;;;;;;;;;1.11;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000146670;12;;MEDQUIMICA;IBUPROFENO 100MG/ML SUSP.ORAL GTS.20ML;;;;;;;;;;;;;;0.809;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000156691;12;;BIOSINTETICA;IBUPROFENO 100MG/ML SUSP.ORAL GTS.20ML;;;;;;;;;;;;;;0.912;SIMPRO_VIG;2020-06-26;20;
SIMPRO;2026-04-12;medicamento;0000308448;12;;ACHE;IBUPROFENO 100MG/ML SUSP.ORAL GTS.20ML;;;;;;;;;;;;;;1.25;SIMPRO_VIG;2025-04-04;20;
