fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
SIMPRO;2026-04-12;medicamento;0000318425;12;;NOVARTIS;JAKAVI 10MG 60CPDS;;;;;;;;;;;;;;605.942;SIMPRO_VIG;2026-04-01;20;
SIMPRO;2026-04-12;medicamento;0000267765;12;;NOVARTIS;JAKAVI 15MG 60CPDS;;;;;;;;;;;;;;772.771;SIMPRO_VIG;2026-04-01;20;
SIMPRO;2026-04-12;medicamento;0000267766;12;;NOVARTIS;JAKAVI 20MG 60CPDS;;;;;;;;;;;;;;772.771;SIMPRO_VIG;2026-04-01;20;
SIMPRO;2026-04-12;medicamento;0000267764;12;;NOVARTIS;JAKAVI 5MG 60CPDS;;;;;;;;;;;;;;428.67;SIMPRO_VIG;2026-04-01;20;
SIMPRO;2026-04-12;medicamento;0000164593;12;;MERCK S.A;JALRA 50MG 14CPDS;;;;;;;;;;;;;;3.396;SIMPRO_VIG;2014-04-01;20;
SIMPRO;2026-04-12;medicamento;0000164594;12;;MERCK S.A;JALRA 50MG 28CPDS;;;;;;;;;;;;;;3.395;SIMPRO_VIG;2014-04-01;20;
SIMPRO;2026-04-12;medicamento;0000164606;12;;MERCK S.A;JALRA 50MG 56CPDS;;;;;;;;;;;;;;3.396;SIMPRO_VIG;2014-04-01;20;
SIMPRO;2026-04-12;medicamento;0000165753;12;;MERCK S.A;JALRA MET 50+1000MG 14CPDS REV.;;;;;;;;;;;;;;3.396;SIMPRO_VIG;2014-04-01;20;
SIMPRO;2026-04-12;medicamento;0000165752;12;;MERCK S.A;JALRA MET 50+1000MG 56CPDS REV.;;;;;;;;;;;;;;3.396;SIMPRO_VIG;2014-04-01;20;
SIMPRO;2026-04-12;medicamento;0000165749;12;;MERCK S.A;JALRA MET 50+500MG 14CPDS REV.;;;;;;;;;;;;;;3.396;SIMPRO_VIG;2014-04-01;20;
SIMPRO;2026-04-12;medicamento;0000165748;12;;MERCK S.A;JALRA MET 50+500MG 56CPDS REV.;;;;;;;;;;;;;;3.396;SIMPRO_VIG;2014-04-01;20;
SIMPRO;2026-04-12;medicamento;0000165751;12;;MERCK S.A;JALRA MET 50+850MG 14CPDS REV.;;;;;;;;;;;;;;3.396;SIMPRO_VIG;2014-04-01;20;
SIMPRO;2026-04-12;medicamento;0000165750;12;;MERCK S.A;JALRA MET 50+850MG 56CPDS REV.;;;;;;;;;;;;;;3.396;SIMPRO_VIG;2014-04-01;20;
SIMPRO;2026-04-12;medicamento;0000131451;12;;MERCK SHARP - MSD;JANUMET 50+1000MG 56CPDS;;;;;;;;;;;;;;5.995;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000131447;12;;MERCK SHARP - MSD;JANUMET 50+500MG 28CPDS;;;;;;;;;;;;;;4.151;SIMPRO_VIG;2026-03-31;20;
SIMPRO;2026-04-12;medicamento;0000131448;12;;MERCK SHARP - MSD;JANUMET 50+500MG 56CPDS;;;;;;;;;;;;;;5.995;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000131449;12;;MERCK SHARP - MSD;JANUMET 50+850MG 28CPDS;;;;;;;;;;;;;;5.993;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000131450;12;;MERCK SHARP - MSD;JANUMET 50+850MG 56CPDS;;;;;;;;;;;;;;5.995;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000145117;12;;MERCK SHARP - MSD;JANUMET 50MG+1000MG 28CPDS;;;;;;;;;;;;;;5.993;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000273093;12;;MERCK SHARP - MSD;JANUMET XR 100+1000MG 10CPDS REV.LIB.PROLONG.;;;;;;;;;;;;;;11.879;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000273094;12;;MERCK SHARP - MSD;JANUMET XR 100+1000MG 30CPDS REV.LIB.PROLONG.;;;;;;;;;;;;;;11.879;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000259895;12;;MERCK SHARP - MSD;JANUMET XR 50+1000MG 20CPDS;;;;;;;;;;;;;;5.543;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000259896;12;;MERCK SHARP - MSD;JANUMET XR 50+1000MG 60CPDS;;;;;;;;;;;;;;5.544;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000259893;12;;MERCK S.D;JANUMET XR 50+500MG 20CPDS;;;;;;;;;;;;;;3.104;SIMPRO_VIG;2020-06-30;20;
SIMPRO;2026-04-12;medicamento;0000259894;12;;MERCK SHARP - MSD;JANUMET XR 50+500MG 60CPDS;;;;;;;;;;;;;;5.94;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000114976;12;;MERCK SHARP - MSD;JANUVIA 100MG 14CPDS;;;;;;;;;;;;;;12.31;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000114978;12;;MERCK SHARP - MSD;JANUVIA 100MG 2X14CPDS;;;;;;;;;;;;;;10.745;SIMPRO_VIG;2022-04-05;20;
SIMPRO;2026-04-12;medicamento;0000114971;12;;MERCK SHARP - MSD;JANUVIA 25MG 2X14CPDS;;;;;;;;;;;;;;2.687;SIMPRO_VIG;2022-04-05;20;
SIMPRO;2026-04-12;medicamento;0000114975;12;;MERCK SHARP - MSD;JANUVIA 50MG 2X14CPDS;;;;;;;;;;;;;;5.372;SIMPRO_VIG;2022-04-05;20;
SIMPRO;2026-04-12;medicamento;0000299143;12;;EMS;JAQUE 2,00+0,035MG 21CPDS REV.;;;;;;;;;;;;;;26.9;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000252257;12;;BOEHRINGER;JARDIANCE 10MG 10 CPDS REV.;;;;;;;;;;;;;;10.583;SIMPRO_VIG;2025-04-01;20;
SIMPRO;2026-04-12;medicamento;0000252255;12;;BOEHRINGER;JARDIANCE 10MG 30CPDS REV.;;;;;;;;;;;;;;10.58;SIMPRO_VIG;2025-04-01;20;
SIMPRO;2026-04-12;medicamento;0000252258;12;;BOEHRINGER;JARDIANCE 25MG 10CPDS REV.;;;;;;;;;;;;;;10.583;SIMPRO_VIG;2025-04-01;20;
