fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
SIMPRO;2026-04-12;medicamento;0000080674;12;;FRESENIUS;KABIVEN 1900 2X2053ML BR830604421;;;;;;;;;;;;;;546.48;SIMPRO_VIG;2010-10-27;20;
SIMPRO;2026-04-12;medicamento;0000302600;12;;FRESENIUS KABI;KABIVEN 1900KCAL 4BOL.2053ML;;;;;;;;;;;;;;1033.39;SIMPRO_VIG;2025-04-09;20;
SIMPRO;2026-04-12;medicamento;0000164429;12;;FRESENIUS KABI;KABIVEN 1900KCAL BOLS 2053ML;;;;;;;;;;;;;;2862.76;SIMPRO_VIG;2018-04-06;20;
SIMPRO;2026-04-12;medicamento;0000080673;12;;FRESENIUS KABI;KABIVEN 900 4X1026ML BR830588421;;;;;;;;;;;;;;407.36;SIMPRO_VIG;2012-04-03;20;
SIMPRO;2026-04-12;medicamento;0000302601;12;;FRESENIUS KABI;KABIVEN 900KCAL 4BOL.1026ML;;;;;;;;;;;;;;745.84;SIMPRO_VIG;2025-04-09;20;
SIMPRO;2026-04-12;medicamento;0000164430;12;;FRESENIUS KABI;KABIVEN 900KCAL BOLS 1026ML;;;;;;;;;;;;;;2066.24;SIMPRO_VIG;2018-04-06;20;
SIMPRO;2026-04-12;medicamento;0000102922;12;;FRESENIUS KABI;KABIVEN PERIPHERAL 1000 4X1440ML BR830745421;;;;;;;;;;;;;;422.74;SIMPRO_VIG;2012-04-03;20;
SIMPRO;2026-04-12;medicamento;0000302602;12;;FRESENIUS KABI;KABIVEN PERIPHERAL 1000KCAL 4BOL.1440ML;;;;;;;;;;;;;;774;SIMPRO_VIG;2025-04-09;20;
SIMPRO;2026-04-12;medicamento;0000164433;12;;FRESENIUS KABI;KABIVEN PERIPHERAL 1000KCAL BOLS 1440ML;;;;;;;;;;;;;;2144.16;SIMPRO_VIG;2018-04-06;20;
SIMPRO;2026-04-12;medicamento;0000102923;12;;FRESENIUS;KABIVEN PERIPHERAL 1400 2X1920ML BR830752421;;;;;;;;;;;;;;510.14;SIMPRO_VIG;2010-10-27;20;
SIMPRO;2026-04-12;medicamento;0000302603;12;;FRESENIUS KABI;KABIVEN PERIPHERAL 1400KCAL 4BOL.1920ML;;;;;;;;;;;;;;964.7;SIMPRO_VIG;2025-04-09;20;
SIMPRO;2026-04-12;medicamento;0000164432;12;;FRESENIUS KABI;KABIVEN PERIPHERAL 1400KCAL BOLS 1920ML;;;;;;;;;;;;;;2672.4;SIMPRO_VIG;2018-04-06;20;
SIMPRO;2026-04-12;medicamento;0000245286;12;;ROCHE;KADCYLA 100MG PO LIOF.1FA;;;;;;;;;;;;;;9262.07;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000245285;12;;ROCHE;KADCYLA 160MG PO LIOF.1FA;;;;;;;;;;;;;;14819.32;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000047504;12;;DELTA;KALAGEL AEROSOL 120ML;;;;;;;;;;;;;;0.211;SIMPRO_VIG;2010-06-18;20;
SIMPRO;2026-04-12;medicamento;0000269586;12;;ABBVIE;KALETRA 100+25MG 60CPDS REV.;;;;;;;;;;;;;;7.042;SIMPRO_VIG;2020-07-03;20;
SIMPRO;2026-04-12;medicamento;0000283891;12;;ABBVIE;KALETRA 100MG+25MG 120CPDS REV.;;;;;;;;;;;;;;5.094;SIMPRO_VIG;2020-07-03;20;
SIMPRO;2026-04-12;medicamento;0000123117;12;;ABBOTT;KALETRA 133,3+33,3MG 180CAPS GEL.MOLE;;;;;;;;;;;;;;9.367;SIMPRO_VIG;2014-04-03;20;
SIMPRO;2026-04-12;medicamento;0000115417;12;;ABBVIE;KALETRA 200+50MG 120CPDS REV.;;;;;;;;;;;;;;27.915;SIMPRO_VIG;2024-09-03;20;
SIMPRO;2026-04-12;medicamento;0000123118;12;;ABBVIE;KALETRA 80+20MG/ML SOL.ORAL 160ML+COP.MED.;;;;;;;;;;;;;;6.448;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000279914;12;;ACHE;KALIST 2MG 28CPDS;;;;;;;;;;;;;;2.353;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000315413;12;;HERBARIUM;KALOBA 111,111MG 21CPDS REV.;;;;;;;;;;;;;;5.722;SIMPRO_VIG;2025-04-01;20;
SIMPRO;2026-04-12;medicamento;0000315414;12;;HERBARIUM;KALOBA 111,111MG 6CPDS REV.;;;;;;;;;;;;;;5.717;SIMPRO_VIG;2025-04-01;20;
SIMPRO;2026-04-12;medicamento;0000096681;12;;HERBARIUM;KALOBA 825MG/ML SOL.ORAL FR 20ML;;;;;;;;;;;;;;5.194;SIMPRO_VIG;2025-04-01;20;
SIMPRO;2026-04-12;medicamento;0000096682;12;;HERBARIUM;KALOBA 825MG/ML SOL.ORAL FR 50ML;;;;;;;;;;;;;;3.257;SIMPRO_VIG;2025-04-01;20;
SIMPRO;2026-04-12;medicamento;0000077304;12;;JARREL;KALOL SOL.TOP.10ML;;;;;;;;;;;;;;1.055;SIMPRO_VIG;2012-03-16;20;
SIMPRO;2026-04-12;medicamento;0000134379;12;;JANSSEN-CILAG;KALYAMON KIDS 250ML;;;;;;;;;;;;;;0.13;SIMPRO_VIG;2022-04-12;20;
SIMPRO;2026-04-12;medicamento;0000099428;12;;PHARMASCIENCE;KALYPTOSAN XPE.100ML;;;;;;;;;;;;;;0.136;SIMPRO_VIG;2009-05-29;20;
SIMPRO;2026-04-12;medicamento;0000314171;12;;BIOLAB SANUS;KAMPPI 10MG 30CPDS REV.;;;;;;;;;;;;;;2.112;SIMPRO_VIG;2025-04-09;20;
SIMPRO;2026-04-12;medicamento;0000314172;12;;BIOLAB SANUS;KAMPPI 10MG 60CPDS REV.;;;;;;;;;;;;;;1.397;SIMPRO_VIG;2025-04-09;20;
SIMPRO;2026-04-12;medicamento;0000069765;12;;PANAMERICAN;KAMRHO-D 300MCG SOL.INJ.1FA 2ML;;;;;;;;;;;;;;263.36;SIMPRO_VIG;2025-04-17;20;
SIMPRO;2026-04-12;medicamento;0000172170;12;;ROCHE;KANAKION 2MG SOL.INJ.5AMP+5DOSAD.;;;;;;;;;;;;;;2.702;SIMPRO_VIG;2021-04-13;20;
SIMPRO;2026-04-12;medicamento;0000037154;12;;ROCHE;KANAKION MM 10MG SOL.INJ.5AMP 1ML;;;;;;;;;;;;;;3.622;SIMPRO_VIG;2021-04-13;20;
SIMPRO;2026-04-12;medicamento;0000037153;12;;ROCHE;KANAKION MM 2MG SOL.INJ.5AMP 0,2ML;;;;;;;;;;;;;;1.978;SIMPRO_VIG;2012-04-02;20;
SIMPRO;2026-04-12;medicamento;0000094512;12;;KINDER;KANDISTAT CRM.VAG.60GRS;;;;;;;;;;;;;;0.262;SIMPRO_VIG;2026-03-31;20;
SIMPRO;2026-04-12;medicamento;0000311257;12;;AMGEN;KANJINTI 150MG PO LIOF.SOL.INJ.IV FA;;;;;;;;;;;;;;5746.76;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000311255;12;;AMGEN;KANJINTI 420MG PO LIOF.SOL.INJ.IV FA;;;;;;;;;;;;;;6445.2;SIMPRO_VIG;2022-04-05;20;
SIMPRO;2026-04-12;medicamento;0000311256;12;;AMGEN;KANJINTI 420MG PO LIOF.SOL.INJ.IV FA+ DIL.20ML;;;;;;;;;;;;;;16857.21;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000103409;12;;PHARMASCIENCE;KAOSEC 2MG 12CPDS;;;;;;;;;;;;;;0.4;SIMPRO_VIG;2015-04-01;20;
SIMPRO;2026-04-12;medicamento;0000103410;12;;PHARMASCIENCE;KAOSEC 2MG 200CPDS;;;;;;;;;;;;;;0.297;SIMPRO_VIG;2015-04-01;20;
SIMPRO;2026-04-12;medicamento;0000062315;12;;TORRENT;KARVIL 12,5MG 15CPDS;;;;;;;;;;;;;;1.204;SIMPRO_VIG;2020-07-03;20;
SIMPRO;2026-04-12;medicamento;0000152134;12;;TORRENT;KARVIL 12,5MG 30CPDS;;;;;;;;;;;;;;1.633;SIMPRO_VIG;2022-04-05;20;
SIMPRO;2026-04-12;medicamento;0000152135;12;;TORRENT;KARVIL 25MG 30CPDS;;;;;;;;;;;;;;2.23;SIMPRO_VIG;2022-04-05;20;
SIMPRO;2026-04-12;medicamento;0000062313;12;;TORRENT;KARVIL 3,125MG 15CPDS;;;;;;;;;;;;;;0.934;SIMPRO_VIG;2020-07-03;20;
SIMPRO;2026-04-12;medicamento;0000152132;12;;TORRENT;KARVIL 3,125MG 30CPDS;;;;;;;;;;;;;;1.266;SIMPRO_VIG;2022-04-05;20;
SIMPRO;2026-04-12;medicamento;0000062314;12;;TORRENT;KARVIL 6,25MG 15CPDS;;;;;;;;;;;;;;1.065;SIMPRO_VIG;2020-07-03;20;
SIMPRO;2026-04-12;medicamento;0000152133;12;;TORRENT;KARVIL 6,25MG 30CPDS;;;;;;;;;;;;;;1.446;SIMPRO_VIG;2022-04-05;20;
SIMPRO;2026-04-12;medicamento;0000084481;12;;HIPOLABOR;KATRIM 100AMP 5ML;;;;;;;;;;;;;;0;SIMPRO_VIG;2009-05-12;20;
SIMPRO;2026-04-12;medicamento;0000120650;12;;HIPOLABOR;KATRIM 50AMP 50ML;;;;;;;;;;;;;;0;SIMPRO_VIG;2009-05-12;20;
SIMPRO;2026-04-12;medicamento;0000150933;12;;VITAMEDIC;KATRIZAN 5MG/G+250UI/G POM.DERM.10G;;;;;;;;;;;;;;17.82;SIMPRO_VIG;2026-04-01;20;
SIMPRO;2026-04-12;medicamento;0000256268;12;;VITAPAN;KATRIZAN POM.20G;;;;;;;;;;;;;;0.932;SIMPRO_VIG;2015-04-01;20;
SIMPRO;2026-04-12;medicamento;0000103307;12;;VITAPAN;KATRIZAN POM.20GRS;;;;;;;;;;;;;;24.127;SIMPRO_VIG;2014-09-03;20;
SIMPRO;2026-04-12;medicamento;0000099391;12;;HEXAL;KAVAHEXAL 400MG 30CPDS REV.;;;;;;;;;;;;;;1.98;SIMPRO_VIG;2011-04-27;20;
SIMPRO;2026-04-12;medicamento;0000038236;12;;ATIVUS;KAVAKAN 235MG 30CAPS;;;;;;;;;;;;;;1.64;SIMPRO_VIG;2026-03-31;20;
SIMPRO;2026-04-12;medicamento;0000141478;12;;ATIVUS;KAVAKAN 235MG 8CPDS;;;;;;;;;;;;;;1.474;SIMPRO_VIG;2026-03-31;20;
SIMPRO;2026-04-12;medicamento;0000058508;12;;SIGMA PHARMA;KAVASEDON 125MG 20CAPS;;;;;;;;;;;;;;1.692;SIMPRO_VIG;2011-04-01;20;
SIMPRO;2026-04-12;medicamento;0000108423;12;;BELFAR;KAVAZEPAM 20CAPS;;;;;;;;;;;;;;0;SIMPRO_VIG;2009-09-16;20;
SIMPRO;2026-04-12;medicamento;0000306876;12;;CRISTALIA;KAVIT 10MG/ML 25AMP 1ML;;;;;;;;;;;;;;3.958;SIMPRO_VIG;2025-04-09;20;
SIMPRO;2026-04-12;medicamento;0000042836;12;;CRISTALIA;KAVIT 10MG/ML 50AMP 1ML;;;;;;;;;;;;;;1.17;SIMPRO_VIG;2020-07-07;20;
SIMPRO;2026-04-12;medicamento;0000286464;12;;ZYDUS NIKKHO;KAVIUM 10MG 10CPDS;;;;;;;;;;;;;;24.702;SIMPRO_VIG;2024-04-09;20;
SIMPRO;2026-04-12;medicamento;0000286465;12;;ZYDUS NIKKHO;KAVIUM 10MG 30CPDS;;;;;;;;;;;;;;8.652;SIMPRO_VIG;2025-04-09;20;
SIMPRO;2026-04-12;medicamento;0000286466;12;;ZYDUS NIKKHO;KAVIUM 15MG 10CPDS;;;;;;;;;;;;;;37.06;SIMPRO_VIG;2024-04-09;20;
SIMPRO;2026-04-12;medicamento;0000286467;12;;ZYDUS NIKKHO;KAVIUM 15MG 30CPDS;;;;;;;;;;;;;;12.978;SIMPRO_VIG;2025-04-09;20;
SIMPRO;2026-04-12;medicamento;0000091042;12;;ABL;KEFADIM 1G PO INJ.25FA;;;;;;;;;;;;;;31.793;SIMPRO_VIG;2016-04-08;20;
SIMPRO;2026-04-12;medicamento;0000256002;12;;ABL;KEFADIM 1G PO INJ.50FA;;;;;;;;;;;;;;51.313;SIMPRO_VIG;2025-04-10;20;
