fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
SIMPRO;2026-04-12;medicamento;0000119292;12;;HOSPPHARMA;L-ALANIL GLUTAMINA 1ML;;;;;;;;;;;;;;7.97;SIMPRO_VIG;2016-04-12;20;
SIMPRO;2026-04-12;medicamento;0000284037;12;;LIFE;L-ALANIL L-GLUTAMINA 20% COMPLEMENTO NPT 1ML;;;;;;;;;;;;;;12.74;SIMPRO_VIG;2025-09-16;20;
SIMPRO;2026-04-12;medicamento;0000306836;12;;UNIAO QUIMICA;L-CAPS 60CAPS;;;;;;;;;;;;;;1.609;SIMPRO_VIG;2024-04-05;20;
SIMPRO;2026-04-12;medicamento;0000289629;12;;VITAFOR;L-CARNITINA 120CAPS;;;;;;;;;;;;;;1.867;SIMPRO_VIG;2021-04-13;20;
SIMPRO;2026-04-12;medicamento;0000289628;12;;VITAFOR;L-CARNITINA 60CAPS;;;;;;;;;;;;;;2.2;SIMPRO_VIG;2021-04-13;20;
SIMPRO;2026-04-12;medicamento;0000273069;12;;ACHE;LABEL 15MG/ML XPE 20ML+COP+SER.DOS.;;;;;;;;;;;;;;3.01;SIMPRO_VIG;2023-04-01;20;
SIMPRO;2026-04-12;medicamento;0000173996;12;;ACHE;LABEL 40MG/ML SOL.ORAL 30ML;;;;;;;;;;;;;;1.249;SIMPRO_VIG;2024-02-01;20;
SIMPRO;2026-04-12;medicamento;0000173997;12;;ACHE;LABEL 40MG/ML SOL.ORAL 45ML;;;;;;;;;;;;;;1.258;SIMPRO_VIG;2024-02-01;20;
SIMPRO;2026-04-12;medicamento;0000055371;12;;TEUTO BRAS;LABIGERON 25MG 30CPDS;;;;;;;;;;;;;;0.28;SIMPRO_VIG;2010-04-02;20;
SIMPRO;2026-04-12;medicamento;0000055372;12;;TEUTO BRAS;LABIGERON 75MG 30CPDS;;;;;;;;;;;;;;0.536;SIMPRO_VIG;2016-04-18;20;
SIMPRO;2026-04-12;medicamento;0000040269;12;;APSEN;LABIRIN 16MG 30CPDS;;;;;;;;;;;;;;0.862;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000119669;12;;APSEN;LABIRIN 16MG 60CPDS;;;;;;;;;;;;;;0.824;SIMPRO_VIG;2010-04-01;20;
SIMPRO;2026-04-12;medicamento;0000083401;12;;APSEN;LABIRIN 24MG 20CPDS;;;;;;;;;;;;;;0;SIMPRO_VIG;2009-09-03;20;
SIMPRO;2026-04-12;medicamento;0000119670;12;;APSEN;LABIRIN 24MG 60CPDS;;;;;;;;;;;;;;1.094;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000099793;12;;APSEN;LABIRIN 24MG BL.AL.PLAS.PVDC.30CPDS;;;;;;;;;;;;;;1.462;SIMPRO_VIG;2019-04-02;20;
SIMPRO;2026-04-12;medicamento;0000304318;12;;APSEN;LABIRIN 24MG BL.AL.PLAST.PVC.30CPDS;;;;;;;;;;;;;;1.138;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000040268;12;;APSEN;LABIRIN 8MG 30CPDS;;;;;;;;;;;;;;1.295;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000119668;12;;APSEN;LABIRIN 8MG 60CPDS;;;;;;;;;;;;;;0.683;SIMPRO_VIG;2010-04-01;20;
SIMPRO;2026-04-12;medicamento;0000145496;12;;EUROFARMA-SEG;LABORHEX 0,2% 1000ML;;;;;;;;;;;;;;0.007;SIMPRO_VIG;2010-06-28;20;
SIMPRO;2026-04-12;medicamento;0000145495;12;;EUROFARMA-SEG;LABORHEX 0,2% 100ML;;;;;;;;;;;;;;0.016;SIMPRO_VIG;2010-06-28;20;
SIMPRO;2026-04-12;medicamento;0000142292;12;;EUROFARMA;LABORHEX 0,5% 1000ML;;;;;;;;;;;;;;0.012;SIMPRO_VIG;2012-07-20;20;
SIMPRO;2026-04-12;medicamento;0000142291;12;;EUROFARMA;LABORHEX 0,5% 100ML;;;;;;;;;;;;;;0.038;SIMPRO_VIG;2013-04-01;20;
SIMPRO;2026-04-12;medicamento;0000169503;12;;EUROFARMA;LABORHEX 2% DISP.12UNID;;;;;;;;;;;;;;1.989;SIMPRO_VIG;2013-04-01;20;
SIMPRO;2026-04-12;medicamento;0000142294;12;;EUROFARMA;LABORHEX 2,0% 1000ML;;;;;;;;;;;;;;0.031;SIMPRO_VIG;2013-04-01;20;
SIMPRO;2026-04-12;medicamento;0000142293;12;;EUROFARMA;LABORHEX 2,0% 100ML;;;;;;;;;;;;;;0.033;SIMPRO_VIG;2013-04-01;20;
SIMPRO;2026-04-12;medicamento;0000159210;12;;EUROFARMA;LABORHEX 2,0% BAG 800ML;;;;;;;;;;;;;;0.035;SIMPRO_VIG;2013-04-01;20;
SIMPRO;2026-04-12;medicamento;0000142296;12;;EUROFARMA;LABORHEX 4,0% 1000ML;;;;;;;;;;;;;;0.035;SIMPRO_VIG;2013-04-01;20;
SIMPRO;2026-04-12;medicamento;0000142295;12;;EUROFARMA;LABORHEX 4,0% 100ML;;;;;;;;;;;;;;0.047;SIMPRO_VIG;2013-04-01;20;
SIMPRO;2026-04-12;medicamento;0000169505;12;;EUROFARMA;LABORHEX LOC.AQUOSA HIGIENE FR 1000ML;;;;;;;;;;;;;;0.008;SIMPRO_VIG;2013-04-01;20;
SIMPRO;2026-04-12;medicamento;0000169504;12;;EUROFARMA;LABORHEX LOC.AQUOSA HIGIENE FR 100ML;;;;;;;;;;;;;;0.018;SIMPRO_VIG;2013-04-01;20;
SIMPRO;2026-04-12;medicamento;0000130583;12;;EUROFARMA;LABORIODINE DEGERMANTE 100ML ALMOT.;;;;;;;;;;;;;;0.041;SIMPRO_VIG;2013-04-01;20;
