fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
SIMPRO;2026-04-12;medicamento;0000316289;12;;MANTECORP FARMASA;M-LIX 1MG/G CRM.DERM.20G;;;;;;;;;;;;;;49.3;SIMPRO_VIG;2025-04-09;20;
SIMPRO;2026-04-12;medicamento;0000077916;12;;MERCK SHARP - MSD;M-M-R II PO LIOF.SOL.INJ.FA+FA DIL.;;;;;;;;;;;;;;46.78;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000308330;12;;MERCK S.D;M-M-R II PO LIOF.SOL.INJ.FA.DOSE UNICA+FA DIL.;;;;;;;;;;;;;;34.89;SIMPRO_VIG;2020-06-26;20;
SIMPRO;2026-04-12;medicamento;0000071744;12;;MANTECORP FARMASA;M.M XPE.120ML;;;;;;;;;;;;;;0.153;SIMPRO_VIG;2019-02-01;20;
SIMPRO;2026-04-12;medicamento;0000055326;12;;FARMASA;M.M XPE.200ML;;;;;;;;;;;;;;0.085;SIMPRO_VIG;2010-04-01;20;
SIMPRO;2026-04-12;medicamento;0000072968;12;;SANOFI-AVEN;MAALOX CER.10CPDS F.V;;;;;;;;;;;;;;0.418;SIMPRO_VIG;2010-04-01;20;
SIMPRO;2026-04-12;medicamento;0000072966;12;;SANOFI-AVEN;MAALOX CER.30X10CPDS;;;;;;;;;;;;;;0.443;SIMPRO_VIG;2011-04-01;20;
SIMPRO;2026-04-12;medicamento;0000072965;12;;SANOFI MEDLEY;MAALOX CER.3X10CPDS;;;;;;;;;;;;;;0.712;SIMPRO_VIG;2020-06-02;20;
SIMPRO;2026-04-12;medicamento;0000072967;12;;SANOFI-AVEN;MAALOX MENTA 10CPDS F.V;;;;;;;;;;;;;;0.418;SIMPRO_VIG;2010-04-01;20;
SIMPRO;2026-04-12;medicamento;0000072964;12;;SANOFI-AVEN;MAALOX MENTA 30X10CPDS;;;;;;;;;;;;;;0.418;SIMPRO_VIG;2010-04-01;20;
SIMPRO;2026-04-12;medicamento;0000072963;12;;SANOFI MEDLEY;MAALOX MENTA 3X10CPDS;;;;;;;;;;;;;;0.712;SIMPRO_VIG;2020-06-02;20;
SIMPRO;2026-04-12;medicamento;0000175325;12;;SANOFI-AVENTIS;MAALOX PLUS 153+200+25MG CER.30CPDS MAST.;;;;;;;;;;;;;;0.498;SIMPRO_VIG;2013-04-01;20;
SIMPRO;2026-04-12;medicamento;0000175327;12;;SANOFI-AVENTIS;MAALOX PLUS 153+200+25MG MENTA 30CPDS MAST.;;;;;;;;;;;;;;0.498;SIMPRO_VIG;2013-04-01;20;
SIMPRO;2026-04-12;medicamento;0000175329;12;;SANOFI-AVENTIS;MAALOX PLUS 37+40+5MG/ML CER.SUSP.ORAL 240ML;;;;;;;;;;;;;;0.095;SIMPRO_VIG;2013-04-01;20;
SIMPRO;2026-04-12;medicamento;0000175330;12;;SANOFI-AVENTIS;MAALOX PLUS 37+40+5MG/ML MENTA SUSP.ORAL 240ML;;;;;;;;;;;;;;0.095;SIMPRO_VIG;2013-04-01;20;
SIMPRO;2026-04-12;medicamento;0000015055;12;;ROCHE;MABTHERA 100MG SOL.INJ.2FA 10ML;;;;;;;;;;;;;;1893.845;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000015056;12;;ROCHE;MABTHERA 500MG SOL.INJ.1FA 50ML;;;;;;;;;;;;;;9454.93;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000268408;12;;ROCHE;MABTHERA SC 1400MG SOL.INJ.1FA 11,7ML;;;;;;;;;;;;;;12350.55;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000302572;12;;MANTECORP FARMASA;MACRODANTINA 100MG 144CAPS GEL.DURA;;;;;;;;;;;;;;0.607;SIMPRO_VIG;2025-04-09;20;
SIMPRO;2026-04-12;medicamento;0000089324;12;;MANTECORP FARMASA;MACRODANTINA 100MG 28CAPS;;;;;;;;;;;;;;0.608;SIMPRO_VIG;2025-04-09;20;
SIMPRO;2026-04-12;medicamento;0000092515;12;;BIOFARMA;MACROZOL 10MG 14CAPS;;;;;;;;;;;;;;1.034;SIMPRO_VIG;2026-03-31;20;
SIMPRO;2026-04-12;medicamento;0000092516;12;;BIOFARMA;MACROZOL 20MG 14CAPS;;;;;;;;;;;;;;1.738;SIMPRO_VIG;2026-03-31;20;
SIMPRO;2026-04-12;medicamento;0000092517;12;;BIOFARMA;MACROZOL 20MG 28CAPS;;;;;;;;;;;;;;1.363;SIMPRO_VIG;2026-03-31;20;
SIMPRO;2026-04-12;medicamento;0000092518;12;;BIOFARMA;MACROZOL 20MG 7CAPS;;;;;;;;;;;;;;2.23;SIMPRO_VIG;2026-03-31;20;
SIMPRO;2026-04-12;medicamento;0000092519;12;;BIOFARMA;MACROZOL 40MG 7CAPS;;;;;;;;;;;;;;4.09;SIMPRO_VIG;2026-03-31;20;
SIMPRO;2026-04-12;medicamento;0000106755;12;;PFIZER;MACUGEN 0,3MG SER+EMBOLO+TRAVA PLAST.;;;;;;;;;;;;;;0;SIMPRO_VIG;2009-11-12;20;
SIMPRO;2026-04-12;medicamento;0000295541;12;;ELOFAR;MAGNACAL 30CPDS REV.;;;;;;;;;;;;;;3.775;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000315320;12;;ELOFAR;MAGNACORP OMEGA 3 30CAPS;;;;;;;;;;;;;;2.944;SIMPRO_VIG;2021-04-06;20;
SIMPRO;2026-04-12;medicamento;0000170641;12;;ATIVUS;MAGNALIV 130+2,5+1MG 30CPDS REV.;;;;;;;;;;;;;;1.08;SIMPRO_VIG;2013-06-14;20;
SIMPRO;2026-04-12;medicamento;0000255969;12;;ONEFARMA;MAGNAZIA 153+200+25MG 30CPDS MAST.(ABACAXI);;;;;;;;;;;;;;0.77;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000128387;12;;ONEFARMA;MAGNAZIA SUSP.240ML;;;;;;;;;;;;;;0.085;SIMPRO_VIG;2020-06-02;20;
SIMPRO;2026-04-12;medicamento;0000240013;12;;MARJAN;MAGNEN B6 722,22+1,0MG 10CPDS REV.;;;;;;;;;;;;;;4.283;SIMPRO_VIG;2024-04-05;20;
SIMPRO;2026-04-12;medicamento;0000141394;12;;MARJAN;MAGNEN B6 722,22+1,0MG 30CPDS REV.;;;;;;;;;;;;;;3.988;SIMPRO_VIG;2024-03-01;20;
SIMPRO;2026-04-12;medicamento;0000310604;12;;MARJAN;MAGNEN B6 722,22+1,0MG 60CPDS REV.;;;;;;;;;;;;;;3.563;SIMPRO_VIG;2024-04-05;20;
SIMPRO;2026-04-12;medicamento;0000317838;12;;MARJAN;MAGNEN FEMME 30CPDS REV.;;;;;;;;;;;;;;3.575;SIMPRO_VIG;2026-03-03;20;
SIMPRO;2026-04-12;medicamento;0000108153;12;;PFIZER;MAGNESIA BISURADA 20X10PAST;;;;;;;;;;;;;;0.448;SIMPRO_VIG;2020-06-30;20;
