fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
SIMPRO;2026-04-12;medicamento;0000037016;12;;ALLERGAN;NAABAK 5ML;;;;;;;;;;;;;;0;SIMPRO_VIG;2009-07-03;20;
SIMPRO;2026-04-12;medicamento;0000096194;12;;EMS OTC;NAC 200MG GRAN.16ENV.5G;;;;;;;;;;;;;;1.745;SIMPRO_VIG;2024-01-16;20;
SIMPRO;2026-04-12;medicamento;0000289000;12;;EMS OTC;NAC 20MG/ML XPE INF.150ML;;;;;;;;;;;;;;0.215;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000096193;12;;SIGMA PHARMA;NAC 20MG/ML XPE.100ML;;;;;;;;;;;;;;0.12;SIMPRO_VIG;2011-04-01;20;
SIMPRO;2026-04-12;medicamento;0000104362;12;;EMS OTC;NAC 20MG/ML XPE.INF.150ML;;;;;;;;;;;;;;0.118;SIMPRO_VIG;2015-04-01;20;
SIMPRO;2026-04-12;medicamento;0000289001;12;;EMS OTC;NAC 40MG/ML XPE ADU.150ML;;;;;;;;;;;;;;0.291;SIMPRO_VIG;2024-01-16;20;
SIMPRO;2026-04-12;medicamento;0000100010;12;;SIGMA PHARMA;NAC 40MG/ML XPE.ADU.120ML;;;;;;;;;;;;;;0.144;SIMPRO_VIG;2011-04-01;20;
SIMPRO;2026-04-12;medicamento;0000104366;12;;EMS OTC;NAC 40MG/ML XPE.ADU.150ML;;;;;;;;;;;;;;0.169;SIMPRO_VIG;2015-04-01;20;
SIMPRO;2026-04-12;medicamento;0000100008;12;;EMS OTC;NAC 600MG GRANULADO 16ENV.5G;;;;;;;;;;;;;;4.236;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000120691;12;;HIPOLABOR;NACLOFAN 15MG/ML 200X10ML GTS;;;;;;;;;;;;;;0;SIMPRO_VIG;2009-05-12;20;
SIMPRO;2026-04-12;medicamento;0000145517;12;;HIPOLABOR;NACLOFAN 15MG/ML 20ML;;;;;;;;;;;;;;0.417;SIMPRO_VIG;2013-12-03;20;
SIMPRO;2026-04-12;medicamento;0000145519;12;;HIPOLABOR;NACLOFAN 50MG 20CPDS;;;;;;;;;;;;;;0.47;SIMPRO_VIG;2013-12-03;20;
SIMPRO;2026-04-12;medicamento;0000174054;12;;LIBBS;NACTALI 75MCG 28CPDS REV.;;;;;;;;;;;;;;49.93;SIMPRO_VIG;2025-04-04;20;
