fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
SIMPRO;2026-04-12;medicamento;0000042152;12;;ZODIAC;O-PLAT 100MG PO LIOF.1FA;;;;;;;;;;;;;;4205.35;SIMPRO_VIG;2019-04-09;20;
SIMPRO;2026-04-12;medicamento;0000042151;12;;ZODIAC;O-PLAT 50MG PO LIOF.1FA;;;;;;;;;;;;;;2102.63;SIMPRO_VIG;2019-04-09;20;
SIMPRO;2026-04-12;medicamento;0000103830;12;;HIPOLABOR;OCINOFLOX 400MG 14CPDS;;;;;;;;;;;;;;2.765;SIMPRO_VIG;2026-03-31;20;
SIMPRO;2026-04-12;medicamento;0000084444;12;;HIPOLABOR;OCINOFLOX 400MG 420CPDS;;;;;;;;;;;;;;0.553;SIMPRO_VIG;2009-05-12;20;
SIMPRO;2026-04-12;medicamento;0000134256;12;;BIOCHIMICO;OCITOC 5UI 100AMP;;;;;;;;;;;;;;1.178;SIMPRO_VIG;2012-04-01;20;
SIMPRO;2026-04-12;medicamento;0000134253;12;;BIOCHIMICO;OCITOC 5UI 1AMP;;;;;;;;;;;;;;1.17;SIMPRO_VIG;2012-04-01;20;
SIMPRO;2026-04-12;medicamento;0000134255;12;;BIOCHIMICO;OCITOC 5UI 50AMP;;;;;;;;;;;;;;1.178;SIMPRO_VIG;2012-04-01;20;
SIMPRO;2026-04-12;medicamento;0000134254;12;;BIOCHIMICO;OCITOC 5UI 5AMP;;;;;;;;;;;;;;1.178;SIMPRO_VIG;2012-04-01;20;
SIMPRO;2026-04-12;medicamento;0000148651;12;;BLAU;OCITOCINA 5UI/ML SOL.INJ.50AMP 1ML;;;;;;;;;;;;;;6.421;SIMPRO_VIG;2025-04-01;20;
SIMPRO;2026-04-12;medicamento;0000148652;12;;BLAU;OCITOCINA GEN.5UI/ML SOL.INJ.100AMP 1ML(EMB.HOSP.);;;;;;;;;;;;;;1.287;SIMPRO_VIG;2016-04-19;20;
SIMPRO;2026-04-12;medicamento;0000256348;12;;BLAU;OCITOCINA GEN.5UI/ML SOL.INJ.1AMP 1ML(EMB.HOSP.);;;;;;;;;;;;;;1.3;SIMPRO_VIG;2016-04-19;20;
SIMPRO;2026-04-12;medicamento;0000256347;12;;BLAU;OCITOCINA GEN.5UI/ML SOL.INJ.5AMP 1ML(EMB.HOSP.);;;;;;;;;;;;;;1.29;SIMPRO_VIG;2016-04-19;20;
SIMPRO;2026-04-12;medicamento;0000299221;12;;ROCHE;OCREVUS 30MG/ML SOL.DIL.INFUS.IV 10ML;;;;;;;;;;;;;;42003.64;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000153586;12;;OCTAPHARMA;OCTAGAM 100MG/ML SOL.INJ.1FA 100ML;;;;;;;;;;;;;;28.927;SIMPRO_VIG;2016-04-19;20;
SIMPRO;2026-04-12;medicamento;0000153588;12;;OCTAPHARMA;OCTAGAM 100MG/ML SOL.INJ.1FA 200ML;;;;;;;;;;;;;;28.927;SIMPRO_VIG;2016-04-19;20;
SIMPRO;2026-04-12;medicamento;0000153587;12;;OCTAPHARMA;OCTAGAM 100MG/ML SOL.INJ.1FA 20ML;;;;;;;;;;;;;;28.927;SIMPRO_VIG;2016-04-19;20;
SIMPRO;2026-04-12;medicamento;0000153589;12;;OCTAPHARMA;OCTAGAM 100MG/ML SOL.INJ.1FA 50ML;;;;;;;;;;;;;;28.926;SIMPRO_VIG;2016-04-19;20;
SIMPRO;2026-04-12;medicamento;0000153585;12;;OCTAPHARMA;OCTAGAM 10GR SOL.INJ.1FA 200ML;;;;;;;;;;;;;;13.101;SIMPRO_VIG;2016-04-19;20;
