fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
SIMPRO;2026-04-12;medicamento;0000134429;12;;D.G.L;P.V.P.IODINE ALCOOLICO 100ML;;;;;;;;;;;;;;0.019;SIMPRO_VIG;2012-01-16;20;
SIMPRO;2026-04-12;medicamento;0000134428;12;;D.G.L;P.V.P.IODINE ALCOOLICO 60ML;;;;;;;;;;;;;;0.027;SIMPRO_VIG;2012-01-16;20;
SIMPRO;2026-04-12;medicamento;0000004355;12;;D.G.L;P.V.P.IODINE DEGERMANTE 1000ML;;;;;;;;;;;;;;0.017;SIMPRO_VIG;2012-08-28;20;
SIMPRO;2026-04-12;medicamento;0000134427;12;;D.G.L;P.V.P.IODINE DEGERMANTE 100ML;;;;;;;;;;;;;;0.019;SIMPRO_VIG;2012-08-28;20;
SIMPRO;2026-04-12;medicamento;0000134426;12;;D.G.L;P.V.P.IODINE DEGERMANTE 60ML;;;;;;;;;;;;;;0.027;SIMPRO_VIG;2012-01-16;20;
SIMPRO;2026-04-12;medicamento;0000004356;12;;D.G.L;P.V.P.IODINE TOPICO 1000ML;;;;;;;;;;;;;;0.017;SIMPRO_VIG;2012-08-28;20;
SIMPRO;2026-04-12;medicamento;0000134431;12;;D.G.L;P.V.P.IODINE TOPICO 100ML;;;;;;;;;;;;;;0.019;SIMPRO_VIG;2012-08-28;20;
SIMPRO;2026-04-12;medicamento;0000134430;12;;D.G.L;P.V.P.IODINE TOPICO 60ML;;;;;;;;;;;;;;0.025;SIMPRO_VIG;2012-01-16;20;
SIMPRO;2026-04-12;medicamento;0000164492;12;;UCB BIOPHARMA;PACLIMEIZ 6MG/ML SOL.INJ.1FA 16,67ML;;;;;;;;;;;;;;2428.75;SIMPRO_VIG;2017-04-11;20;
SIMPRO;2026-04-12;medicamento;0000164490;12;;UCB BIOPHARMA;PACLIMEIZ 6MG/ML SOL.INJ.1FA 5ML;;;;;;;;;;;;;;690.45;SIMPRO_VIG;2017-04-11;20;
SIMPRO;2026-04-12;medicamento;0000164489;12;;UCB BIOPHARMA;PACLIMEIZ 6MG/ML SOL.INJ.5FA 16,67ML;;;;;;;;;;;;;;2042.828;SIMPRO_VIG;2017-04-11;20;
