fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
SIMPRO;2026-04-12;medicamento;0000030276;12;;SANDOZ;QIFTRIM 400/80MG 20CPDS;;;;;;;;;;;;;;0.612;SIMPRO_VIG;2018-12-04;20;
SIMPRO;2026-04-12;medicamento;0000035588;12;;SANDOZ;QIFTRIM F 800+160MG 10CPDS;;;;;;;;;;;;;;1.214;SIMPRO_VIG;2018-12-04;20;
SIMPRO;2026-04-12;medicamento;0000150328;12;;BAYER;QLAIRA 28CPDS;;;;;;;;;;;;;;2.604;SIMPRO_VIG;2024-04-05;20;
SIMPRO;2026-04-12;medicamento;0000315175;12;;ASTRAZENECA;QTERN 5+10,0MG 30CPDS REV.;;;;;;;;;;;;;;10.2;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000315176;12;;ASTRAZENECA;QTERN 5+10,0MG 7CPDS REV.;;;;;;;;;;;;;;10.199;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000060577;12;;HERALD'S;QUADERMIN 20GRS;;;;;;;;;;;;;;1.083;SIMPRO_VIG;2011-04-01;20;
SIMPRO;2026-04-12;medicamento;0000104751;12;;BELFAR;QUADRIBETA 0,5+1,0+10,0+10,0MG/G POM 20G;;;;;;;;;;;;;;1.867;SIMPRO_VIG;2025-04-17;20;
SIMPRO;2026-04-12;medicamento;0000143568;12;;MANTECORP;QUADRIDERM CRM.DERM.10GRS;;;;;;;;;;;;;;1.329;SIMPRO_VIG;2011-04-01;20;
SIMPRO;2026-04-12;medicamento;0000143569;12;;MANTECORP;QUADRIDERM POM.DERM.10GRS;;;;;;;;;;;;;;1.586;SIMPRO_VIG;2014-04-01;20;
SIMPRO;2026-04-12;medicamento;0000076840;12;;SANDOZ;QUADRIHEXAL CRM.20GRS;;;;;;;;;;;;;;1.205;SIMPRO_VIG;2012-05-01;20;
SIMPRO;2026-04-12;medicamento;0000094573;12;;KINDER;QUADRIKIN CRM.DERM.15GRS;;;;;;;;;;;;;;1.156;SIMPRO_VIG;2026-03-31;20;
SIMPRO;2026-04-12;medicamento;0000094574;12;;KINDER;QUADRIKIN POM.DERM.15GRS;;;;;;;;;;;;;;1.107;SIMPRO_VIG;2026-03-31;20;
SIMPRO;2026-04-12;medicamento;0000298829;12;;NEO QUIMICA;QUADRILON 0,50+1+10+10MG/G CREM.DERM.20G;;;;;;;;;;;;;;1.918;SIMPRO_VIG;2025-04-09;20;
SIMPRO;2026-04-12;medicamento;0000021149;12;;NEO QUIMICA;QUADRILON 0,50+1+10+10MG/G POM.DERM.15G;;;;;;;;;;;;;;1.421;SIMPRO_VIG;2020-06-09;20;
SIMPRO;2026-04-12;medicamento;0000298830;12;;NEO QUIMICA;QUADRILON 0,50+1+10+10MG/G POM.DERM.20G;;;;;;;;;;;;;;1.918;SIMPRO_VIG;2025-04-09;20;
SIMPRO;2026-04-12;medicamento;0000115386;12;;PHARMASCIENCE;QUADRINAX CRM.20GRS;;;;;;;;;;;;;;1.028;SIMPRO_VIG;2026-03-31;20;
SIMPRO;2026-04-12;medicamento;0000115387;12;;PHARMASCIENCE;QUADRINAX POM.20GRS;;;;;;;;;;;;;;1.004;SIMPRO_VIG;2026-03-31;20;
SIMPRO;2026-04-12;medicamento;0000103330;12;;VITAMEDIC;QUADRINEO CRM.15G;;;;;;;;;;;;;;1.69;SIMPRO_VIG;2023-04-14;20;
SIMPRO;2026-04-12;medicamento;0000103331;12;;VITAMEDIC;QUADRINEO POM.15G;;;;;;;;;;;;;;1.383;SIMPRO_VIG;2023-04-14;20;
SIMPRO;2026-04-12;medicamento;0000035388;12;;DELTA;QUADRIPLUS CRM.20GRS;;;;;;;;;;;;;;1.14;SIMPRO_VIG;2010-04-01;20;
SIMPRO;2026-04-12;medicamento;0000035389;12;;DELTA;QUADRIPLUS POM.20GRS;;;;;;;;;;;;;;1.202;SIMPRO_VIG;2010-04-01;20;
SIMPRO;2026-04-12;medicamento;0000153623;12;;CIMED;QUADRITOP 0,5+1,0+10+10MG/G CRM.DERM.20GRS;;;;;;;;;;;;;;2.06;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000310827;12;;UNIAO QUIMICA;QUATRIN 0,5+1+10+10MG/G CRM.DERM.20G;;;;;;;;;;;;;;40.81;SIMPRO_VIG;2024-04-05;20;
SIMPRO;2026-04-12;medicamento;0000079661;12;;CIFARMA;QUEIMALIVE POM.30GRS;;;;;;;;;;;;;;0.922;SIMPRO_VIG;2025-04-09;20;
SIMPRO;2026-04-12;medicamento;0000248026;12;;CIFARMA;QUEIMALIVE SUN 50ML;;;;;;;;;;;;;;0.438;SIMPRO_VIG;2017-04-07;20;
SIMPRO;2026-04-12;medicamento;0000295293;12;;MOMENTA FARMACEUTICA;QUELATUS 30CPDS;;;;;;;;;;;;;;3.386;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000171886;12;;MOMENTA FARMACEUTICA;QUELATUS 60CPDS;;;;;;;;;;;;;;1.755;SIMPRO_VIG;2021-11-03;20;
SIMPRO;2026-04-12;medicamento;0000299225;12;;MOMENTA FARMACEUTICA;QUELATUS BARI 30CPDS MAST.;;;;;;;;;;;;;;2.188;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000299226;12;;MOMENTA FARMACEUTICA;QUELATUS BARI 60CPDS MAST.;;;;;;;;;;;;;;1.986;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000311756;12;;MOMENTA FARMACEUTICA;QUELATUS GEST 60CAPS;;;;;;;;;;;;;;1.976;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000284675;12;;MOMENTA FARMACEUTICA;QUELATUS MIND 60CAPS;;;;;;;;;;;;;;2.139;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000284674;12;;MOMENTA FARMACEUTICA;QUELATUS MULHER 30CPDS;;;;;;;;;;;;;;2.701;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000295294;12;;MOMENTA FARMACEUTICA;QUELATUS SENIOR 30CPDS;;;;;;;;;;;;;;3.386;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000171885;12;;MOMENTA FARMACEUTICA;QUELATUS SENIOR 60CPDS;;;;;;;;;;;;;;1.755;SIMPRO_VIG;2021-11-03;20;
SIMPRO;2026-04-12;medicamento;0000094476;12;;PFIZER;QUEMICETINA 500MG 100CPDS;;;;;;;;;;;;;;1.719;SIMPRO_VIG;2016-04-08;20;
SIMPRO;2026-04-12;medicamento;0000094477;12;;PFIZER;QUEMICETINA 500MG 20CPDS;;;;;;;;;;;;;;2.021;SIMPRO_VIG;2016-04-08;20;
SIMPRO;2026-04-12;medicamento;0000244555;12;;GLAXOSMITH;QUEOPINE 100MG 10CPDS REV.;;;;;;;;;;;;;;4.756;SIMPRO_VIG;2019-04-05;20;
SIMPRO;2026-04-12;medicamento;0000306715;12;;DR.REDDY'S;QUEOPINE 100MG 10CPDS REV.;;;;;;;;;;;;;;21.579;SIMPRO_VIG;2024-04-09;20;
SIMPRO;2026-04-12;medicamento;0000173742;12;;GLAXOSMITH;QUEOPINE 100MG 30CPDS REV.;;;;;;;;;;;;;;4.756;SIMPRO_VIG;2019-04-05;20;
SIMPRO;2026-04-12;medicamento;0000306716;12;;DR.REDDY'S;QUEOPINE 100MG 30CPDS REV.;;;;;;;;;;;;;;22.249;SIMPRO_VIG;2025-08-13;20;
SIMPRO;2026-04-12;medicamento;0000244556;12;;GLAXOSMITH;QUEOPINE 200MG 10CPDS REV.;;;;;;;;;;;;;;7.658;SIMPRO_VIG;2019-04-05;20;
SIMPRO;2026-04-12;medicamento;0000306717;12;;DR.REDDY'S;QUEOPINE 200MG 10CPDS REV.;;;;;;;;;;;;;;37.979;SIMPRO_VIG;2024-04-09;20;
SIMPRO;2026-04-12;medicamento;0000173743;12;;GLAXOSMITH;QUEOPINE 200MG 30CPDS REV.;;;;;;;;;;;;;;7.659;SIMPRO_VIG;2019-04-05;20;
SIMPRO;2026-04-12;medicamento;0000306718;12;;DR.REDDY'S;QUEOPINE 200MG 30CPDS REV.;;;;;;;;;;;;;;37.982;SIMPRO_VIG;2024-04-09;20;
SIMPRO;2026-04-12;medicamento;0000173740;12;;GLAXOSMITH;QUEOPINE 25MG 10CPDS REV.;;;;;;;;;;;;;;1.314;SIMPRO_VIG;2019-04-05;20;
SIMPRO;2026-04-12;medicamento;0000306719;12;;DR.REDDY'S;QUEOPINE 25MG 10CPDS REV.;;;;;;;;;;;;;;6.753;SIMPRO_VIG;2024-04-09;20;
SIMPRO;2026-04-12;medicamento;0000173741;12;;GLAXOSMITH;QUEOPINE 25MG 30CPDS REV.;;;;;;;;;;;;;;1.316;SIMPRO_VIG;2019-04-05;20;
SIMPRO;2026-04-12;medicamento;0000306720;12;;DR.REDDY'S;QUEOPINE 25MG 30CPDS REV.;;;;;;;;;;;;;;6.956;SIMPRO_VIG;2025-08-13;20;
