fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
SIMPRO;2026-04-12;medicamento;0000257127;12;;SANDOZ;RABEPRAZOL SODICO 10MG 14CPDS REV.LIB.RETARD.;;;;;;;;;;;;;;5.107;SIMPRO_VIG;2022-04-26;20;
SIMPRO;2026-04-12;medicamento;0000257130;12;;SANDOZ;RABEPRAZOL SODICO 20MG 14CPDS REV.LIB.RETARD.;;;;;;;;;;;;;;7.654;SIMPRO_VIG;2020-06-30;20;
SIMPRO;2026-04-12;medicamento;0000257136;12;;SANDOZ;RABEPRAZOL SODICO 20MG 28CPDS REV.LIB.RETARD.;;;;;;;;;;;;;;9.288;SIMPRO_VIG;2022-04-26;20;
SIMPRO;2026-04-12;medicamento;0000172536;12;;FRESENIUS KABI;RABINEFIL 10MG PO LIOF.1FA 10ML;;;;;;;;;;;;;;96.9;SIMPRO_VIG;2022-04-12;20;
SIMPRO;2026-04-12;medicamento;0000092543;12;;BIOFARMA;RABIODINA 150MG 20CPDS;;;;;;;;;;;;;;0.643;SIMPRO_VIG;2026-03-31;20;
SIMPRO;2026-04-12;medicamento;0000092542;12;;BIOFARMA;RABIODINA 300MG 8CPDS;;;;;;;;;;;;;;1.198;SIMPRO_VIG;2026-03-31;20;
SIMPRO;2026-04-12;medicamento;0000092544;12;;BIOFARMA;RABIODINA 5AMP 2ML;;;;;;;;;;;;;;0;SIMPRO_VIG;2009-05-12;20;
SIMPRO;2026-04-12;medicamento;0000261655;12;;BIOSINTETICA;RACECADOTRILA 100MG 9CAPS GEL.DURA;;;;;;;;;;;;;;3.057;SIMPRO_VIG;2020-06-23;20;
SIMPRO;2026-04-12;medicamento;0000308504;12;;ACHE;RACECADOTRILA 100MG 9CAPS GEL.DURA;;;;;;;;;;;;;;4.021;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000140201;12;;GLENMARK;RADIAPLEX 170G;;;;;;;;;;;;;;0.815;SIMPRO_VIG;2013-10-22;20;
SIMPRO;2026-04-12;medicamento;0000099676;12;;NIKKHO;RADIFREE 150MG 2X10CAPS GEL;;;;;;;;;;;;;;2.32;SIMPRO_VIG;2026-03-31;20;
SIMPRO;2026-04-12;medicamento;0000099677;12;;ZYDUS NIKKHO;RADIFREE 150MG 3X10CAPS GEL;;;;;;;;;;;;;;2.882;SIMPRO_VIG;2017-04-01;20;
SIMPRO;2026-04-12;medicamento;0000155169;12;;MEDLEY;RAFEX 120MG 10CPDS REV.;;;;;;;;;;;;;;3.953;SIMPRO_VIG;2020-04-01;20;
SIMPRO;2026-04-12;medicamento;0000155170;12;;MEDLEY;RAFEX 180MG 10CPDS REV.;;;;;;;;;;;;;;6.037;SIMPRO_VIG;2020-04-01;20;
SIMPRO;2026-04-12;medicamento;0000127864;12;;SIGMA PHARMA;RAMIPRESS HCT 5+25MG 3X10CPDS;;;;;;;;;;;;;;1.923;SIMPRO_VIG;2012-04-01;20;
SIMPRO;2026-04-12;medicamento;0000084288;12;;BIOSINTETICA;RAMIPRIL 2,5MG 20CPDS;;;;;;;;;;;;;;1.47;SIMPRO_VIG;2020-06-23;20;
SIMPRO;2026-04-12;medicamento;0000084289;12;;BIOSINTETICA;RAMIPRIL 2,5MG 30CPDS;;;;;;;;;;;;;;1.359;SIMPRO_VIG;2020-06-23;20;
SIMPRO;2026-04-12;medicamento;0000092957;12;;SANDOZ;RAMIPRIL 2,5MG 30CPDS;;;;;;;;;;;;;;1.716;SIMPRO_VIG;2018-12-04;20;
SIMPRO;2026-04-12;medicamento;0000133469;12;;SANOFI MEDLEY;RAMIPRIL 2,5MG 30CPDS;;;;;;;;;;;;;;2.859;SIMPRO_VIG;2022-04-05;20;
SIMPRO;2026-04-12;medicamento;0000147651;12;;SANOFI MEDLEY;RAMIPRIL 2,5MG 30CPDS..;;;;;;;;;;;;;;2.106;SIMPRO_VIG;2026-03-31;20;
SIMPRO;2026-04-12;medicamento;0000261678;12;;SANOFI MEDLEY;RAMIPRIL 2,5MG 60CPDS;;;;;;;;;;;;;;2.143;SIMPRO_VIG;2022-04-05;20;
