fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
SIMPRO;2026-04-12;medicamento;0000102865;12;;GEYER;SABOFEN 0,007G/G+1G SABONETE 100GRS;;;;;;;;;;;;;;0.382;SIMPRO_VIG;2022-04-12;20;
SIMPRO;2026-04-12;medicamento;0000102864;12;;GEYER;SABOFEN 0,007G/G+1G SABONETE 50GRS;;;;;;;;;;;;;;0.533;SIMPRO_VIG;2022-04-12;20;
SIMPRO;2026-04-12;medicamento;0000102866;12;;GEYER;SABOFEN 10% SABONETE LIQUIDO 100ML;;;;;;;;;;;;;;0.283;SIMPRO_VIG;2013-04-09;20;
SIMPRO;2026-04-12;medicamento;0000130284;12;;WALKMED;SABONETE ANTI-SEPTICO C/CLOREXIDINA BAKTOSEPT 1000ML 12UNID;;;;;;;;;;;;;;27;SIMPRO_VIG;2008-07-17;20;
SIMPRO;2026-04-12;medicamento;0000130283;12;;WALKMED;SABONETE ANTI-SEPTICO C/CLOREXIDINA BAKTOSEPT 100ML 20UNID;;;;;;;;;;;;;;11.85;SIMPRO_VIG;2008-07-17;20;
SIMPRO;2026-04-12;medicamento;0000130286;12;;WALKMED;SABONETE ANTI-SEPTICO C/TRICLOSAN BAKTOSAN 1000ML 12UNID;;;;;;;;;;;;;;23;SIMPRO_VIG;2008-07-17;20;
SIMPRO;2026-04-12;medicamento;0000130285;12;;WALKMED;SABONETE ANTI-SEPTICO C/TRICLOSAN BAKTOSAN 100ML 20UNID;;;;;;;;;;;;;;10.5;SIMPRO_VIG;2008-07-17;20;
SIMPRO;2026-04-12;medicamento;0000133552;12;;PHARMASCIENCE;SABONETE GLICERINA 100GRS;;;;;;;;;;;;;;0;SIMPRO_VIG;2009-06-18;20;
SIMPRO;2026-04-12;medicamento;0000138099;12;;ICAR;SABUGUEIRO FLOR 10GRS;;;;;;;;;;;;;;0;SIMPRO_VIG;2009-08-13;20;
SIMPRO;2026-04-12;medicamento;0000140216;12;;GLENMARK;SACIETTE 10MG 10CAPS;;;;;;;;;;;;;;1.484;SIMPRO_VIG;2011-04-01;20;
SIMPRO;2026-04-12;medicamento;0000140217;12;;GLENMARK;SACIETTE 10MG 30CAPS GEL.DURA;;;;;;;;;;;;;;1.428;SIMPRO_VIG;2019-04-09;20;
SIMPRO;2026-04-12;medicamento;0000140218;12;;GLENMARK;SACIETTE 10MG 40CAPS;;;;;;;;;;;;;;0.794;SIMPRO_VIG;2010-06-18;20;
SIMPRO;2026-04-12;medicamento;0000140219;12;;GLENMARK;SACIETTE 15MG 10CAPS;;;;;;;;;;;;;;1.868;SIMPRO_VIG;2011-04-01;20;
SIMPRO;2026-04-12;medicamento;0000140220;12;;GLENMARK;SACIETTE 15MG 30CAPS GEL.DURA;;;;;;;;;;;;;;1.766;SIMPRO_VIG;2022-04-12;20;
SIMPRO;2026-04-12;medicamento;0000140221;12;;GLENMARK;SACIETTE 15MG 40CAPS;;;;;;;;;;;;;;0.937;SIMPRO_VIG;2010-06-18;20;
SIMPRO;2026-04-12;medicamento;0000161331;12;;MUNDI PHARMA;SAFLUTAN 15MCG/ML SOL.OFT.30FLAC.0,3ML;;;;;;;;;;;;;;159.69;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000092549;12;;BIOFARMA;SAISTRAT 200ENV 27,9GRS;;;;;;;;;;;;;;2.978;SIMPRO_VIG;2026-03-31;20;
SIMPRO;2026-04-12;medicamento;0000092547;12;;BIOFARMA;SAISTRAT 4ENV 27,9GRS;;;;;;;;;;;;;;3.158;SIMPRO_VIG;2026-03-31;20;
SIMPRO;2026-04-12;medicamento;0000092548;12;;BIOFARMA;SAISTRAT 6ENV 27,9GRS;;;;;;;;;;;;;;2.812;SIMPRO_VIG;2026-03-31;20;
SIMPRO;2026-04-12;medicamento;0000244977;12;;MERCK S.A;SAIZEN 5,83MG/ML SOL.INJ.1FA 1,03ML;;;;;;;;;;;;;;756.06;SIMPRO_VIG;2025-04-23;20;
SIMPRO;2026-04-12;medicamento;0000070990;12;;MERCK S.A;SAIZEN 8MG PO LIOF.1FA+DIL.1ML;;;;;;;;;;;;;;930.85;SIMPRO_VIG;2023-04-03;20;
SIMPRO;2026-04-12;medicamento;0000244978;12;;MERCK S.A;SAIZEN 8MG/ML SOL.INJ.1FA 1,5ML;;;;;;;;;;;;;;1512.16;SIMPRO_VIG;2025-04-23;20;
SIMPRO;2026-04-12;medicamento;0000244979;12;;MERCK S.A;SAIZEN 8MG/ML SOL.INJ.1FA 2,5ML;;;;;;;;;;;;;;2520.29;SIMPRO_VIG;2025-04-23;20;
SIMPRO;2026-04-12;medicamento;0000035584;12;;RIOQUIMICA;SAL AMARGO 25G 0637;;;;;;;;;;;;;;0.147;SIMPRO_VIG;2020-04-07;20;
SIMPRO;2026-04-12;medicamento;0000280852;12;;HALEON;SAL ANDREWS 176,50MG PO EFERV.2ENV.5G;;;;;;;;;;;;;;0.885;SIMPRO_VIG;2021-06-01;20;
SIMPRO;2026-04-12;medicamento;0000023679;12;;HALEON;SAL ANDREWS 176,50MG PO EFEV.60ENV.5G;;;;;;;;;;;;;;0.886;SIMPRO_VIG;2021-06-01;20;
SIMPRO;2026-04-12;medicamento;0000023680;12;;HALEON;SAL ANDREWS 1ENV 5G F.V.;;;;;;;;;;;;;;0.162;SIMPRO_VIG;2020-08-01;20;
SIMPRO;2026-04-12;medicamento;0000269519;12;;HALEON;SAL FRUTA ENO CAMOMILA 2ENV.5G;;;;;;;;;;;;;;1.6;SIMPRO_VIG;2020-08-01;20;
SIMPRO;2026-04-12;medicamento;0000269520;12;;HALEON;SAL FRUTA ENO CAMOMILA 60ENV.5G;;;;;;;;;;;;;;1.601;SIMPRO_VIG;2020-08-01;20;
SIMPRO;2026-04-12;medicamento;0000269518;12;;HALEON;SAL FRUTA ENO CAMOMILA PO 100G;;;;;;;;;;;;;;0.21;SIMPRO_VIG;2020-08-01;20;
SIMPRO;2026-04-12;medicamento;0000151408;12;;HALEON;SAL FRUTA ENO PO EFEV.100G ABACAXI;;;;;;;;;;;;;;0.314;SIMPRO_VIG;2026-04-01;20;
SIMPRO;2026-04-12;medicamento;0000098292;12;;HALEON;SAL FRUTA ENO PO EFEV.100G GUARANA;;;;;;;;;;;;;;0.314;SIMPRO_VIG;2026-04-01;20;
SIMPRO;2026-04-12;medicamento;0000133585;12;;HALEON;SAL FRUTA ENO PO EFEV.100G LIMAO;;;;;;;;;;;;;;0.314;SIMPRO_VIG;2026-04-01;20;
SIMPRO;2026-04-12;medicamento;0000151411;12;;HALEON;SAL FRUTA ENO PO EFEV.2ENV.5G ABACAXI F.V.;;;;;;;;;;;;;;2.55;SIMPRO_VIG;2026-04-01;20;
SIMPRO;2026-04-12;medicamento;0000133713;12;;HALEON;SAL FRUTA ENO PO EFEV.2ENV.5G F.V.;;;;;;;;;;;;;;2.55;SIMPRO_VIG;2026-04-01;20;
SIMPRO;2026-04-12;medicamento;0000133715;12;;HALEON;SAL FRUTA ENO PO EFEV.2ENV.5G GUARANA F.V;;;;;;;;;;;;;;5.1;SIMPRO_VIG;2026-04-01;20;
SIMPRO;2026-04-12;medicamento;0000133714;12;;HALEON;SAL FRUTA ENO PO EFEV.2ENV.5G LARANJA F.V.;;;;;;;;;;;;;;2.55;SIMPRO_VIG;2026-04-01;20;
SIMPRO;2026-04-12;medicamento;0000133716;12;;HALEON;SAL FRUTA ENO PO EFEV.2ENV.5G LIMAO F.V.;;;;;;;;;;;;;;2.55;SIMPRO_VIG;2026-04-01;20;
SIMPRO;2026-04-12;medicamento;0000316481;12;;HALEON;SAL FRUTA ENO PO EFEV.2ENV.5G TUTTI F F.V.;;;;;;;;;;;;;;2.44;SIMPRO_VIG;2025-05-01;20;
SIMPRO;2026-04-12;medicamento;0000316480;12;;HALEON;SAL FRUTA ENO PO EFEV.60ENV 5G TUTTI-FRUTTI;;;;;;;;;;;;;;146.42;SIMPRO_VIG;2025-05-01;20;
SIMPRO;2026-04-12;medicamento;0000073942;12;;HALEON;SAL FRUTA ENO PO EFEV.60ENV.5G;;;;;;;;;;;;;;2.551;SIMPRO_VIG;2026-04-01;20;
SIMPRO;2026-04-12;medicamento;0000151410;12;;HALEON;SAL FRUTA ENO PO EFEV.60ENV.5G ABACAXI;;;;;;;;;;;;;;2.551;SIMPRO_VIG;2026-04-01;20;
SIMPRO;2026-04-12;medicamento;0000102295;12;;HALEON;SAL FRUTA ENO PO EFEV.60ENV.5G GUARANA;;;;;;;;;;;;;;2.551;SIMPRO_VIG;2026-04-01;20;
SIMPRO;2026-04-12;medicamento;0000073943;12;;HALEON;SAL FRUTA ENO PO EFEV.60ENV.5G LARANJA;;;;;;;;;;;;;;2.551;SIMPRO_VIG;2026-04-01;20;
SIMPRO;2026-04-12;medicamento;0000119930;12;;HALEON;SAL FRUTA ENO PO EFEV.60ENV.5G LIMAO;;;;;;;;;;;;;;2.551;SIMPRO_VIG;2026-04-01;20;
SIMPRO;2026-04-12;medicamento;0000138610;12;;CAZI;SALAZOPRIN 500MG 20CPDS;;;;;;;;;;;;;;1.403;SIMPRO_VIG;2009-09-15;20;
SIMPRO;2026-04-12;medicamento;0000132149;12;;BRASTERAPICA;SALICETIL 100MG 200CPDS;;;;;;;;;;;;;;0.249;SIMPRO_VIG;2025-04-09;20;
SIMPRO;2026-04-12;medicamento;0000131832;12;;BRASTERAPICA;SALICETIL 100MG 500CPDS;;;;;;;;;;;;;;0.229;SIMPRO_VIG;2025-04-09;20;
SIMPRO;2026-04-12;medicamento;0000034231;12;;DUCTO;SALICIL 100MG INF.20X10CPDS;;;;;;;;;;;;;;0.107;SIMPRO_VIG;2011-05-12;20;
SIMPRO;2026-04-12;medicamento;0000034230;12;;DUCTO;SALICIL 500MG ADU.20X10CPDS;;;;;;;;;;;;;;0.275;SIMPRO_VIG;2011-05-12;20;
SIMPRO;2026-04-12;medicamento;0000061124;12;;NEO QUIMICA;SALIMETIN ESPORT.AEROS.100ML;;;;;;;;;;;;;;0.341;SIMPRO_VIG;2026-03-31;20;
SIMPRO;2026-04-12;medicamento;0000092552;12;;BIOFARMA;SALINDOR 500MG 200CPDS;;;;;;;;;;;;;;0;SIMPRO_VIG;2009-05-12;20;
SIMPRO;2026-04-12;medicamento;0000092550;12;;BIOFARMA;SALINDOR 500MG/ML GTS.10ML;;;;;;;;;;;;;;0.397;SIMPRO_VIG;2026-03-31;20;
SIMPRO;2026-04-12;medicamento;0000092551;12;;BIOFARMA;SALINDOR 500MG/ML GTS.20ML;;;;;;;;;;;;;;0.269;SIMPRO_VIG;2026-03-31;20;
SIMPRO;2026-04-12;medicamento;0000135403;12;;CIFARMA;SALISVIT C 100CPDS EFERV.;;;;;;;;;;;;;;1.463;SIMPRO_VIG;2011-04-08;20;
SIMPRO;2026-04-12;medicamento;0000135404;12;;CIFARMA;SALISVIT C 20CPDS EFERV.;;;;;;;;;;;;;;1.698;SIMPRO_VIG;2011-04-08;20;
SIMPRO;2026-04-12;medicamento;0000079665;12;;CIFARMA;SALITIL 100MG 200CPDS;;;;;;;;;;;;;;0.085;SIMPRO_VIG;2005-09-01;20;
SIMPRO;2026-04-12;medicamento;0000079666;12;;CIFARMA;SALITIL 500MG 100CPDS;;;;;;;;;;;;;;0.228;SIMPRO_VIG;2006-04-01;20;
SIMPRO;2026-04-12;medicamento;0000064007;12;;APSEN;SALIVAN SOL.TOP.SPR.50ML;;;;;;;;;;;;;;0.498;SIMPRO_VIG;2011-04-01;20;
SIMPRO;2026-04-12;medicamento;0000092553;12;;BIOFARMA;SALONFER 300MG 50DRGS;;;;;;;;;;;;;;0.199;SIMPRO_VIG;2026-03-31;20;
SIMPRO;2026-04-12;medicamento;0000092554;12;;BIOFARMA;SALONFER XPE.100ML;;;;;;;;;;;;;;0.068;SIMPRO_VIG;2026-03-31;20;
SIMPRO;2026-04-12;medicamento;0000092555;12;;BIOFARMA;SALROLIN 2MG 20CPDS;;;;;;;;;;;;;;0.152;SIMPRO_VIG;2026-03-31;20;
SIMPRO;2026-04-12;medicamento;0000092557;12;;BIOFARMA;SALROLIN 4MG 20CPDS;;;;;;;;;;;;;;0.202;SIMPRO_VIG;2026-03-31;20;
SIMPRO;2026-04-12;medicamento;0000092556;12;;BIOFARMA;SALROLIN XPE.120ML;;;;;;;;;;;;;;0.051;SIMPRO_VIG;2026-03-31;20;
SIMPRO;2026-04-12;medicamento;0000163426;12;;LIBBS;SALSEP 360 9MG/ML SOL.NASAL SPR.50ML;;;;;;;;;;;;;;30.29;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000163425;12;;LIBBS;SALSEP 360 SOL.NASAL SPR.15ML;;;;;;;;;;;;;;9.86;SIMPRO_VIG;2018-04-10;20;
SIMPRO;2026-04-12;medicamento;0000072260;12;;LIBBS;SALSEP 9MG/ML SPR.50ML;;;;;;;;;;;;;;0.526;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000284007;12;;LIBBS;SALSEP JET FR100ML;;;;;;;;;;;;;;0.428;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000297001;12;;LIBBS;SALSEP JET FR200ML;;;;;;;;;;;;;;79.16;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000284008;12;;LIBBS;SALSEP JET KIDS FR100ML;;;;;;;;;;;;;;0.448;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000297002;12;;LIBBS;SALSEP JET KIDS FR200ML;;;;;;;;;;;;;;82.94;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000144007;12;;LIBBS;SALSEP SPR.30ML;;;;;;;;;;;;;;0.285;SIMPRO_VIG;2018-04-10;20;
SIMPRO;2026-04-12;medicamento;0000088224;12;;EMS;SALVELOX 21+1,33MG/ML SPR.50ML;;;;;;;;;;;;;;0.249;SIMPRO_VIG;2014-04-01;20;
SIMPRO;2026-04-12;medicamento;0000104764;12;;BELFAR;SALVIT-M 100ML;;;;;;;;;;;;;;0.13;SIMPRO_VIG;2026-03-31;20;
SIMPRO;2026-04-12;medicamento;0000315403;12;;SUN FARMACEUTICA;SAMILE 10MG 30CPDS REV.;;;;;;;;;;;;;;6.762;SIMPRO_VIG;2020-07-28;20;
SIMPRO;2026-04-12;medicamento;0000315402;12;;SUN FARMACEUTICA;SAMILE 5MG 30CPDS REV.;;;;;;;;;;;;;;7.222;SIMPRO_VIG;2024-06-04;20;
SIMPRO;2026-04-12;medicamento;0000088536;12;;DUCTO;SANAGAS 40MG 2X10CPDS;;;;;;;;;;;;;;0.287;SIMPRO_VIG;2011-05-12;20;
SIMPRO;2026-04-12;medicamento;0000045164;12;;DUCTO;SANAGAS 75MG/ML GTS.10ML;;;;;;;;;;;;;;0.62;SIMPRO_VIG;2011-05-12;20;
SIMPRO;2026-04-12;medicamento;0000041383;12;;KLEY HERTZ;SANASAR EMULS.100ML;;;;;;;;;;;;;;0.12;SIMPRO_VIG;2026-03-31;20;
SIMPRO;2026-04-12;medicamento;0000041384;12;;KLEY HERTZ;SANASAR SAB.80GRS;;;;;;;;;;;;;;12.15;SIMPRO_VIG;2014-04-10;20;
SIMPRO;2026-04-12;medicamento;0000153146;12;;CSL BEHRING;SANDOGLOBULINA 12GR PO LIOF.INJ.1FA 200ML C/EQUIPO INF.;;;;;;;;;;;;;;1721.42;SIMPRO_VIG;2011-04-01;20;
SIMPRO;2026-04-12;medicamento;0000078240;12;;MEIZLER;SANDOGLOBULINA 1G 1FA 33ML;;;;;;;;;;;;;;7.457;SIMPRO_VIG;2011-04-01;20;
SIMPRO;2026-04-12;medicamento;0000153145;12;;CSL BEHRING;SANDOGLOBULINA 1GR PO LIOF.INJ.1FA DIL.33ML C/EQUIPO INF.;;;;;;;;;;;;;;217.38;SIMPRO_VIG;2011-04-01;20;
SIMPRO;2026-04-12;medicamento;0000078241;12;;MEIZLER;SANDOGLOBULINA 3G 1FA 100ML;;;;;;;;;;;;;;4.911;SIMPRO_VIG;2011-04-01;20;
SIMPRO;2026-04-12;medicamento;0000153147;12;;CSL BEHRING;SANDOGLOBULINA 3GR PO LIOF.1FA DIL100ML C/EQUIPO INF.;;;;;;;;;;;;;;470.19;SIMPRO_VIG;2011-04-01;20;
SIMPRO;2026-04-12;medicamento;0000153148;12;;CSL BEHRING;SANDOGLOBULINA 6G PO LIOF.1FA+DIL.200ML+EQUIPO INFUS.;;;;;;;;;;;;;;1092.77;SIMPRO_VIG;2018-04-10;20;
SIMPRO;2026-04-12;medicamento;0000078242;12;;MEIZLER;SANDOGLOBULINA 6GR 1FA 200ML;;;;;;;;;;;;;;4.492;SIMPRO_VIG;2011-04-01;20;
