fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
SIMPRO;2026-04-12;medicamento;0000133691;12;;UCB BIOPHARMA;TABINE 100MG/ML SOL.INJ.FA 10ML(REST.HOSP.);;;;;;;;;;;;;;129.35;SIMPRO_VIG;2016-11-22;20;
SIMPRO;2026-04-12;medicamento;0000133689;12;;UCB BIOPHARMA;TABINE 100MG/ML SOL.INJ.FA 1ML(REST.HOSP.);;;;;;;;;;;;;;12.93;SIMPRO_VIG;2016-04-19;20;
SIMPRO;2026-04-12;medicamento;0000133690;12;;UCB BIOPHARMA;TABINE 100MG/ML SOL.INJ.FA 5ML(REST.HOSP.);;;;;;;;;;;;;;60.97;SIMPRO_VIG;2016-11-22;20;
SIMPRO;2026-04-12;medicamento;0000078593;12;;CANNONE;TABLETES VALDA DIET 15X4UNID;;;;;;;;;;;;;;0.494;SIMPRO_VIG;2006-03-23;20;
SIMPRO;2026-04-12;medicamento;0000310693;12;;EMS;TACFEN 20MG 30CPDS REV.;;;;;;;;;;;;;;9.264;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000146718;12;;TAKEDA;TACHOSIL 5,5MG/CM2+2UI/CM2 ESPONJA+SACH 9,5X4,8CM;;;;;;;;;;;;;;979.23;SIMPRO_VIG;2019-04-23;20;
SIMPRO;2026-04-12;medicamento;0000284306;12;;CRISTALIA;TACITA 30CPDS;;;;;;;;;;;;;;3.246;SIMPRO_VIG;2025-04-09;20;
SIMPRO;2026-04-12;medicamento;0000037251;12;;BIOCHIMICO;TACLIPAXOL 100MG 1FA 17ML;;;;;;;;;;;;;;87.718;SIMPRO_VIG;2012-04-01;20;
SIMPRO;2026-04-12;medicamento;0000118282;12;;BIOCHIMICO;TACLIPAXOL 300MG 1FA 50ML;;;;;;;;;;;;;;89.769;SIMPRO_VIG;2012-04-01;20;
SIMPRO;2026-04-12;medicamento;0000037250;12;;BIOCHIMICO;TACLIPAXOL 30MG 1FA 5ML;;;;;;;;;;;;;;450.33;SIMPRO_VIG;2012-04-01;20;
SIMPRO;2026-04-12;medicamento;0000160443;12;;CAMBER FARMACEUTICA;TACROFORT 1MG 50CAPS GEL.DURA;;;;;;;;;;;;;;6.165;SIMPRO_VIG;2025-04-23;20;
SIMPRO;2026-04-12;medicamento;0000144197;12;;CAMBER FARMACEUTICA;TACROFORT 5MG 50CAPS GEL.DURA;;;;;;;;;;;;;;43.807;SIMPRO_VIG;2025-04-23;20;
SIMPRO;2026-04-12;medicamento;0000306760;12;;GLENMARK;TACROZ 0,3MG/G POM.DERM.10G;;;;;;;;;;;;;;82.16;SIMPRO_VIG;2025-04-01;20;
SIMPRO;2026-04-12;medicamento;0000315450;12;;GLENMARK;TACROZ 1,0MG/G POM.DERM.10G;;;;;;;;;;;;;;88.52;SIMPRO_VIG;2025-04-01;20;
SIMPRO;2026-04-12;medicamento;0000256031;12;;EUROFARMA;TADA 05MG 30CPDS;;;;;;;;;;;;;;8.302;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000256030;12;;EUROFARMA;TADA 20MG 2CPDS;;;;;;;;;;;;;;35.065;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000263727;12;;EUROFARMA;TADA 20MG 2CPDS REV.;;;;;;;;;;;;;;33.705;SIMPRO_VIG;2016-04-08;20;
