fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
SIMPRO;2026-04-12;medicamento;0000169777;12;;DANONE NUTRICAO ESP;UCD 1 450G;;;;;;;;;;;;;;2.025;SIMPRO_VIG;2012-07-31;20;
SIMPRO;2026-04-12;medicamento;0000169779;12;;DANONE NUTRICAO ESP;UCD 2 450G;;;;;;;;;;;;;;2.025;SIMPRO_VIG;2012-07-31;20;
SIMPRO;2026-04-12;medicamento;0000292550;12;;UCI-FARMA;UCIBETA 16MG 30CPDS;;;;;;;;;;;;;;0.672;SIMPRO_VIG;2020-06-23;20;
SIMPRO;2026-04-12;medicamento;0000292551;12;;UCI-FARMA;UCIBETA 24MG 30CPDS;;;;;;;;;;;;;;0.901;SIMPRO_VIG;2020-06-23;20;
SIMPRO;2026-04-12;medicamento;0000283844;12;;UCI-FARMA;UCICLAV 400MG+57MG/5ML ORAL 70ML+SER.;;;;;;;;;;;;;;0.784;SIMPRO_VIG;2020-06-23;20;
SIMPRO;2026-04-12;medicamento;0000283845;12;;UCI-FARMA;UCICLAV 875MG+125MG 14CPDS;;;;;;;;;;;;;;5.701;SIMPRO_VIG;2020-06-23;20;
SIMPRO;2026-04-12;medicamento;0000292342;12;;UCI-FARMA;UCIOSE 6MG 2CPDS;;;;;;;;;;;;;;8.95;SIMPRO_VIG;2020-07-21;20;
SIMPRO;2026-04-12;medicamento;0000292343;12;;UCI-FARMA;UCIOSE 6MG 4CPDS;;;;;;;;;;;;;;6.553;SIMPRO_VIG;2020-07-21;20;
SIMPRO;2026-04-12;medicamento;0000296900;12;;UCI-FARMA;UCITIR 5,0MG 10CPDS REV.;;;;;;;;;;;;;;2.858;SIMPRO_VIG;2020-06-23;20;
SIMPRO;2026-04-12;medicamento;0000283846;12;;UCI-FARMA;UCITON 100MG 12CPDS;;;;;;;;;;;;;;1.394;SIMPRO_VIG;2020-06-23;20;
SIMPRO;2026-04-12;medicamento;0000020873;12;;MERCK S.A;UFT 100MG 120CAPS;;;;;;;;;;;;;;0;SIMPRO_VIG;2010-04-01;20;
SIMPRO;2026-04-12;medicamento;0000020874;12;;MERCK S.A;UFT 100MG 28CAPS;;;;;;;;;;;;;;0;SIMPRO_VIG;2010-04-01;20;
SIMPRO;2026-04-12;medicamento;0000094583;12;;KINDER;ULCERIDINA 150MG 2X10CPDS;;;;;;;;;;;;;;0.638;SIMPRO_VIG;2026-03-31;20;
SIMPRO;2026-04-12;medicamento;0000094584;12;;KINDER;ULCERIDINA 300MG 2X10CPDS;;;;;;;;;;;;;;1.181;SIMPRO_VIG;2026-03-31;20;
SIMPRO;2026-04-12;medicamento;0000028090;12;;HEXAL;ULCERIT 150MG 10CPDS;;;;;;;;;;;;;;0;SIMPRO_VIG;2009-07-21;20;
SIMPRO;2026-04-12;medicamento;0000028092;12;;HEXAL;ULCERIT 300MG 8CPDS;;;;;;;;;;;;;;0;SIMPRO_VIG;2009-07-21;20;
SIMPRO;2026-04-12;medicamento;0000048181;12;;CIMED;ULCEROCIN 150MG 20CPDS;;;;;;;;;;;;;;0.779;SIMPRO_VIG;2021-04-06;20;
SIMPRO;2026-04-12;medicamento;0000048182;12;;CIMED;ULCEROCIN 300MG 20CPDS;;;;;;;;;;;;;;2.128;SIMPRO_VIG;2013-04-04;20;
SIMPRO;2026-04-12;medicamento;0000153140;12;;DIFFUCAP;ULCESTOP 30MG 14CAPS;;;;;;;;;;;;;;1.724;SIMPRO_VIG;2012-04-02;20;
SIMPRO;2026-04-12;medicamento;0000153141;12;;DIFFUCAP;ULCESTOP 30MG 28CAPS;;;;;;;;;;;;;;2.603;SIMPRO_VIG;2020-07-07;20;
SIMPRO;2026-04-12;medicamento;0000122317;12;;DIFFUCAP;ULCESTOP 30MG 7CAPS;;;;;;;;;;;;;;1.941;SIMPRO_VIG;2020-07-07;20;
SIMPRO;2026-04-12;medicamento;0000034081;12;;NEO QUIMICA;ULCINAX 300MG/2ML 6AMP 2ML;;;;;;;;;;;;;;2.665;SIMPRO_VIG;2026-03-31;20;
SIMPRO;2026-04-12;medicamento;0000272349;12;;NOVARTIS;ULTIBRO 110+50MCG 12CAPS GEL.DURA C/PO P/INAL.+1INAL.;;;;;;;;;;;;;;12.382;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000272350;12;;NOVARTIS;ULTIBRO 110+50MCG 30CAPS GEL.DURA C/PO P/INAL.+1INAL.;;;;;;;;;;;;;;12.526;SIMPRO_VIG;2026-04-01;20;
SIMPRO;2026-04-12;medicamento;0000030946;12;;GLAXOSMITH;ULTIVA 1MG 5AMP;;;;;;;;;;;;;;33.326;SIMPRO_VIG;2015-03-31;20;
