fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
SIMPRO;2026-04-12;medicamento;0000315161;12;;SANOFI MEDLEY;VACINA ADACEL SUSP.INJ.FA 0,5ML;;;;;;;;;;;;;;201.5;SIMPRO_VIG;2025-04-01;20;
SIMPRO;2026-04-12;medicamento;0000141049;12;;NOVARTIS;VACINA ADSORVIDA MENINGOCOCICA 10MCG 0,6ML;;;;;;;;;;;;;;253.55;SIMPRO_VIG;2016-04-05;20;
SIMPRO;2026-04-12;medicamento;0000256092;12;;NOVARTIS;VACINA ADSORVIDA MENINGOCOCICA B(RECOMBINANTE) SUSP.INJ.10SER.PREENC.0,5ML;;;;;;;;;;;;;;0;SIMPRO_VIG;2015-07-14;20;
SIMPRO;2026-04-12;medicamento;0000256090;12;;NOVARTIS;VACINA ADSORVIDA MENINGOCOCICA B(RECOMBINANTE) SUSP.INJ.1SER.PREENC.0,5ML+AG.;;;;;;;;;;;;;;0;SIMPRO_VIG;2015-07-14;20;
SIMPRO;2026-04-12;medicamento;0000256091;12;;NOVARTIS;VACINA ADSORVIDA MENINGOCOCICA B(RECOMBINANTE)SUSP.INJ.1SER.PREENC.0,5ML;;;;;;;;;;;;;;503.15;SIMPRO_VIG;2016-04-05;20;
SIMPRO;2026-04-12;medicamento;0000128003;12;;SANOFI MEDLEY;VACINA ANTI-RABICA HUMANA 1SERX1DS LIO 0,5ML;;;;;;;;;;;;;;123.16;SIMPRO_VIG;2019-04-09;20;
SIMPRO;2026-04-12;medicamento;0000143391;12;;F.A.P;VACINA BCG 1AMP;;;;;;;;;;;;;;56.82;SIMPRO_VIG;2022-04-14;20;
SIMPRO;2026-04-12;medicamento;0000145056;12;;F.A.P;VACINA BCG 25AMP - (ICMS 0%);;;;;;;;;;;;;;24.66;SIMPRO_VIG;2022-04-14;20;
SIMPRO;2026-04-12;medicamento;0000136692;12;;SANOFI-AVENTIS;VACINA BCG IMUNOTERAPEUTICO 1FR 1DS+DIL.X3ML;;;;;;;;;;;;;;1110.92;SIMPRO_VIG;2013-04-01;20;
SIMPRO;2026-04-12;medicamento;0000277068;12;;GLAXOSMITH;VACINA BEXSERO 1SER.PREENC.0,5ML+AG.;;;;;;;;;;;;;;737.74;SIMPRO_VIG;2025-04-01;20;
SIMPRO;2026-04-12;medicamento;0000129403;12;;GLAXOSMITH;VACINA CERVARIX HPV 16/18 C/ADJ.AS04;;;;;;;;;;;;;;618.66;SIMPRO_VIG;2025-04-01;20;
SIMPRO;2026-04-12;medicamento;0000085979;12;;GLAXOSMITH;VACINA COMB.DPTA HB 1SER.0,5ML;;;;;;;;;;;;;;116.82;SIMPRO_VIG;2012-03-31;20;
SIMPRO;2026-04-12;medicamento;0000043524;12;;GLAXOSMITH;VACINA COMB.DPTA HB IPV/HIB 1FA+1SER.DIL.0,5ML;;;;;;;;;;;;;;370.01;SIMPRO_VIG;2025-04-01;20;
