fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
SIMPRO;2026-04-12;medicamento;0000071847;12;;UNIAO QUIMICA;WARFARIN 5MG 10CPDS;;;;;;;;;;;;;;0.425;SIMPRO_VIG;2018-04-10;20;
SIMPRO;2026-04-12;medicamento;0000172717;12;;UNIAO QUIMICA;WARFARIN 5MG 30CPDS;;;;;;;;;;;;;;0.37;SIMPRO_VIG;2014-04-01;20;
SIMPRO;2026-04-12;medicamento;0000040232;12;;STIEFEL;WARTEC CRM.5GRS;;;;;;;;;;;;;;20.736;SIMPRO_VIG;2019-04-02;20;
SIMPRO;2026-04-12;medicamento;0000314841;12;;CIMED;WARYZ 450+50MG 30CPDS REV.;;;;;;;;;;;;;;2.189;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000314842;12;;CIMED;WARYZ 450+50MG 60CPDS REV.;;;;;;;;;;;;;;2.231;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000051146;12;;GLAXOSMITH;WELLBUTRIN SR 150MG 30CPDS;;;;;;;;;;;;;;7.853;SIMPRO_VIG;2023-08-01;20;
SIMPRO;2026-04-12;medicamento;0000146420;12;;GLAXOSMITH;WELLBUTRIN XL 150MG 30CPDS;;;;;;;;;;;;;;6.891;SIMPRO_VIG;2023-10-03;20;
SIMPRO;2026-04-12;medicamento;0000146419;12;;GLAXOSMITH;WELLBUTRIN XL 150MG 7CPDS;;;;;;;;;;;;;;7.194;SIMPRO_VIG;2024-04-02;20;
SIMPRO;2026-04-12;medicamento;0000146422;12;;GLAXOSMITH;WELLBUTRIN XL 300MG 30CPDS;;;;;;;;;;;;;;8.495;SIMPRO_VIG;2023-10-03;20;
SIMPRO;2026-04-12;medicamento;0000146421;12;;GLAXOSMITH;WELLBUTRIN XL 300MG 7CPDS;;;;;;;;;;;;;;7.586;SIMPRO_VIG;2024-04-02;20;
SIMPRO;2026-04-12;medicamento;0000129512;12;;I.Q.B;WELLPROCT 45GRS;;;;;;;;;;;;;;0.843;SIMPRO_VIG;2010-07-29;20;
SIMPRO;2026-04-12;medicamento;0000289636;12;;VITAFOR;WHEY PROTEIN ISOLATE 15SACH.15G;;;;;;;;;;;;;;72;SIMPRO_VIG;2022-12-15;20;
SIMPRO;2026-04-12;medicamento;0000289634;12;;VITAFOR;WHEY PROTEIN ISOLATE 250G;;;;;;;;;;;;;;800;SIMPRO_VIG;2022-12-15;20;
SIMPRO;2026-04-12;medicamento;0000289639;12;;VITAFOR;WHEY PROTEIN ISOLATE SACH.15G;;;;;;;;;;;;;;72;SIMPRO_VIG;2022-12-15;20;
SIMPRO;2026-04-12;medicamento;0000269702;12;;OCTAPHARMA;WILATE 450+400UI PO LIOF.1FA+DIL.5ML+EQP INF.;;;;;;;;;;;;;;948.28;SIMPRO_VIG;2016-04-19;20;
SIMPRO;2026-04-12;medicamento;0000269703;12;;OCTAPHARMA;WILATE 900+800UI PO LIOF.1FA+DIL.5ML+EQP INF.;;;;;;;;;;;;;;1896.58;SIMPRO_VIG;2016-04-19;20;
SIMPRO;2026-04-12;medicamento;0000311691;12;;DR.REDDY'S;WINDUZA 100MG PO LIOF.SUSP.INJ.FA;;;;;;;;;;;;;;2534.9;SIMPRO_VIG;2025-04-09;20;
SIMPRO;2026-04-12;medicamento;0000044088;12;;DIFFUCAP;WINTER AP 6+120MG 8CAPS;;;;;;;;;;;;;;4.77;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000090065;12;;NOVAFARMA;WONILIN 400000UI 50FA;;;;;;;;;;;;;;5.546;SIMPRO_VIG;2015-04-01;20;
SIMPRO;2026-04-12;medicamento;0000164499;12;;MEIZLER;WOSULIN 70/30 100UI/ML SUSP.INJ.1CARP.3ML;;;;;;;;;;;;;;17.81;SIMPRO_VIG;2013-04-01;20;
SIMPRO;2026-04-12;medicamento;0000164500;12;;MEIZLER;WOSULIN 70/30 100UI/ML SUSP.INJ.1FA 10ML;;;;;;;;;;;;;;4.856;SIMPRO_VIG;2013-04-01;20;
SIMPRO;2026-04-12;medicamento;0000164497;12;;MEIZLER;WOSULIN 70/30 100UI/ML SUSP.INJ.1FA 3ML;;;;;;;;;;;;;;5.937;SIMPRO_VIG;2013-04-01;20;
SIMPRO;2026-04-12;medicamento;0000164496;12;;MEIZLER;WOSULIN 70/30 100UI/ML SUSP.INJ.1FA 5ML;;;;;;;;;;;;;;5.19;SIMPRO_VIG;2013-04-01;20;
SIMPRO;2026-04-12;medicamento;0000164498;12;;MEIZLER;WOSULIN 70/30 100UI/ML SUSP.INJ.5CARP.3ML;;;;;;;;;;;;;;17.796;SIMPRO_VIG;2013-04-01;20;
SIMPRO;2026-04-12;medicamento;0000164502;12;;MEIZLER;WOSULIN N 100UI/ML SUSP.INJ.1CARP.3ML;;;;;;;;;;;;;;15.36;SIMPRO_VIG;2013-04-01;20;
SIMPRO;2026-04-12;medicamento;0000164503;12;;MEIZLER;WOSULIN N 100UI/ML SUSP.INJ.1FA 10ML;;;;;;;;;;;;;;4.856;SIMPRO_VIG;2013-04-01;20;
SIMPRO;2026-04-12;medicamento;0000164501;12;;MEIZLER;WOSULIN N 100UI/ML SUSP.INJ.1FA 3ML;;;;;;;;;;;;;;5.12;SIMPRO_VIG;2013-04-01;20;
SIMPRO;2026-04-12;medicamento;0000164504;12;;MEIZLER;WOSULIN N 100UI/ML SUSP.INJ.1FA 5ML;;;;;;;;;;;;;;5.116;SIMPRO_VIG;2013-04-01;20;
SIMPRO;2026-04-12;medicamento;0000164505;12;;MEIZLER;WOSULIN N 100UI/ML SUSP.INJ.5CARP.3ML;;;;;;;;;;;;;;15.356;SIMPRO_VIG;2013-04-01;20;
SIMPRO;2026-04-12;medicamento;0000164508;12;;MEIZLER;WOSULIN R 100UI/ML SUSP.INJ.1CARP.3ML;;;;;;;;;;;;;;14.73;SIMPRO_VIG;2013-04-01;20;
