fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
SIMPRO;2026-04-12;medicamento;0000061146;12;;VIATRIS;XALACOM 50MCG/ML+5MG/ML SOL.OFT.GTS.2,5ML;;;;;;;;;;;;;;112.332;SIMPRO_VIG;2025-04-23;20;
SIMPRO;2026-04-12;medicamento;0000276286;12;;PFIZER BRASIL;XALKORI 200MG 60CPDS DURA;;;;;;;;;;;;;;746.472;SIMPRO_VIG;2025-04-01;20;
SIMPRO;2026-04-12;medicamento;0000272648;12;;PFIZER BRASIL;XALKORI 250MG 60CAPS;;;;;;;;;;;;;;922.53;SIMPRO_VIG;2025-04-01;20;
SIMPRO;2026-04-12;medicamento;0000315430;12;;UNIAO QUIMICA;XANTINON 100+20MG 100CPDS REV.;;;;;;;;;;;;;;0.604;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000316267;12;;TAKEDA;XANTINON 100+20MG 1CPD REV.F.V.;;;;;;;;;;;;;;3.28;SIMPRO_VIG;2020-09-11;20;
SIMPRO;2026-04-12;medicamento;0000166465;12;;UNIAO QUIMICA;XANTINON 100+20MG 30CPDS REV.;;;;;;;;;;;;;;0.545;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000315431;12;;UNIAO QUIMICA;XANTINON COMPLEX 40+53+50MG/ML SOL.ORAL 100ML;;;;;;;;;;;;;;0.186;SIMPRO_VIG;2025-08-12;20;
SIMPRO;2026-04-12;medicamento;0000315432;12;;UNIAO QUIMICA;XANTINON COMPLEX 40+53+50MG/ML SOL.ORAL 12FLAC 10ML;;;;;;;;;;;;;;3.709;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000316268;12;;TAKEDA;XANTINON COMPLEX 40+53+50MG/ML SOL.ORAL 1FLAC 10ML F.V.;;;;;;;;;;;;;;2.79;SIMPRO_VIG;2020-09-11;20;
SIMPRO;2026-04-12;medicamento;0000315433;12;;UNIAO QUIMICA;XANTINON COMPLEX 40+53+50MG/ML SOL.ORAL 60FLAC 10ML;;;;;;;;;;;;;;3.844;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000146720;12;;TAKEDA;XANTINON COMPLEX 60FLACX10ML;;;;;;;;;;;;;;2.037;SIMPRO_VIG;2013-04-19;20;
SIMPRO;2026-04-12;medicamento;0000144060;12;;BAYER;XARELTO 10MG 10CPDS REV.;;;;;;;;;;;;;;13.947;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000144061;12;;BAYER;XARELTO 10MG 30CPDS REV.;;;;;;;;;;;;;;13.947;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000165900;12;;BAYER;XARELTO 15MG 14CPDS REV.;;;;;;;;;;;;;;13.946;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000165901;12;;BAYER;XARELTO 15MG 28CPDS REV.;;;;;;;;;;;;;;13.946;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000312890;12;;BAYER;XARELTO 2,5MG 30CPDS REV.;;;;;;;;;;;;;;6.975;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000312891;12;;BAYER;XARELTO 2,5MG 60CPDS REV.;;;;;;;;;;;;;;6.975;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000165902;12;;BAYER;XARELTO 20MG 14CPDS REV.;;;;;;;;;;;;;;13.946;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000165903;12;;BAYER;XARELTO 20MG 28CPDS REV.;;;;;;;;;;;;;;13.946;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000059671;12;;PROCTER;XAROPE 44E 1,30+13,30MG/ML 120ML;;;;;;;;;;;;;;0.372;SIMPRO_VIG;2025-10-01;20;
SIMPRO;2026-04-12;medicamento;0000308261;12;;PROCTER;XAROPE 44E 1,30+13,30MG/ML 240ML;;;;;;;;;;;;;;0.335;SIMPRO_VIG;2025-10-01;20;
SIMPRO;2026-04-12;medicamento;0000128222;12;;PROCTER;XAROPE 44E CAMOMILA 120ML;;;;;;;;;;;;;;0.133;SIMPRO_VIG;2015-01-21;20;
SIMPRO;2026-04-12;medicamento;0000315306;12;;CIMED;XAROPE GUACO 117,6MG/ML SOL.ORAL FR 120ML+COPO;;;;;;;;;;;;;;0.331;SIMPRO_VIG;2020-07-03;20;
SIMPRO;2026-04-12;medicamento;0000175703;12;;MELPOEJO;XAROPE GUACO MELPOEJO 0,1MG/ML 100ML;;;;;;;;;;;;;;0.076;SIMPRO_VIG;2020-07-09;20;
SIMPRO;2026-04-12;medicamento;0000175702;12;;MELPOEJO;XAROPE GUACO MELPOEJO 0,1MG/ML 60ML;;;;;;;;;;;;;;0.096;SIMPRO_VIG;2020-07-09;20;
SIMPRO;2026-04-12;medicamento;0000315552;12;;MELPOEJO;XAROPE GUACO MELPOEJO 0,1ML/ML XPE 140ML;;;;;;;;;;;;;;0.336;SIMPRO_VIG;2025-11-04;20;
SIMPRO;2026-04-12;medicamento;0000047776;12;;PHARMASCIENCE;XAROPE LIMAO BRAVO 100ML;;;;;;;;;;;;;;0;SIMPRO_VIG;2009-06-18;20;
SIMPRO;2026-04-12;medicamento;0000058842;12;;NEO QUIMICA;XAROPE NEO XPE.100ML;;;;;;;;;;;;;;0.146;SIMPRO_VIG;2020-04-07;20;
SIMPRO;2026-04-12;medicamento;0000317525;12;;PROCTER;XAROPE VICK 13,3MG 120ML;;;;;;;;;;;;;;0.372;SIMPRO_VIG;2025-10-01;20;
SIMPRO;2026-04-12;medicamento;0000131967;12;;PROCTER;XAROPE VICK MEL 120ML;;;;;;;;;;;;;;0.164;SIMPRO_VIG;2014-04-01;20;
SIMPRO;2026-04-12;medicamento;0000317526;12;;PROCTER;XAROPE VICK MEL 16MG 120ML;;;;;;;;;;;;;;0.296;SIMPRO_VIG;2022-11-01;20;
SIMPRO;2026-04-12;medicamento;0000317527;12;;PROCTER;XAROPE VICK MEL 16MG 240ML;;;;;;;;;;;;;;0.279;SIMPRO_VIG;2024-04-09;20;
SIMPRO;2026-04-12;medicamento;0000131963;12;;PROCTER;XAROPE VICK MEL 240ML;;;;;;;;;;;;;;0.158;SIMPRO_VIG;2014-04-01;20;
SIMPRO;2026-04-12;medicamento;0000244527;12;;PROCTER;XAROPE VICK MEL/LIMAO 100ML;;;;;;;;;;;;;;0.138;SIMPRO_VIG;2014-04-01;20;
SIMPRO;2026-04-12;medicamento;0000083861;12;;PROCTER;XAROPE VICK MEL/LIMAO 120ML;;;;;;;;;;;;;;0.146;SIMPRO_VIG;2014-04-01;20;
SIMPRO;2026-04-12;medicamento;0000244528;12;;PROCTER;XAROPE VICK MEL/LIMAO 240ML;;;;;;;;;;;;;;0.13;SIMPRO_VIG;2014-04-01;20;
SIMPRO;2026-04-12;medicamento;0000038933;12;;SANOFI-AVENTIS;XATRAL OD 10MG 10CPDS;;;;;;;;;;;;;;7.796;SIMPRO_VIG;2014-04-01;20;
SIMPRO;2026-04-12;medicamento;0000068406;12;;SANOFI MEDLEY;XATRAL OD 30CPDS;;;;;;;;;;;;;;12.754;SIMPRO_VIG;2024-04-09;20;
SIMPRO;2026-04-12;medicamento;0000149819;12;;BIOLAB SANUS;XEFO 8MG 20CPDS REV.;;;;;;;;;;;;;;1.792;SIMPRO_VIG;2025-04-09;20;
SIMPRO;2026-04-12;medicamento;0000149820;12;;BIOLAB SANUS;XEFO 8MG 30CPDS REV.;;;;;;;;;;;;;;1.789;SIMPRO_VIG;2025-04-09;20;
SIMPRO;2026-04-12;medicamento;0000149818;12;;BIOLAB SANUS;XEFO 8MG 4CPDS REV.;;;;;;;;;;;;;;0.697;SIMPRO_VIG;2010-10-08;20;
SIMPRO;2026-04-12;medicamento;0000257049;12;;PFIZER BRASIL;XELJANZ 5MG 60CPDS;;;;;;;;;;;;;;127.201;SIMPRO_VIG;2025-04-01;20;
SIMPRO;2026-04-12;medicamento;0000021764;12;;BIOPAS BRASIL;XELODA 150MG 60CPDS REV.;;;;;;;;;;;;;;12.697;SIMPRO_VIG;2023-05-12;20;
SIMPRO;2026-04-12;medicamento;0000021763;12;;BIOPAS BRASIL;XELODA 500MG 120CPDS REV.;;;;;;;;;;;;;;44.432;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000028003;12;;ROCHE;XENICAL 120MG 21CAPS;;;;;;;;;;;;;;0;SIMPRO_VIG;2010-04-14;20;
SIMPRO;2026-04-12;medicamento;0000017447;12;;ROCHE;XENICAL 120MG 42CAPS;;;;;;;;;;;;;;5.081;SIMPRO_VIG;2015-04-01;20;
SIMPRO;2026-04-12;medicamento;0000017448;12;;ROCHE;XENICAL 120MG 84CAPS;;;;;;;;;;;;;;4.641;SIMPRO_VIG;2015-04-01;20;
SIMPRO;2026-04-12;medicamento;0000255941;12;;LEGRAND SIMILARES;XENILIPI 120MG 42CAPS GEL.DURA;;;;;;;;;;;;;;5.075;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000255942;12;;LEGRAND SIMILARES;XENILIPI 120MG 84CAPS GEL.DURA;;;;;;;;;;;;;;5.097;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000148222;12;;BIOLAB SANUS;XEOMIN 100U PO LIOF.SOL.INJ.FA;;;;;;;;;;;;;;2936.19;SIMPRO_VIG;2025-04-09;20;
SIMPRO;2026-04-12;medicamento;0000297124;12;;AMGEN;XGEVA 120MG SOL.INJ.FA 1,7ML;;;;;;;;;;;;;;2779.79;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000314176;12;;BIOLAB SANUS;XIFAXAN 550MG 28CPDS REV.;;;;;;;;;;;;;;31.948;SIMPRO_VIG;2025-04-09;20;
SIMPRO;2026-04-12;medicamento;0000314177;12;;BIOLAB SANUS;XIFAXAN 550MG 56CPDS REV.;;;;;;;;;;;;;;29.152;SIMPRO_VIG;2025-04-09;20;
SIMPRO;2026-04-12;medicamento;0000266899;12;;ASTRAZENECA;XIGDUO XR 10+1000MG 14CPDS REV.;;;;;;;;;;;;;;8.631;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000266900;12;;ASTRAZENECA;XIGDUO XR 10+1000MG 30CPDS REV.;;;;;;;;;;;;;;8.634;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000266898;12;;ASTRAZENECA;XIGDUO XR 10+500MG 14CPDS REV.;;;;;;;;;;;;;;8.631;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000266896;12;;ASTRAZENECA;XIGDUO XR 5+1000MG 14CPDS REV.;;;;;;;;;;;;;;4.321;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000266897;12;;ASTRAZENECA;XIGDUO XR 5+1000MG 60CPDS REV.;;;;;;;;;;;;;;4.315;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000066397;12;;ELI LILLY;XIGRIS 20MG 1FA;;;;;;;;;;;;;;5683.89;SIMPRO_VIG;2011-04-01;20;
SIMPRO;2026-04-12;medicamento;0000066398;12;;ELI LILLY;XIGRIS 5MG 1FA;;;;;;;;;;;;;;1420.94;SIMPRO_VIG;2011-04-01;20;
SIMPRO;2026-04-12;medicamento;0000318144;12;;PFIZER BRASIL;XILFYA 10MG/ML PO LIOF.SOL.INFUS.10ML;;;;;;;;;;;;;;5466.07;SIMPRO_VIG;2025-04-01;20;
SIMPRO;2026-04-12;medicamento;0000026946;12;;APSEN;XILODASE 30GRS+APLIC.;;;;;;;;;;;;;;39.98;SIMPRO_VIG;2012-04-01;20;
SIMPRO;2026-04-12;medicamento;0000061470;12;;DANONE NUTRICAO ESP;XMET MAXAMUN 500G;;;;;;;;;;;;;;2.447;SIMPRO_VIG;2016-04-18;20;
SIMPRO;2026-04-12;medicamento;0000277865;12;;BAYER;XOFIGO 1100KBQ/ML SOL.INJ.BLINDAGEM CHUMBO FA 6ML;;;;;;;;;;;;;;26970.72;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000103990;12;;NOVARTIS;XOLAIR 150MG PO LIOF.1FA+DIL.2ML;;;;;;;;;;;;;;2969.33;SIMPRO_VIG;2026-04-01;20;
SIMPRO;2026-04-12;medicamento;0000312810;12;;NOVARTIS;XOLAIR 150MG SOL.INJ.1SER.PREENC.1ML;;;;;;;;;;;;;;2969.33;SIMPRO_VIG;2026-04-01;20;
SIMPRO;2026-04-12;medicamento;0000312811;12;;NOVARTIS;XOLAIR 75MG SOL.INJ.1SER.PREENC.0,5ML;;;;;;;;;;;;;;1484.66;SIMPRO_VIG;2026-04-01;20;
SIMPRO;2026-04-12;medicamento;0000258211;12;;ASTELLAS;XTANDI 40MG 120CAPS GEL.MOLE;;;;;;;;;;;;;;166.669;SIMPRO_VIG;2025-04-01;20;
SIMPRO;2026-04-12;medicamento;0000296922;12;;NOVO NORDISK;XULTOPHY 100U/ML+3,6MG/ML SOL.INJ.3ML+1APLIC.;;;;;;;;;;;;;;318.64;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000009593;12;;CRISTALIA;XYLESTESIN 1% C/VASO 10EST.20ML;;;;;;;;;;;;;;18.582;SIMPRO_VIG;2025-04-09;20;
SIMPRO;2026-04-12;medicamento;0000136777;12;;CRISTALIA;XYLESTESIN 1% C/VASO 10FA 20ML;;;;;;;;;;;;;;8.846;SIMPRO_VIG;2012-04-02;20;
SIMPRO;2026-04-12;medicamento;0000136778;12;;CRISTALIA;XYLESTESIN 1% C/VASO 10FR 20ML;;;;;;;;;;;;;;8.328;SIMPRO_VIG;2010-01-07;20;
SIMPRO;2026-04-12;medicamento;0000009596;12;;CRISTALIA;XYLESTESIN 1% S/VASO 10EST.20ML STERILE PACK;;;;;;;;;;;;;;15.378;SIMPRO_VIG;2025-05-01;20;
SIMPRO;2026-04-12;medicamento;0000009598;12;;CRISTALIA;XYLESTESIN 1% S/VASO 10X20ML;;;;;;;;;;;;;;10.329;SIMPRO_VIG;2019-04-09;20;
SIMPRO;2026-04-12;medicamento;0000268769;12;;CRISTALIA;XYLESTESIN 100MG/ML SPRAY FR 50ML;;;;;;;;;;;;;;2.141;SIMPRO_VIG;2019-04-09;20;
SIMPRO;2026-04-12;medicamento;0000009601;12;;CRISTALIA;XYLESTESIN 2% C/VASO 10EST.20ML;;;;;;;;;;;;;;17.958;SIMPRO_VIG;2025-05-01;20;
SIMPRO;2026-04-12;medicamento;0000009603;12;;CRISTALIA;XYLESTESIN 2% C/VASO 10X20ML;;;;;;;;;;;;;;11.986;SIMPRO_VIG;2019-04-09;20;
SIMPRO;2026-04-12;medicamento;0000049411;12;;CRISTALIA;XYLESTESIN 2% GEL 10X10ML;;;;;;;;;;;;;;24.588;SIMPRO_VIG;2025-04-09;20;
SIMPRO;2026-04-12;medicamento;0000009604;12;;CRISTALIA;XYLESTESIN 2% GEL 10X30GRS;;;;;;;;;;;;;;19.676;SIMPRO_VIG;2025-05-01;20;
SIMPRO;2026-04-12;medicamento;0000269802;12;;CRISTALIA;XYLESTESIN 2% ISOBARICO 40EST.1AMP 5ML;;;;;;;;;;;;;;4.173;SIMPRO_VIG;2025-04-09;20;
SIMPRO;2026-04-12;medicamento;0000009609;12;;CRISTALIA;XYLESTESIN 2% S/VASO 10EST.20ML STERILE PACK;;;;;;;;;;;;;;17.289;SIMPRO_VIG;2025-04-09;20;
SIMPRO;2026-04-12;medicamento;0000009610;12;;CRISTALIA;XYLESTESIN 2% S/VASO 10X20ML;;;;;;;;;;;;;;10.216;SIMPRO_VIG;2020-07-07;20;
SIMPRO;2026-04-12;medicamento;0000009608;12;;CRISTALIA;XYLESTESIN 2% S/VASO 50AMP 5ML;;;;;;;;;;;;;;3.042;SIMPRO_VIG;2019-04-09;20;
SIMPRO;2026-04-12;medicamento;0000009612;12;;CRISTALIA;XYLESTESIN 5% PESADA 50EST.2ML STERILE PACK;;;;;;;;;;;;;;6.408;SIMPRO_VIG;2025-04-09;20;
SIMPRO;2026-04-12;medicamento;0000136779;12;;CRISTALIA;XYLESTESIN 5% PESADA SOL.INJ.50AMP 2ML;;;;;;;;;;;;;;3.302;SIMPRO_VIG;2012-04-02;20;
SIMPRO;2026-04-12;medicamento;0000308647;12;;ASPEN;XYLOCAINA 50MG/G POM.DERM.25G;;;;;;;;;;;;;;29.94;SIMPRO_VIG;2025-06-24;20;
SIMPRO;2026-04-12;medicamento;0000302256;12;;ASPEN;XYLOPROCT 50+2,5+180+35MG POM.RETAL 25G+10APLIC.;;;;;;;;;;;;;;45.44;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000312327;12;;ZYDUS NIKKHO;XYNAZ 100MG 30CPDS;;;;;;;;;;;;;;7.803;SIMPRO_VIG;2023-10-24;20;
SIMPRO;2026-04-12;medicamento;0000312326;12;;ZYDUS NIKKHO;XYNAZ 25MG 30CPDS;;;;;;;;;;;;;;1.875;SIMPRO_VIG;2023-10-24;20;
