fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
SIMPRO;2026-04-12;medicamento;0000139380;12;;YAKULT;YAKULT LB PO 9ENV.;;;;;;;;;;;;;;2.483;SIMPRO_VIG;2009-07-28;20;
SIMPRO;2026-04-12;medicamento;0000241882;12;;BAYER;YASMIN 3+0,03MG 21+7CPDS REV.;;;;;;;;;;;;;;64.21;SIMPRO_VIG;2015-04-01;20;
SIMPRO;2026-04-12;medicamento;0000259360;12;;BAYER;YASMIN 3+0,03MG 21+7CPDS REV.;;;;;;;;;;;;;;4.122;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000070483;12;;BAYER;YASMIN 3+0,03MG 21CPDS REV.;;;;;;;;;;;;;;106.37;SIMPRO_VIG;2023-10-24;20;
SIMPRO;2026-04-12;medicamento;0000170432;12;;BAYER;YASMIN 3+0,03MG 3BLX21CPDS REV.;;;;;;;;;;;;;;115.383;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000241883;12;;BAYER;YASMIN 3+0,03MG 63+21CPDS REV.;;;;;;;;;;;;;;115.383;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000046427;12;;SANOFI-AVEN;YATROPAN INALANTE 100ML;;;;;;;;;;;;;;0.114;SIMPRO_VIG;2011-04-01;20;
SIMPRO;2026-04-12;medicamento;0000115159;12;;BAYER;YAZ 3+0,02MG 24CPDS REV.;;;;;;;;;;;;;;106.37;SIMPRO_VIG;2023-10-24;20;
SIMPRO;2026-04-12;medicamento;0000241880;12;;BAYER;YAZ 3+0,02MG 24CPDS REV.+4PLACEBO;;;;;;;;;;;;;;115.41;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000241881;12;;BAYER;YAZ 3+0,02MG 72CPDS REV.+12PLACEBO;;;;;;;;;;;;;;223.35;SIMPRO_VIG;2017-04-19;20;
SIMPRO;2026-04-12;medicamento;0000291462;12;;BAYER;YAZ FLEX 3+0,02MG 30CPDS REV.;;;;;;;;;;;;;;144.2;SIMPRO_VIG;2025-04-04;20;
SIMPRO;2026-04-12;medicamento;0000174951;12;;BRISTOL;YERVOY 200MG SOL.INJ.1FA 40ML;;;;;;;;;;;;;;70177.38;SIMPRO_VIG;2019-04-05;20;
SIMPRO;2026-04-12;medicamento;0000174949;12;;BRISTOL;YERVOY 50MG SOL.INJ.1FA 10ML;;;;;;;;;;;;;;17544.32;SIMPRO_VIG;2019-04-05;20;
SIMPRO;2026-04-12;medicamento;0000296893;12;;CIFARMA;YLANA 3+0,3MG 21CPDS REV.;;;;;;;;;;;;;;2.484;SIMPRO_VIG;2020-07-07;20;
